序号,刀,剑,枪,弓,扇,全,消耗卡魂,消耗血玉,升级成功率,失败降级,消耗保底券数量
id,arrKnife,arrSword,arrSpear,arrBow,arrFdFan,arrCommon,nCostCardSoul,nCostBlood,fRate,nLevDown,nBaodiquan
int,int[3],int[3],int[3],int[3],int[3],int[3],int,int,float,int,int
1,2|2|5,3|2|4,3|2|4,2|3|4,2|3|4,3|2|4,1000,1,1,0,5
2,5|4|10,6|5|9,6|4|9,5|6|9,5|6|8,6|5|9,2000,1,0.9,0,5
3,8|7|17,10|8|15,10|7|15,8|10|15,8|10|14,10|8|15,5000,1,0.8,1,5
4,12|10|26,14|12|23,15|10|23,12|14|23,12|15|21,14|12|23,8000,2,0.75,1,5
5,17|14|37,19|17|33,21|14|33,17|19|33,17|21|30,19|17|33,12000,2,0.7,1,5
6,22|18|49,25|22|43,28|18|43,22|25|43,22|28|39,25|22|43,16000,2,0.65,1,5
7,32|26|71,35|32|63,40|26|63,32|35|63,32|40|57,35|32|63,20000,2,0.6,2,10
8,43|35|96,46|43|85,54|35|85,43|46|85,43|54|77,46|43|85,30000,3,0.5,0,10
9,56|45|125,59|56|111,70|45|111,56|59|111,56|70|100,59|56|111,40000,3,0.5,1,10
10,71|57|158,74|71|141,88|57|141,71|74|141,71|88|127,74|71|141,50000,3,0.45,2,10
11,89|71|196,92|89|176,109|71|176,89|92|176,89|109|158,92|89|176,70000,3,0.4,2,10
12,116|92|256,119|116|230,142|92|230,116|119|230,116|142|206,119|116|230,90000,4,0.4,2,20
13,147|117|325,150|147|292,180|117|292,147|150|292,147|180|262,150|147|292,120000,4,0.4,0,0
14,183|145|403,186|183|363,223|145|363,183|186|363,183|223|325,186|183|363,150000,4,0.3,1,0
15,224|178|494,227|224|445,273|178|445,224|227|445,224|273|399,227|224|445,180000,4,0.15,1,0
16,224|178|494,227|224|445,273|178|445,224|227|445,224|273|399,227|224|445,16,100,0,2,0
17,224|178|494,227|224|445,273|178|445,224|227|445,224|273|399,227|224|445,17,100,0,2,0
18,224|178|494,227|224|445,273|178|445,224|227|445,224|273|399,227|224|445,18,100,0,3,0
19,224|178|494,227|224|445,273|178|445,224|227|445,224|273|399,227|224|445,19,100,0,5,0
