序号,战器类型,战器品质,子类型,等级,消耗卡魂,材料类型,材料数量,目标战器ID,专属武将,三维加成,加成被动ID,加成被动等级,名字,图标,介绍
id,nType,nQuality,nSubType,nLevel,nCostSoul,nMaterialType,nMaterialValue,nTarCsvID,arrTargets,arrBaseEnhance,arrPassiveIDs,arrPassiveLevs,strName,strSprite,strDesc11
int,int,int,int,int,int,int,int,int,int[10],float[10],int[10],int[10],string,string,string
1,1,4,1,1,200000,0,20,0,2|285|286|1285|0|0|0|0|0|0,18|36|36|36|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,青龙偃月刀,CommonKnife05_Tex,诛颜良、斩文丑、过五关、杀六将，只有在关二爷手里，青龙偃月刀才能发挥他真正的实力。\n【关羽所属】
2,1,4,1,2,450000,0,30,0,2|285|286|1285|0|0|0|0|0|0,45|90|90|90|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·青龙偃月刀,CommonKnife05_Tex,诛颜良、斩文丑、过五关、杀六将，只有在关二爷手里，青龙偃月刀才能发挥他真正的实力。\n【关羽所属】
3,1,4,1,3,1000000,0,50,0,2|285|286|1285|0|0|0|0|0|0,90|180|180|180|0|0|0|0|0|0,10|16|17|16|-1|-1|-1|-1|-1|-1,1|1|1|1|0|0|0|0|0|0,极·青龙偃月刀,CommonKnife05_Tex,诛颜良、斩文丑、过五关、杀六将，只有在关二爷手里，青龙偃月刀才能发挥他真正的实力。\n【关羽所属】
4,1,4,2,1,200000,1,20,0,14|348|349|1348|0|0|0|0|0|0,18|36|36|36|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,古锭刀,CommonKnife06_Tex,孙坚披烂银铠，裹赤帻，横古锭刀，骑花鬃马，挥军直杀。人与刀，皆似猛虎。\n【孙坚所属】
5,1,4,2,2,450000,1,30,0,14|348|349|1348|0|0|0|0|0|0,45|90|90|90|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·古锭刀,CommonKnife06_Tex,孙坚披烂银铠，裹赤帻，横古锭刀，骑花鬃马，挥军直杀。人与刀，皆似猛虎。\n【孙坚所属】
6,1,4,2,3,1000000,1,50,0,14|348|349|1348|0|0|0|0|0|0,90|180|180|180|0|0|0|0|0|0,9|16|17|16|-1|-1|-1|-1|-1|-1,1|1|1|1|0|0|0|0|0|0,极·古锭刀,CommonKnife06_Tex,孙坚披烂银铠，裹赤帻，横古锭刀，骑花鬃马，挥军直杀。人与刀，皆似猛虎。\n【孙坚所属】
7,2,4,3,1,200000,2,20,0,1|256|257|1256|1257|0|0|0|0|0,18|36|36|36|36|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,倚天剑,CommonSword08_Tex,与“青釭”并称“绝世双剑”。倚天镇威，青釭杀人，二者皆为曹操所有。\n【曹操所属】
8,2,4,3,2,450000,2,30,0,1|256|257|1256|1257|0|0|0|0|0,45|90|90|90|90|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·倚天剑,CommonSword08_Tex,与“青釭”并称“绝世双剑”。倚天镇威，青釭杀人，二者皆为曹操所有。\n【曹操所属】
9,2,4,3,3,1000000,2,50,0,1|256|257|1256|1257|0|0|0|0|0,90|180|180|180|180|0|0|0|0|0,12|18|15|18|15|-1|-1|-1|-1|-1,1|1|1|1|1|0|0|0|0|0,极·倚天剑,CommonSword08_Tex,与“青釭”并称“绝世双剑”。倚天镇威，青釭杀人，二者皆为曹操所有。\n【曹操所属】
10,2,4,4,1,200000,3,20,0,1|256|257|4|305|306|1305|1256|1257|0,18|36|36|18|36|36|36|36|36|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,青釭剑,CommonSword05_Tex,曹操有宝剑名“青釭”，砍铁如泥，锋利无比。与长坂坡一战时，被赵云夺去，成就子龙单骑救主之名。\n【曹操、赵云所属】
11,2,4,4,2,450000,3,30,0,1|256|257|4|305|306|1305|1256|1257|0,45|90|90|45|90|90|90|90|90|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·青釭剑,CommonSword05_Tex,曹操有宝剑名“青釭”，砍铁如泥，锋利无比。与长坂坡一战时，被赵云夺去，成就子龙单骑救主之名。\n【曹操、赵云所属】
12,2,4,4,3,1000000,3,50,0,1|256|257|4|305|306|1305|1256|1257|0,90|180|180|90|180|180|180|180|180|0,12|12|12|10|17|19|17|12|12|-1,1|1|1|1|1|1|1|1|1|0,极·青釭剑,CommonSword05_Tex,曹操有宝剑名“青釭”，砍铁如泥，锋利无比。与长坂坡一战时，被赵云夺去，成就子龙单骑救主之名。\n【曹操、赵云所属】
13,2,4,5,1,200000,4,20,0,18|264|265|252|1264|1265|0|0|0|0,18|36|36|18|36|36|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,雌雄双股剑,CommonSword06_Tex,又名鸳鸯剑，鸳剑长三尺七寸，鸯剑长三尺四寸，利可断金，为刘备所有，后传于刘禅。\n【刘备、刘禅所属】
14,2,4,5,2,450000,4,30,0,18|264|265|252|1264|1265|0|0|0|0,45|90|90|45|90|90|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·雌雄双股剑,CommonSword06_Tex,又名鸳鸯剑，鸳剑长三尺七寸，鸯剑长三尺四寸，利可断金，为刘备所有，后传于刘禅。\n【刘备、刘禅所属】
15,2,4,5,3,1000000,4,50,0,18|264|265|252|1264|1265|0|0|0|0,90|180|180|90|180|180|0|0|0|0,12|16|18|12|16|18|-1|-1|-1|-1,1|1|1|1|1|1|0|0|0|0,极·雌雄双股剑,CommonSword06_Tex,又名鸳鸯剑，鸳剑长三尺七寸，鸯剑长三尺四寸，利可断金，为刘备所有，后传于刘禅。\n【刘备、刘禅所属】
16,3,4,6,1,200000,5,20,0,19|260|261|44|382|383|1260|1383|1382|0,18|36|36|18|36|36|36|36|36|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,方天画戟,CommonSpear05_Tex,吕布年少英俊，白面无须，手持方天画戟，纵横驰骋，英勇无敌。\n【吕布、吕玲绮所属】
17,3,4,6,2,450000,5,30,0,19|260|261|44|382|383|1260|1383|1382|0,45|90|90|45|90|90|90|90|90|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·方天画戟,CommonSpear05_Tex,吕布年少英俊，白面无须，手持方天画戟，纵横驰骋，英勇无敌。\n【吕布、吕玲绮所属】
18,3,4,6,3,1000000,5,50,0,19|260|261|44|382|383|1260|1383|1382|0,90|180|180|90|180|180|180|180|180|0,10|19|15|3|5|1|19|1|5|-1,1|1|1|1|1|1|1|1|1|0,极·方天画戟,CommonSpear05_Tex,吕布年少英俊，白面无须，手持方天画戟，纵横驰骋，英勇无敌。\n【吕布、吕玲绮所属】
19,3,4,7,1,200000,6,20,0,22|324|325|0|0|0|0|0|0|0,18|36|36|0|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,丈八蛇矛,CommonSpear07_Tex,燕人张翼德，手执一支丈八蛇矛，纵横沙场，转战南北，在百万军中取敌首级，犹如探囊取物。\n【张飞所属】
20,3,4,7,2,450000,6,30,0,22|324|325|0|0|0|0|0|0|0,45|90|90|0|0|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·丈八蛇矛,CommonSpear07_Tex,燕人张翼德，手执一支丈八蛇矛，纵横沙场，转战南北，在百万军中取敌首级，犹如探囊取物。\n【张飞所属】
21,3,4,7,3,1000000,6,50,0,22|324|325|0|0|0|0|0|0|0,90|180|180|0|0|0|0|0|0|0,10|17|19|-1|-1|-1|-1|-1|-1|-1,1|1|1|0|0|0|0|0|0|0,极·丈八蛇矛,CommonSpear07_Tex,燕人张翼德，手执一支丈八蛇矛，纵横沙场，转战南北，在百万军中取敌首级，犹如探囊取物。\n【张飞所属】
22,3,4,8,1,200000,7,20,0,13|338|339|1339|1338|434|487|0|0|0,18|36|36|36|36|18|36|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,龙骑枪,CommonSpear08_Tex,马超手持龙骑枪，于渭水六战，杀得曹操割须弃袍，险些丧命，堪比赵云长坂坡之勇。\n【马超、马云禄所属】
23,3,4,8,2,450000,7,30,0,13|338|339|1339|1338|434|487|0|0|0,45|90|90|90|90|45|90|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·龙骑枪,CommonSpear08_Tex,马超手持龙骑枪，于渭水六战，杀得曹操割须弃袍，险些丧命，堪比赵云长坂坡之勇。\n【马超、马云禄所属】
24,3,4,8,3,1000000,7,50,0,13|338|339|1339|1338|434|487|0|0|0,90|180|180|180|180|90|180|0|0|0,10|17|2|2|17|5|5|-1|-1|-1,1|1|1|1|1|1|1|0|0|0,极·龙骑枪,CommonSpear08_Tex,马超手持龙骑枪，于渭水六战，杀得曹操割须弃袍，险些丧命，堪比赵云长坂坡之勇。\n【马超、马云禄所属】
25,3,4,9,1,200000,8,20,0,11|342|343|1342|1343|0|0|0|0|0,18|36|36|36|36|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸王枪,CommonSpear06_Tex,西楚霸王使用天降陨石，历经九天九夜所铸之枪，名曰“霸王”。总觉得不太吉利呢……\n【孙策所属】
26,3,4,9,2,450000,8,30,0,11|342|343|1342|1343|0|0|0|0|0,45|90|90|90|90|0|0|0|0|0,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0|0|0|0|0|0|0|0|0|0,霸·霸王枪,CommonSpear06_Tex,西楚霸王使用天降陨石，历经九天九夜所铸之枪，名曰“霸王”。总觉得不太吉利呢……\n【孙策所属】
27,3,4,9,3,1000000,8,50,0,11|342|343|1342|1343|0|0|0|0|0,90|180|180|180|180|0|0|0|0|0,10|16|17|16|17|-1|-1|-1|-1|-1,1|1|1|1|1|0|0|0|0|0,极·霸王枪,CommonSpear06_Tex,西楚霸王使用天降陨石，历经九天九夜所铸之枪，名曰“霸王”。总觉得不太吉利呢……\n【孙策所属】
