材料类型,材料名称,材料图标
id,strName,strIcon
int,string,string
0,青龙刀碎片,CommonKnife05_Tex
1,古锭刀碎片,CommonKnife06_Tex
2,倚天剑碎片,CommonSword08_Tex
3,青釭剑碎片,CommonSword05_Tex
4,双股剑碎片,CommonSword06_Tex
5,方天画戟碎片,CommonSpear05_Tex
6,丈八蛇矛碎片,CommonSpear07_Tex
7,龙骑枪碎片,CommonSpear08_Tex
8,霸王枪碎片,CommonSpear06_Tex
9,诸葛连弩碎片,CommonBow07_Tex
10,龙舌弓碎片,CommonBow08_Tex
11,朱雀羽扇碎片,CommonFan05_Tex
12,流离天香碎片,CommonFan07_Tex
13,冥天符碎片,CommonFan08_Tex
14,玄武折扇碎片,CommonFan07_Tex
15,弱水剑碎片,CommonSword05_Tex
16,惊凰弓碎片,CommonBow06_Tex
17,穷奇羽扇碎片,CommonFan05_Tex
18,沧月碎片,CommonSpear07_Tex
19,燕回闪碎片,CommonSword07_Tex
20,龙吟弓碎片,CommonBow05_Tex
21,破军斩碎片,CommonKnife07_Tex
22,若麒麟牙碎片,CommonSpear08_Tex
23,魑魅碎片,CommonSpear08_Tex
24,金刚断碎片,CommonKnife06_Tex
25,龙鳞剑碎片,CommonSword08_Tex
26,白虎银枪碎片,CommonSpear08_Tex
27,百兽猎刃碎片,CommonKnife05_Tex
28,玲珑之心碎片,CommonSword07_Tex
29,虎扑弓碎片,CommonBow06_Tex
30,蚩尤重戟碎片,CommonSpear06_Tex
31,月下美人碎片,CommonFan06_Tex
32,黄天之弓碎片,CommonBow08_Tex
33,七星刀碎片,CommonKnife08_Tex
34,黄杨大弓碎片,CommonBow08_Tex
35,摧城枪碎片,CommonSpear06_Tex
36,鹊画弓碎片,CommonBow05_Tex
37,魍魉碎片,CommonSpear07_Tex
38,霸海刀碎片,CommonKnife07_Tex
39,千浪破碎片,CommonBow05_Tex
40,思召剑碎片,CommonSword05_Tex
41,鬼魇刀碎片,CommonKnife08_Tex
42,赤霄剑碎片,CommonSword08_Tex
43,克敌机先碎片,CommonBow06_Tex
44,青冥剑碎片,CommonSword08_Tex
45,五行鬼谷杖碎片,CommonSpear08_Tex
46,虎煞刀碎片,CommonKnife07_Tex
47,材料47,CommonSpear03_Tex
48,材料48,CommonBow03_Tex
49,材料49,CommonFan03_Tex
