序号,类型,千锤百炼,最大,巧夺天工,最大,战力转化系数,对应被动,技能说明
id,nType,nQcblMin,nQcblMax,nQdtgMin,nQdtgMax,fZhanliFactor,nPassiveSkill,strDesc
int,int,int,int,int,int,float,int,string
11015,1,500,4000,5000,10000,0,91001,战器的武力值提升{0}
11016,1,500,4000,5000,10000,0,91002,战器的智力值提升{0}
11017,1,500,4000,5000,10000,0,91003,战器的兵力值提升{0}
1015,1,10,80,120,220,0,91004,战器的武力值增加{0}
1016,1,10,80,120,220,0,91005,战器的智力值增加{0}
1017,1,20,160,240,440,0,91006,战器的兵力值增加{0}
1018,2,500,1500,2200,4500,0.18,91007,战斗开始时，获得一个最大生命值{0}的护盾，固定持续24秒
1019,2,500,2000,3200,6500,0.12,91008,每场战斗第一次受到致死伤害时不会死亡，且获得一个最大生命值{0}护盾，固定持续6秒
1020,2,50,500,800,1500,0.53,91009,普通攻击时有几率造成目标最大生命值{0}的附加伤害，对工坊和召唤物效果翻倍
1021,2,50,500,800,1500,0.53,91010,普通攻击时有几率回复{0}的生命值
1022,2,1500,5000,7000,13000,0.06,91011,使自身范围型技能的范围直径提高{0}
1023,2,500,2200,2500,5500,0.15,92410,自身生命小于自身最大生命值值30%时，自身受到的所有伤害减少{0}，固定持续30秒。
1024,2,1000,3000,3500,7500,0.11,92411,"杀死敌方单位时，自身普攻伤害提升{0},固定持续16秒（效果不叠加）"
