序号|战法(ID要小于10000),邮件类型,文本索引,文本标题,文本内容,发送者,附件类型,附件数量
id,nType,nTextID,strTitle,strText,strSendName,nAttachmentType,nAttachmentCount
int,int,int,string,string,string,int,int
0,0,0,GM邮件,GM邮件,GM邮件,0,1
1,1,1,擂台活动结束,本次擂台活动已经关闭。本次活动中已解锁卡片百分比已折换成卡魂{0}。,活动系统,0,1
2,1,2,每日登陆活动奖励,每日登陆活动奖励钻石{0}，军令{1}，卡魂{2}。,活动系统,0,1
3,1,3,欢迎来到啪啪三国,各位亲爱的主公：\n欢迎来到啪啪三国！(ノ^_^)ノ \n在这里，您将会接触到各种阵营、兵种、技能的三国名将卡片，并通过不同的组合，搭配出千变万化的战场策略！\n现在，就点击右上角的图标，开启您的乱世之旅吧！\n祝您在游戏中玩的愉快！<(￣︶￣)>,运营团队,0,0
4,1,4,首充大礼等你拿,感谢参加【首充大礼等你拿】活动，请查收赠送的金卡庞统一张！,活动系统,0,1
5,1,5,每日登陆活动奖励,亲爱的主公：\n您终于回来了！\n这是今天的上贡：钻石{0}，军令{1}，卡魂{2}请您收好~\n武将们已经休整完毕，随时听候您的差遣！,活动系统,0,1
6,1,6,中秋登陆活动奖励,中秋佳节，登录啪啪三国获大礼！                                                                                                  点击附件领取钻石{0}，军令{1}，卡魂{2}！,活动系统,0,0
7,1,7,国庆登陆七天乐,国庆期间登录啪啪三国获大礼！                                                                                                  点击附件领取钻石{0}，军令{1}，卡魂{2}！,活动系统,0,0
200000,1,200000,补发奖励通知,尊敬的主公，由于您在已结束的活动中仍有未领取的奖励，系统已将未领取的奖励发放到您的资源，请主公查收。\n需要选择的奖励将会随机发放,活动系统,0,0
8,1,8,剿贼有功,鉴于英雄您在剿贼活动中的表现，现在论功行赏，发放卡魂{0}，望英雄笑纳,活动系统,0,1
9,1,9,赏赐英豪,英雄大破黄巾军，手刃贼军数量名列第一，特赏赐英雄卡魂 250000、抽奖券 15、传承券 15，请英雄笑纳,活动系统,1,1
10,1,10,赏赐英豪,英雄大破黄巾军，手刃贼军数量名列第二，特赏赐英雄卡魂 150000、抽奖券 10、传承券 12，请英雄笑纳,活动系统,2,1
11,1,11,赏赐英豪,英雄大破黄巾军，手刃贼军数量名列第三，特赏赐英雄卡魂 150000、抽奖券 8、传承券 12，请英雄笑纳,活动系统,3,1
12,1,12,赏赐英豪,英雄大破黄巾军，手刃贼军数量名列第四，特赏赐英雄卡魂 120000、抽奖券 5、传承券 8，请英雄笑纳,活动系统,4,1
13,1,13,赏赐英豪,英雄大破黄巾军，手刃贼军数量名列第五，特赏赐英雄卡魂 120000、抽奖券 5、传承券 8，请英雄笑纳,活动系统,5,1
14,1,14,赏赐英豪,英雄大破黄巾军，手刃贼军数量名列第六，特赏赐英雄卡魂 120000、抽奖券 5、传承券 8，请英雄笑纳,活动系统,6,1
15,1,15,赏赐英豪,英雄大破黄巾军，手刃贼军数量名列第七，特赏赐英雄卡魂 80000、抽奖券 3、传承券 5，请英雄笑纳,活动系统,7,1
16,1,16,赏赐英豪,英雄大破黄巾军，手刃贼军数量名列第八，特赏赐英雄卡魂 80000、抽奖券 3、传承券 5，请英雄笑纳,活动系统,8,1
17,1,17,赏赐英豪,英雄大破黄巾军，手刃贼军数量名列第九，特赏赐英雄卡魂 80000、抽奖券 3、传承券 5，请英雄笑纳,活动系统,9,1
18,1,18,赏赐英豪,英雄大破黄巾军，手刃贼军数量名列第十，特赏赐英雄卡魂 80000、抽奖券 3、传承券 5，请英雄笑纳,活动系统,10,1
19,1,19,传承系统,传承系统可以将一张卡片的能力转移给另一张卡片\n一张卡能力提升的同时，祭品卡片将继承两者较低的属性\n\n基础规则\n进阶等级、强化等级、四圣石等级：祭品卡和继承卡之间较高的属性转移给继承卡，较低的属性转移给祭品卡\n\n消耗：传承卷或者钻石\n卡片品质越高，祭品卡进阶等级越高，消耗越大\n优先消耗传承卷，传承券不足的部分以1传承券=100钻石的比例转化为相应钻石数,系统,0,0
20,1,20,好友邀请礼包,欢迎来到啪啪三国，祝您游戏愉快。如果您喜欢我们的游戏，可以推荐给您的朋友，还有更多的大礼相送哦。,活动系统,20,1
21,1,21,好友邀请礼包,感谢您对我们游戏的认可和宣传，现在献上一点微薄的礼物请您收下。,活动系统,21,1
22,1,22,好友邀请礼包,感谢您对我们游戏的认可和宣传，现在献上一点微薄的礼物请您收下。,活动系统,22,1
23,1,23,好友邀请礼包,感谢您对我们游戏的认可和宣传，现在献上一点微薄的礼物请您收下。,活动系统,23,1
24,1,24,好友邀请礼包,感谢您对我们游戏的认可和宣传，现在献上一点微薄的礼物请您收下。,活动系统,24,1
25,1,25,好友邀请礼包,感谢您对我们游戏的认可和宣传，现在献上一点微薄的礼物请您收下。,活动系统,25,1
26,1,26,好友邀请礼包,感谢您对我们游戏的认可和宣传，现在献上一点微薄的礼物请您收下。,活动系统,26,1
