序号,地图ID,x坐标/npc标志,z坐标/npc序号,最大停留时间,最大停留人数
id,iMapID,fX,fZ,fMaxTime,nMaxPerson
int,int,float,float,float,int
1,3,28.6,94.8,20,2
2,3,24.46,76.03,20,2
3,3,31.7,68.5,20,2
4,3,8.71,60.47,20,2
5,3,-2.95,28.9,20,2
6,3,-17.11,76.05,60,2
7,2,7.26,16.24,12,2
8,2,8.9,-4.2,12,2
9,2,-7.8,18.7,12,2
10,2,-6.4,3.5,12,2
11,2,-25.5,-8.5,12,2
12,2,26.16307,3.222747,60,2
13,4,-15.4,10.87,15,2
14,4,9.69,20.38,15,2
15,4,20.84,64.34,15,2
16,4,12.73999,8.557066,15,2
17,4,26.39655,5.257499,60,2
18,3,15.7132,62.88654,20,2
