序号,类型(1人物2传送点3宝箱),地图ID,坐标,坐标,坐标,名字,图标,2D动画,挂载功能,关联活动ID
id,iType,iMapID,fX,fY,fZ,strName,strTexture,str2dAnimation ,nFunction,nActivityID
int,int,int,float,float,float,string,string,string,int,int
1,1,2,0,0,0,士兵,npc/icon/npc1,null,-1,0
2,1,2,0,0,0,张梁,npc/icon/npc1002,null,-1,0
3,1,2,0,0,0,张宝,npc/icon/npc1012,null,-1,0
4,1,2,0,0,0,张角,npc/icon/npc4,null,-1,0
5,1,2,0,0,0,张燕,npc/icon/npc1015,null,-1,0
7,1,2,0,0,0,貂蝉,npc/icon/npc7,null,-1,0
8,1,2,0,0,0,董白,npc/icon/npc8,null,-1,0
9,1,2,0,0,0,李儒,npc/icon/npc1006,null,-1,0
10,1,2,0,0,0,徐荣,npc/icon/npc1020,null,-1,0
11,1,2,0,0,0,西凉护军,npc/icon/npc1001,null,-1,0
12,1,2,0,0,0,西凉都尉,npc/icon/npc1017,null,-1,0
13,1,2,0,0,0,郭汜,npc/icon/npc1002,null,-1,0
14,1,2,0,0,0,李傕,npc/icon/npc14,null,-1,0
15,1,2,0,0,0,华雄,npc/icon/npc15,null,-1,0
16,1,2,0,0,0,黄巾军,npc/icon/npc1018,null,-1,0
17,1,2,0,0,0,吕布,npc/icon/npc17,null,-1,0
18,1,2,0,0,0,西凉兵队长,npc/icon/npc1001,null,-1,0
19,1,2,0,0,0,西凉兵头领,npc/icon/npc1017,null,-1,0
20,1,2,0,0,0,西凉兵统领,npc/icon/npc1017,null,-1,0
21,1,2,0,0,0,李儒,npc/icon/npc1006,null,-1,0
22,1,2,0,0,0,西凉护军,npc/icon/npc1001,null,-1,0
23,1,2,0,0,0,董卓校尉,npc/icon/npc1015,null,-1,0
24,1,2,0,0,0,西凉都尉,npc/icon/npc1017,null,-1,0
25,1,2,0,0,0,董卓,npc/icon/npc25,null,-1,0
26,1,2,0,0,0,周仓,npc/icon/npc1019,null,-1,0
27,1,2,0,0,0,祭酒,npc/icon/npc1004,null,-1,0
28,1,2,0,0,0,张鲁,npc/icon/npc1011,null,-1,0
29,1,2,0,0,0,教众,npc/icon/npc1015,null,-1,0
30,1,2,0,0,0,合肥逃兵,npc/icon/npc1020,null,-1,0
31,1,2,0,0,0,孙策,npc/icon/npc31,null,-1,0
32,1,2,0,0,0,袁军校尉,npc/icon/npc1017,null,-1,0
33,1,2,0,0,0,纪灵,npc/icon/npc1005,null,-1,0
34,1,2,0,0,0,袁术,npc/icon/npc34,null,-1,0
35,1,2,0,0,0,曹军校尉,npc/icon/npc1009,null,-1,0
36,1,2,0,0,0,袁术亲兵,npc/icon/npc1020,null,-1,0
37,1,2,0,0,0,关羽,npc/icon/npc37,null,-1,0
38,1,2,0,0,0,蒋钦,npc/icon/npc1008,null,-1,0
39,1,2,0,0,0,张辽,npc/icon/npc39,null,-1,0
40,1,2,0,0,0,下邳士兵,npc/icon/npc1003,null,-1,0
41,1,2,0,0,0,曹操,npc/icon/npc41,null,-1,0
42,1,2,0,0,0,刘备,npc/icon/npc42,null,-1,0
43,1,2,0,0,0,赵云,npc/icon/npc43,null,-1,0
44,1,2,0,0,0,关索,npc/icon/npc44,null,-1,0
45,1,2,0,0,0,高览,npc/icon/npc1001,null,-1,0
46,1,2,0,0,0,张郃,npc/icon/npc46,null,-1,0
47,1,2,0,0,0,郭嘉,npc/icon/npc47,null,-1,0
48,1,2,0,0,0,袁军统领,npc/icon/npc1017,null,-1,0
49,1,2,0,0,0,颜良,npc/icon/npc49,null,-1,0
50,1,2,0,0,0,文丑,npc/icon/npc50,null,-1,0
51,1,2,0,0,0,许攸,npc/icon/npc1022,null,-1,0
52,1,2,0,0,0,淳于琼,npc/icon/npc1020,null,-1,0
53,1,2,0,0,0,袁绍,npc/icon/npc53,null,-1,0
54,1,2,0,0,0,荀彧,npc/icon/npc54,null,-1,0
55,1,2,0,0,0,司马徽,npc/icon/npc1014,null,-1,0
56,1,2,0,0,0,书童,npc/icon/npc1021,null,-1,0
57,1,2,0,0,0,关凤,npc/icon/npc57,null,-1,0
58,1,2,0,0,0,关银屏,npc/icon/npc58,null,-1,0
59,1,2,0,0,0,鲍三娘,npc/icon/npc59,null,-1,0
60,1,2,0,0,0,关平,npc/icon/npc60,null,-1,0
61,1,2,0,0,0,马超,npc/icon/npc61,null,-1,0
62,1,2,0,0,0,庞德,npc/icon/npc62,null,-1,0
63,1,2,0,0,0,蒹葭关统领,npc/icon/npc1010,null,-1,0
64,1,2,0,0,0,杨昂,npc/icon/npc1002,null,-1,0
65,1,2,0,0,0,张卫,npc/icon/npc1015,null,-1,0
66,1,2,0,0,0,带来洞主,npc/icon/npc1012,null,-1,0
67,1,2,0,0,0,曹操使臣,npc/icon/npc1006,null,-1,0
68,1,2,0,0,0,孙尚香,npc/icon/npc68,null,-1,0
69,1,2,0,0,0,孙权,npc/icon/npc69,null,-1,0
70,1,2,0,0,0,周瑜,npc/icon/npc70,null,-1,0
71,1,2,0,0,0,江东士兵,npc/icon/npc1008,null,-1,0
72,1,2,0,0,0,魏军士兵,npc/icon/npc1009,null,-1,0
73,1,2,0,0,0,蒋干,npc/icon/npc1004,null,-1,0
74,1,2,0,0,0,蔡瑁,npc/icon/npc74,null,-1,0
75,1,2,0,0,0,鲁肃,npc/icon/npc75,null,-1,0
76,1,2,0,0,0,于禁,npc/icon/npc1003,null,-1,0
77,1,2,0,0,0,程昱,npc/icon/npc77,null,-1,0
78,1,2,0,0,0,曹洪,npc/icon/npc78,null,-1,0
79,1,2,0,0,0,李典,npc/icon/npc79,null,-1,0
80,1,2,0,0,0,曹仁,npc/icon/npc80,null,-1,0
81,1,2,0,0,0,许褚,npc/icon/npc81,null,-1,0
82,1,2,0,0,0,孟获,npc/icon/npc82,null,-1,0
83,1,2,0,0,0,诸葛亮,npc/icon/npc83,null,-1,0
84,1,2,0,0,0,夏侯惇,npc/icon/npc84,null,-1,0
85,1,2,0,0,0,夏侯渊,npc/icon/npc85,null,-1,0
201,1,2,7.26,0,16.24,汉献帝,npc/icon/npc301,null,30,0
202,1,2,8.9,0,-4.2,张让,npc/icon/npc302,null,40,0
203,1,2,-7.8,0,18.7,何进,npc/icon/npc303,null,80,0
204,1,2,-6.4,0,3.5,王威风,npc/icon/npc304,null,90,0
205,1,2,-25.5,0,-8.5,王涵雨,npc/icon/npc305,null,10,0
206,2,2,26.16307,0.01306486,3.222747,关卡,npc/icon/npc305,null,-1,0
208,1,2,26.16307,0.01306486,3.222747,云游商人,npc/icon/npc1027,null,100,0
301,1,3,7.9,0.19,25,汉献帝,npc/icon/npc301,null,30,0
302,1,3,24.46,1.85,76.03,张让,npc/icon/npc302,null,40,0
303,1,3,31.7,1.71,68.5,何进,npc/icon/npc303,null,80,0
304,1,3,8.71,1.71,60.47,王威风,npc/icon/npc304,null,90,0
305,1,3,-2.95,-0.17,28.9,王涵雨,npc/icon/npc305,null,10,0
306,2,3,-17.11,-1.2,76.05,关卡,npc/icon/npc305,null,-1,0
307,1,3,15.7132,1.968467,62.88654,机关人,npc/icon/npc307,null,50,0
308,1,3,26.16307,0.01306486,3.222747,云游商人,npc/icon/npc1027,null,100,0
401,1,3,27.72,4.15,100.58,汉献帝,npc/icon/npc301,null,30,0
402,1,4,-15.4,0.300293,10.87,张让,npc/icon/npc302,null,40,0
403,1,4,9.69,0.36,20.38,何进,npc/icon/npc303,null,80,0
404,1,4,20.84,1.71,64.34,王威风,npc/icon/npc304,null,90,0
405,1,4,12.73999,0.300293,8.557066,王涵雨,npc/icon/npc305,null,10,0
406,2,4,26.39655,0.5004077,5.257499,关卡,npc/icon/npc305,null,-1,0
408,1,4,26.16307,0.01306486,3.222747,云游商人,npc/icon/npc1027,null,100,0
86,1,2,0,0,0,伏皇后,npc/icon/npc86,null,-1,0
87,1,2,0,0,0,蛮族勇士,npc/icon/npc1012,null,-1,0
88,1,2,0,0,0,黄月英,npc/icon/npc88,null,-1,0
89,1,2,0,0,0,黄月华,npc/icon/npc89,null,-1,0
90,1,2,0,0,0,兀突骨,npc/icon/npc1005,null,-1,0
91,1,2,0,0,0,祝融夫人,npc/icon/npc91,null,-1,0
92,1,2,0,0,0,蜀军士兵,npc/icon/npc1007,null,-1,0
93,1,2,0,0,0,马云禄,npc/icon/npc93,null,-1,0
94,1,2,0,0,0,魏延,npc/icon/npc94,null,-1,0
95,1,2,0,0,0,马岱,npc/icon/npc95,null,-1,0
96,1,2,0,0,0,张苞,npc/icon/npc96,null,-1,0
97,1,2,0,0,0,张星彩,npc/icon/npc97,null,-1,0
98,1,2,0,0,0,张曼成,npc/icon/npc1013,null,-1,0
99,1,2,0,0,0,刘富商,npc/icon/npc3001,null,-1,0
100,1,2,0,0,0,吕玲绮,npc/icon/npc100,null,-1,0
101,1,2,0,0,0,吕姬,npc/icon/npc101,null,-1,0
102,1,2,0,0,0,鲍信,npc/icon/npc1019,null,-1,0
103,1,2,0,0,0,孙坚,npc/icon/npc103,null,-1,0
104,1,2,0,0,0,韩馥,npc/icon/npc1002,null,-1,0
105,1,2,0,0,0,潘凤,npc/icon/npc1020,null,-1,0
106,1,2,0,0,0,牛辅,npc/icon/npc1008,null,-1,0
107,1,2,0,0,0,胡才,npc/icon/npc1015,null,-1,0
108,1,2,0,0,0,王允,npc/icon/npc1022,null,-1,0
109,1,2,0,0,0,袁胤,npc/icon/npc1011,null,-1,0
110,1,2,0,0,0,郝萌,npc/icon/npc1023,null,-1,0
111,1,2,0,0,0,高顺,npc/icon/npc1024,null,-1,0
112,1,2,0,0,0,曹性,npc/icon/npc1025,null,-1,0
113,1,2,0,0,0,陈宫,npc/icon/npc1004,null,-1,0
114,1,2,0,0,0,下邳巡逻兵,npc/icon/npc1003,null,-1,0
115,1,2,0,0,0,巡逻兵统领,npc/icon/npc1009,null,-1,0
116,1,2,0,0,0,太史慈,npc/icon/npc116,null,-1,0
117,1,2,0,0,0,刺客,npc/icon/npc1011,null,-1,0
118,1,2,0,0,0,吴军统领,npc/icon/npc1008,null,-1,0
119,1,2,0,0,0,侍女,npc/icon/npc2001,null,-1,0
120,1,2,0,0,0,吴国太,npc/icon/npc120,null,-1,0
121,1,2,0,0,0,甘宁,npc/icon/npc121,null,-1,0
122,1,2,0,0,0,诸葛亮,npc/icon/npc83,null,-1,0
123,1,2,0,0,0,凌统,npc/icon/npc123,null,-1,0
124,1,2,0,0,0,小乔,npc/icon/npc124,null,-1,0
125,1,2,0,0,0,东吴士兵,npc/icon/npc1008,null,-1,0
126,1,2,0,0,0,吕蒙,npc/icon/npc126,null,-1,0
127,1,2,0,0,0,曹植,npc/icon/npc1021,null,-1,0
128,1,2,0,0,0,杨修,npc/icon/npc1026,null,-1,0
129,1,2,0,0,0,曹丕,npc/icon/npc129,null,-1,0
130,1,2,0,0,0,司马懿,npc/icon/npc130,null,-1,0
131,1,2,0,0,0,曹操,npc/icon/npc131,null,-1,0
132,1,2,0,0,0,甄姬,npc/icon/npc132,null,-1,0
133,1,2,0,0,0,郭女王,npc/icon/npc133,null,-1,0
134,1,2,0,0,0,？？？,npc/icon/npc134,null,-1,0
135,1,2,0,0,0,路人甲,npc/icon/npc3001,null,-1,0
136,1,2,0,0,0,小痞子,npc/icon/npc1026,null,-1,0
137,1,2,0,0,0,兵痞,npc/icon/npc1003,null,-1,0
138,1,2,0,0,0,神秘人,npc/icon/npc1022,null,-1,0
139,1,2,0,0,0,山贼,npc/icon/npc1016,null,-1,0
140,1,2,0,0,0,吴质,npc/icon/npc1011,null,-1,0
141,1,2,0,0,0,护卫,npc/icon/npc1,null,-1,0
142,1,2,0,0,0,张春华,npc/icon/npc2001,null,-1,0
143,1,2,0,0,0,护卫,npc/icon/npc1,null,-1,0
144,1,2,0,0,0,姜维,npc/icon/npc1010,null,-1,0
145,1,2,0,0,0,大乔,Npc/Icon/npcdaqiao,null,-1,0
146,1,2,0,0,0,道人,Npc/Icon/npcsmdr,null,-1,0
147,1,2,0,0,0,探子,npc/icon/npc1003,null,-1,0
148,1,2,0,0,0,曹军将领,npc/icon/npc1009,null,-1,0
100001,3,3,-5,0,14,四周年宝箱,null,null,-1,0
100002,3,3,3.57,0,-2.48,四周年宝箱,null,null,-1,0
100003,3,3,0,0,29.1,四周年宝箱,null,null,-1,0
100004,3,3,2.21,3.22,42.18,四周年宝箱,null,null,-1,0
100005,3,3,-6.9,-1,64.5,四周年宝箱,null,null,-1,0
100006,3,3,-10.2,-1.2,74.28,四周年宝箱,null,null,-1,0
100007,3,3,-20.84,-1.2,80.37,四周年宝箱,null,null,-1,0
100008,3,3,20.02,1.64,64.46,四周年宝箱,null,null,-1,0
100009,3,3,31.06,1.64,54.39,四周年宝箱,null,null,-1,0
100010,3,3,31.33,1.64,81.15,四周年宝箱,null,null,-1,0
100011,3,2,0.36,0,-20.35,四周年宝箱,null,null,-1,0
100012,3,2,6.4,0,-16.65,四周年宝箱,null,null,-1,0
100013,3,2,3.51,0,-4.69,四周年宝箱,null,null,-1,0
100014,3,2,17.11,0,7.03,四周年宝箱,null,null,-1,0
100015,3,2,23.18,-0.38,2.93,四周年宝箱,null,null,-1,0
100016,3,2,11.6,0,8.15,四周年宝箱,null,null,-1,0
100017,3,2,1.83,0,23.04,四周年宝箱,null,null,-1,0
100018,3,2,-15.03,-0.44,0.5,四周年宝箱,null,null,-1,0
100019,3,2,-24.83,-0.28,-8.94,四周年宝箱,null,null,-1,0
100020,3,2,-23.55,-0.44,3.01,四周年宝箱,null,null,-1,0
100021,3,4,2.84,0.6,-15.5,四周年宝箱,null,null,-1,0
100022,3,4,-5.62,0.6,-10.02,四周年宝箱,null,null,-1,0
100023,3,4,-8.58,0.6,-8.24,四周年宝箱,null,null,-1,0
100024,3,4,-13.17,0.6,-3.24,四周年宝箱,null,null,-1,0
100025,3,4,-15.97,0.6,7.38,四周年宝箱,null,null,-1,0
100026,3,4,-5.27,0.6,0.73,四周年宝箱,null,null,-1,0
100027,3,4,6.94,0.6,-4.26,四周年宝箱,null,null,-1,0
100028,3,4,17.8,0.6,9.17,四周年宝箱,null,null,-1,0
100029,3,4,7.79,0.6,10.31,四周年宝箱,null,null,-1,0
100030,3,4,20.59,0.6,-0.73,四周年宝箱,null,null,-1,0
200001,4,3,33,1.6,87,酒宴活动,null,null,-1,9994
209,1,3,-13.15,-1.19,7,庆典大使-何太后,npc/icon/npc2000,UI/MainCityEvent/hetaihou2D/hetaihou2D_prefab,92,0
