序号,地图ID,NPC序号,NPC功能1,NPC功能2,未开放提示文字1,未开放提示文字2
id,iMapID,iNPCID,strFunction1,strFunction2,strNote1,strNote2
int,int,int,string,string,string,string
1,2,201,战功商店,,[c0c0c0]未开启[-],
2,2,202,限定商店,,[c0c0c0]四圣石商店[-],[c0c0c0]需通关第1章第4关[-]
3,2,307,齿轮分解,板砖敲击,[c0c0c0]齿轮分解[-],[c0c0c0]需战力6600[-]
4,2,203,战器库,,[c0c0c0]战器库[-],[c0c0c0]需战力20700[-]
5,2,204,兵书购买,,[c0c0c0]兵书购买[-],[c0c0c0]需开放兵种系统[-]
6,2,205,福利活动大使,,[c0c0c0]活动未开启[-],
7,2,208,云游商人,,[c0c0c0]神秘商店[-],[c0c0c0]活动未开启[-]
8,3,301,战功商店,,[c0c0c0]未开启[-],
9,3,302,限定商店,,[c0c0c0]四圣石商店[-],[c0c0c0]需通关第1章第4关[-]
10,3,307,齿轮分解,板砖敲击,[c0c0c0]齿轮分解[-],[c0c0c0]需战力6600[-]
11,3,303,战器库,,[c0c0c0]战器库[-],[c0c0c0]需战力20700[-]
12,3,304,兵书购买,,[c0c0c0]兵书购买[-],[c0c0c0]需开放兵种系统[-]
13,3,305,福利活动大使,,[c0c0c0]活动未开启[-],
14,3,308,云游商人,,[c0c0c0]神秘商店[-],[c0c0c0]活动未开启[-]
15,4,401,战功商店,,[c0c0c0]未开启[-],
16,4,402,限定商店,,[c0c0c0]四圣石商店[-],[c0c0c0]需通关第1章第4关[-]
17,4,307,齿轮分解,板砖敲击,[c0c0c0]齿轮分解[-],[c0c0c0]需战力6600[-]
18,4,403,战器库,,[c0c0c0]战器库[-],[c0c0c0]需战力20700[-]
19,4,304,兵书购买,,[c0c0c0]兵书购买[-],[c0c0c0]需开放兵种系统[-]
20,4,405,福利活动大使,,[c0c0c0]活动未开启[-],
21,4,408,云游商人,,[c0c0c0]神秘商店[-],[c0c0c0]活动未开启[-]
22,3,209,何太后,,[c0c0c0]活动未开启[-],
