触发任务ID,剧情名,浮出板信息|最多20个字
id,sTitle,sContent
int,string,string
58,小试牛刀,敌人：黄巾民兵
72,再战黄巾,敌人：张曼成
95,张燕来袭,敌人：黄巾军
99,打败张燕,敌人：张燕
117,搜索张家宅,敌人：黄巾军
131,张家宅得宝,敌人：黄巾军
140,张梁部众,敌人：黄巾军
159,遭遇张梁,敌人：张梁
167,张家兄弟,敌人：张宝 张燕 张曼成
181,削弱张角,敌人：黄巾军
185,引出张角,敌人：黄巾军
195,五里坡之战,敌人：张角 张宝 张梁
242,董卓孙女,敌人：董白
264,寻找财宝,敌人：西凉军
284,徐荣巡城,敌人：徐荣
301,宛城进军,敌人：西凉军
309,拦截董白,敌人：董白 徐荣
325,虎牢关寻宝,敌人：西凉军
344,李儒奸计,敌人：李儒
360,吕布踪迹,敌人：西凉军
379,国色天香,敌人：貂蝉 李儒
406,西凉俘虏,敌人：西凉军
424,南阳宝藏,敌人：西凉军
441,血战南阳城,敌人：貂蝉 董白 李儒
469,南阳残军,敌人：西凉残军
497,西凉守备军,敌人：西凉军
512,护送百姓,敌人：山贼
522,探听情报,敌人：洛阳守卫
540,吕布之女,敌人：吕玲绮
551,敌方增援,敌人：西凉军
564,绝代双骄,敌人：吕玲绮 吕姬
621,江东之虎,敌人：西凉军
650,讨董联盟,敌人：上将潘凤
663,河东白波军,敌人：牛辅
670,突破汜水关,敌人：西凉军
678,火烧洛阳,敌人：徐荣 李儒 李蒙 王方 樊稠
700,遭遇伏兵,敌人：西凉军
710,紧急救驾,敌人：西凉军
748,亲军出征,敌人：郭汜
767,进军武关,敌人：西凉军
778,两路出击,敌人：李傕
795,支援前线,敌人：西凉军
804,撤回大营,敌人：西凉军
818,西凉双雄,敌人：李傕 郭汜
856,温酒斩华雄,敌人：华雄
875,人中吕布,敌人：吕布
885,马中赤兔,敌人：虎贲骑
899,力量和智慧,敌人：吕布 李儒
947,夜探敌营,敌人：西凉护卫
953,绝世佳人,敌人：貂蝉
978,演员的修养,敌人：西凉护卫
995,父子反目,敌人：西凉军
1009,愤怒的吕布,敌人：吕布 张辽
1018,大举进攻,敌人：西凉军
1025,再见了美人,敌人：吕玲绮 吕姬
1040,武关突破,敌人：西凉军
1057,飞熊军护城,敌人：飞熊军
1067,屠熊英雄,敌人：飞熊军
1081,击破长安城,敌人：董白
1088,怒斩董卓,敌人：董卓 董白 李儒
1169,黄巾余孽,敌人：山贼
1174,讨伐贼首,敌人：周仓
