序号（6位数的ID只可使用9开头）,类型,等级,挂载点类型（1武将，2战器，3战法，4将魂）,额外增加战力,前置条件,是否可封印,触发条件,是否被动技能,是否团队被动(0|非团队 1|团队),范围,覆盖方式,影响属性,刷新时间(0不刷新|其他刷新),持续时间(0一直存在|其他持续n回合),特效名称,特效目标(0|自己 1|对方),特效位置(0|原点 1|前方 2|后方 3|上方 4|下方 5|左方 6|右方),特效方向(0|原点 1|向前 2|向后 3|向上 4|向下 5|向左 6|向右),类型参数(属性值除以1000填写),单挑几率,单挑被杀死,不受减益,异性伤害提升,技能伤害提升,技能减伤,普攻提高,普攻减伤,防御提高,枪兵减伤,骑兵减伤,弓兵减伤,血量增加,速度变化,攻击范围变化（CSVZhanfa）,被动技能触发几率值,护甲,破甲,抗性,破法,铁壁,穿透,大片图片名,小图标名称,技能名称,技能说明
id,nType,nLevel,strParentType,nAddZhanli,nPreCond,nCanSeal,nCondition,nPassive,nTeam,nRange,nCoverType,nWarriorAttr,nRenewRound,nKeepRound,strFx,nTarget,nPostion,nDirection,strParams,fPKChanceUp,nPKKilled,fResistDebuff,fDamageToSexUp,fMagicDamageUp,fMagicResist,fPhysicalUp,fPhysicalResist,fPhysicalDefence,fQiangResist,fQiResist,fGongResist,fTroopBuffs,fSpeed,fAttackRange,fChance,fHujia,fPojia,fKangxing,fPofa,fTiebi,fChuantou,strSprite,strIconName,strName,strDesc
int,int,int,string,int,int,int,int,int,int,int,int,int,int,int,string,int,int,int,string,float,int,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,string,string,string
101,0,1,1,30,0,0,0,1,0,4,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,lable_fanqiang,,反枪,受到枪兵的伤害减少[fed655]2%[-]
102,0,2,1,80,0,0,0,1,0,4,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,lable_fanqiang,,反枪,受到枪兵的伤害减少[fed655]6%[-]
103,0,3,1,170,0,0,0,1,0,4,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,lable_fanqiang,,反枪,受到枪兵的伤害减少[fed655]10%[-]
104,0,4,1,300,0,0,0,1,0,4,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,lable_fanqiang,,反枪,受到枪兵的伤害减少[fed655]14%[-]
105,0,5,1,470,0,0,0,1,0,14,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,lable_fanqiang,,反枪,受到枪兵的伤害减少[fed655]18%[-]
106,0,6,1,680,0,0,0,1,0,14,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,lable_fanqiang,,反枪,受到枪兵的伤害减少[fed655]22%[-]
107,0,7,1,930,0,0,0,1,0,14,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,lable_fanqiang,,反枪,受到枪兵的伤害减少[fed655]26%[-]
108,0,8,1,1220,0,0,0,1,0,14,0,0,0,0,null,0,0,0,,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,lable_fanqiang,,反枪,受到枪兵的伤害减少[fed655]30%[-]
