序号,掉落包ID,属性ID,几率
id,nEntry,nItemID,fChance
int,int,int,float
1,102,14,0.1
2,103,14,0.08
3,103,5,0.12
4,104,14,0.08
5,104,5,0.12
6,105,14,0.08
7,105,5,0.12
8,106,14,0.05
9,106,5,0.15
10,201,14,0.1
11,201,5,0.25
12,202,5,0.1
13,202,10,0.25
14,202,3,0.25
15,203,5,0.1
16,203,12,0.25
17,203,4,0.25
18,204,5,0.1
19,204,9,0.25
20,205,5,0.1
21,205,10,0.25
22,205,3,0.25
23,206,5,0.1
24,206,12,0.25
25,206,4,0.25
26,207,5,0.1
27,207,9,0.25
28,208,5,0.05
29,208,10,0.3
30,208,3,0.3
31,209,5,0.05
32,209,12,0.3
33,209,4,0.3
34,210,5,0.05
35,210,9,0.3
36,211,14,0.01
37,211,5,0.04
38,211,10,0.1
39,211,3,0.1
40,211,9,0.1
41,211,12,0.1
42,211,4,0.1
43,301,5,0.05
44,301,6,0.45
45,302,5,0.05
46,302,10,0.1
47,302,3,0.1
48,302,6,0.35
49,303,5,0.05
50,303,12,0.1
51,303,4,0.1
52,303,6,0.35
53,304,5,0.05
54,304,9,0.1
55,304,6,0.35
56,305,10,0.1
57,305,3,0.1
58,305,6,0.3
59,305,1,0.1
60,306,12,0.1
61,306,4,0.1
62,306,6,0.3
63,306,2,0.1
64,307,9,0.1
65,307,6,0.3
66,307,0,0.1
67,308,10,0.1
68,308,3,0.1
69,308,6,0.25
70,308,0,0.15
71,309,12,0.1
72,309,4,0.1
73,309,6,0.25
74,309,1,0.15
75,310,9,0.1
76,310,6,0.25
77,310,2,0.15
78,311,10,0.1
79,311,3,0.1
80,311,6,0.2
81,311,2,0.2
82,312,12,0.1
83,312,4,0.1
84,312,6,0.2
85,312,0,0.2
86,313,9,0.1
87,313,6,0.2
88,313,1,0.2
89,314,10,0.1
90,314,3,0.1
91,314,6,0.2
92,314,1,0.2
93,315,12,0.1
94,315,4,0.1
95,315,6,0.2
96,315,2,0.2
97,316,9,0.1
98,316,6,0.2
99,316,0,0.2
100,317,10,0.1
101,317,3,0.1
102,317,6,0.2
103,317,0,0.2
104,318,12,0.1
105,318,4,0.1
106,318,6,0.2
107,318,1,0.2
108,319,9,0.1
109,319,6,0.2
110,319,2,0.2
111,320,14,0.01
112,320,5,0.01
113,320,10,0.06
114,320,3,0.06
115,320,9,0.06
116,320,12,0.06
117,320,4,0.06
118,320,6,0.06
119,320,1,0.08
120,320,0,0.08
121,320,2,0.08
122,401,5,0.1
123,401,10,0.2
124,401,3,0.2
125,401,1,0.2
126,401,15,0.05
127,401,16,0.05
128,401,15,0.05
129,401,18,0.05
130,402,5,0.1
131,402,12,0.2
132,402,4,0.2
133,402,2,0.2
134,402,15,0.05
135,402,16,0.05
136,402,15,0.05
137,402,18,0.05
138,403,5,0.1
139,403,9,0.2
140,403,0,0.2
141,403,15,0.05
142,403,16,0.05
143,403,15,0.05
