ID,活动类型[1回归，2新手，3新服],回归类型,新手活动类型[1登录，2横扫千军],"新服活动类型[1排行榜,其他的均为0]",周期类型[1每日活动，2全程活动，3时间段活动],条件类型,第几天开始[0:全程],第几天结束[0:全程],条件达成数值[备注：通过关卡为CsvID，满星达成为MapID],达成奖励1,达成奖励2,达成奖励3,标题[废弃字段，策划用],图标
id,nActivityType,nReturnType,nNewSerActiType,nNewActivityType,nIsDaily,nQuestType,nBeginDay,nEndDay,nNeedCount,nReward1,nReward2,nReward3,nTitle,nIcon
int,int,int,int,int,int,int,int,int,int,string,string,string,string,string
1,1,1,0,0,1,8,1,1,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
2,1,1,0,0,1,8,1,1,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
3,1,1,0,0,1,4,1,1,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
4,1,1,0,0,1,8,2,2,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
5,1,1,0,0,1,8,2,2,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
6,1,1,0,0,1,4,2,2,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
7,1,1,0,0,1,8,3,3,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
8,1,1,0,0,1,8,3,3,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
9,1,1,0,0,1,4,3,3,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
10,1,1,0,0,1,8,4,4,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
11,1,1,0,0,1,8,4,4,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
12,1,1,0,0,1,4,4,4,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
13,1,1,0,0,1,8,5,5,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
14,1,1,0,0,1,8,5,5,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
15,1,1,0,0,1,4,5,5,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
16,1,1,0,0,1,8,6,6,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
17,1,1,0,0,1,8,6,6,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
18,1,1,0,0,1,4,6,6,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
19,1,1,0,0,1,8,7,7,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
20,1,1,0,0,1,8,7,7,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
21,1,1,0,0,1,4,7,7,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
22,1,1,0,0,1,8,8,8,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
23,1,1,0,0,1,8,8,8,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
24,1,1,0,0,1,4,8,8,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
25,1,1,0,0,2,21,0,0,5,26|1|1,2|50000|1,24|2|1,累计向聚宝盆投入军令5次,UI/Main/GongHui
26,1,1,0,0,2,4,0,0,70,2|100000|1,24|5|1,27|2|1,累计参与竞技场70次,UI/Main/JingJi
27,1,1,0,0,2,23,0,0,2000,2|300000|1,16|2|1,27|2|1,累计提升战力2000,UI/Main/BuDui
28,1,2,0,0,1,8,1,1,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
29,1,2,0,0,1,8,1,1,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
30,1,2,0,0,1,4,1,1,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
31,1,2,0,0,1,8,2,2,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
32,1,2,0,0,1,8,2,2,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
33,1,2,0,0,1,4,2,2,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
34,1,2,0,0,1,8,3,3,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
35,1,2,0,0,1,8,3,3,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
36,1,2,0,0,1,4,3,3,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
37,1,2,0,0,1,8,4,4,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
38,1,2,0,0,1,8,4,4,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
39,1,2,0,0,1,4,4,4,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
40,1,2,0,0,1,8,5,5,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
41,1,2,0,0,1,8,5,5,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
42,1,2,0,0,1,4,5,5,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
43,1,2,0,0,1,8,6,6,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
44,1,2,0,0,1,8,6,6,200,33|1|1,23|2|1,2|50000|1,累计消耗200点军令,UI/Main/RiChang
45,1,2,0,0,1,4,6,6,8,2|100000|1,19|5|1,16|1|1,累计参与竞技场8次,UI/Main/JingJi
46,1,2,0,0,1,8,7,7,20,27|1|1,2|50000|1,33|1|1,累计消耗20点军令,UI/Main/RiChang
