序号,所属武将,天赋ID,UI位置索引,前置条件,连线类型(左上1开始逆时针),每级所需资源,天赋等级上限,获得被动技能,获得主动技能,每级提升武力,每级提升智力,每级提升兵力,名称,简介,图标UI资源地址
id,nCardID,nTalentID,nIconUIIndex,strTalentLimit,nLinkType,strUpgradeRes,nMaxSkillLv,strPassiveSkill,strSkill,nIncreaseWu,nIncreaseZhi,nIncreaseBing,strName,strDesc,strIconPath
int,int,int,int,string,int,string,int,string,string,int,int,int,string,string,string
1,3001,1,27,,0,205 9 5,10,,,2,2,3,三维,武力+2\n智力+2\n兵力+3,UI/RebelFate/icon_DiSanXi04_Tex
2,3001,2,14,1 10,4,205 9 5,10,,,0,0,6,兵力,兵力+6,UI/RebelFate/icon_DiSanXi03_Tex
3,3001,3,15,2 10,2,205 9 7,10,,,0,0,6,兵力,兵力+6,UI/RebelFate/icon_DiSanXi03_Tex
4,3001,4,28,1 10,2,205 9 5,10,,,4,0,0,武力,武力+4,UI/RebelFate/icon_DiSanXi01_Tex
5,3001,5,40,1 10,1,205 9 5,10,,,0,4,0,智力,智力+4,UI/RebelFate/icon_DiSanXi02_Tex
6,3001,6,41,5 10,2,205 9 7,10,,,0,4,0,智力,智力+4,UI/RebelFate/icon_DiSanXi02_Tex
7,3001,7,29,3 10|6 10,5,205 9 20|205 5 40|205 8 40|204 3001 5,1,6016,,0,0,0,逆命lv1,逆命lv1,UI/RebelFate/icon_DiSanXi05_Tex
8,3001,8,30,7 1,2,205 9 14,10,,,0,6,0,智力,智力+6,UI/RebelFate/icon_DiSanXi02_Tex
9,3001,9,17,8 10,4,205 9 14,10,,,0,6,0,智力,智力+6,UI/RebelFate/icon_DiSanXi02_Tex
10,3001,10,4,9 10,8,205 9 40|205 5 80|205 1 30,1,6021,,0,0,0,智力羁绊,智力羁绊,UI/RebelFate/icon_DiSanXi06_Tex
11,3001,11,43,8 10,1,205 9 14,10,,,6,0,0,武力,武力+6,UI/RebelFate/icon_DiSanXi01_Tex
12,3001,12,56,11 10,32,205 9 40|205 8 80|205 1 30,1,6020,,0,0,0,武力羁绊,武力羁绊,UI/RebelFate/icon_DiSanXi06_Tex
13,3001,13,31,8 10,2,205 9 35,10,,,4,4,6,三维,武力+4\n智力+4\n兵力+6,UI/RebelFate/icon_DiSanXi04_Tex
14,3001,14,18,13 10,4,205 18 9,5,,,0,6,0,智力,智力+6,UI/RebelFate/icon_DiSanXi02_Tex
15,3001,15,44,13 10,1,205 18 9,5,,,6,0,0,武力,武力+6,UI/RebelFate/icon_DiSanXi01_Tex
16,3001,16,32,13 5|14 5|15 5,7,205 18 20|205 14 60|205 10 15|204 3001 10,1,6017,,0,0,0,逆命lv2,逆命lv2,UI/RebelFate/icon_DiSanXi05_Tex
17,3001,17,33,16 1,2,205 18 14,10,,,0,0,9,兵力,兵力+9,UI/RebelFate/icon_DiSanXi03_Tex
18,3001,18,20,17 10,4,205 18 10,5,,,0,6,0,智力,智力+6,UI/RebelFate/icon_DiSanXi02_Tex
19,3001,19,46,17 5,1,205 18 10,5,,,6,0,0,武力,武力+6,UI/RebelFate/icon_DiSanXi01_Tex
20,3001,20,34,18 5|19 5 ,5,205 18 40|205 17 60|205 10 15|204 3001 15,1,6018,,0,0,0,逆命lv3,逆命lv3,UI/RebelFate/icon_DiSanXi05_Tex
21,3001,21,21,20 1,4,205 18 18,5,,,0,0,12,兵力,兵力+12,UI/RebelFate/icon_DiSanXi03_Tex
22,3001,22,47,20 1,1,205 18 18,5,,,8,0,0,武力,武力+8,UI/RebelFate/icon_DiSanXi01_Tex
23,3001,23,35,21 5|22 5 ,5,205 27 42,10,,,6,6,9,三维,武力+6\n智力+6\n兵力+9,UI/RebelFate/icon_DiSanXi04_Tex
24,3001,24,36,23 10,2,205 27 20|205 23 40|205 26 40|204 3001 30,1,6019,,0,0,0,逆命lv4,逆命lv4,UI/RebelFate/icon_DiSanXi05_Tex
25,3001,25,23,24 1,4,205 27 14,5,,,0,0,15,兵力,兵力+15,UI/RebelFate/icon_DiSanXi03_Tex
26,3001,26,49,24 1,1,205 27 14,5,,,10,0,0,武力,武力+10,UI/RebelFate/icon_DiSanXi01_Tex
27,3001,27,37,25 5|26 5 ,5,205 27 35,10,,,8,8,12,三维,武力+8\n智力+8\n兵力+12,UI/RebelFate/icon_DiSanXi04_Tex
28,3001,28,38,27 10,2,205 27 40|205 19 20|205 28 10|204 3001 40,1,,16032,0,0,0,蜕变,武将获得蜕变特效，主动技能提升,UI/RebelFate/icon_DiSanXi07_Tex
29,3002,1,27,,0,205 9 5,10,,,2,2,3,三维,武力+2\n智力+2\n兵力+3,UI/RebelFate/icon_DiSanXi04_Tex
30,3002,2,14,1 10,4,205 9 5,10,,,0,0,6,兵力,兵力+6,UI/RebelFate/icon_DiSanXi03_Tex
31,3002,3,15,2 10,2,205 9 7,10,,,0,0,6,兵力,兵力+6,UI/RebelFate/icon_DiSanXi03_Tex
32,3002,4,28,1 10,2,205 9 5,10,,,0,4,0,智力,智力+4,UI/RebelFate/icon_DiSanXi02_Tex
33,3002,5,40,1 10,1,205 9 5,10,,,4,0,0,武力,武力+4,UI/RebelFate/icon_DiSanXi01_Tex
34,3002,6,41,5 10,2,205 9 7,10,,,4,0,0,武力,武力+4,UI/RebelFate/icon_DiSanXi01_Tex
35,3002,7,29,3 10|6 10,5,205 9 20|205 5 40|205 6 40|204 3002 5,1,6009,,0,0,0,逆命lv1,逆命lv1,UI/RebelFate/icon_DiSanXi05_Tex
36,3002,8,30,7 1,2,205 9 14,10,,,6,0,0,武力,武力+6,UI/RebelFate/icon_DiSanXi01_Tex
37,3002,9,17,8 10,4,205 9 14,10,,,0,6,0,智力,智力+6,UI/RebelFate/icon_DiSanXi02_Tex
38,3002,10,4,9 10,8,205 9 40|205 5 80|205 2 30,1,6014,,0,0,0,智力羁绊,智力羁绊,UI/RebelFate/icon_DiSanXi06_Tex
39,3002,11,43,8 10,1,205 9 14,10,,,6,0,0,武力,武力+6,UI/RebelFate/icon_DiSanXi01_Tex
40,3002,12,56,11 10,32,205 9 40|205 6 80|205 2 30,1,6013,,0,0,0,武力羁绊,武力羁绊,UI/RebelFate/icon_DiSanXi06_Tex
41,3002,13,31,8 10,2,205 9 35,10,,,4,4,6,三维,武力+4\n智力+4\n兵力+6,UI/RebelFate/icon_DiSanXi04_Tex
42,3002,14,18,13 10,4,205 18 9,5,,,0,0,9,兵力,兵力+9,UI/RebelFate/icon_DiSanXi03_Tex
43,3002,15,44,13 10,1,205 18 9,5,,,6,0,0,武力,武力+6,UI/RebelFate/icon_DiSanXi01_Tex
44,3002,16,32,13 5|14 5|15 5,7,205 18 20|205 14 60|205 11 15|204 3002 10,1,6010,,0,0,0,逆命lv2,逆命lv2,UI/RebelFate/icon_DiSanXi05_Tex
45,3002,17,33,16 1,2,205 18 14,10,,,6,0,0,武力,武力+6,UI/RebelFate/icon_DiSanXi01_Tex
46,3002,18,20,17 10,4,205 18 10,5,,,0,0,9,兵力,兵力+9,UI/RebelFate/icon_DiSanXi03_Tex
47,3002,19,46,17 5,1,205 18 10,5,,,0,6,0,智力,智力+6,UI/RebelFate/icon_DiSanXi02_Tex
48,3002,20,34,18 5|19 5 ,5,205 18 40|205 15 60|205 11 15|204 3002 15,1,6011,,0,0,0,逆命lv3,逆命lv3,UI/RebelFate/icon_DiSanXi05_Tex
49,3002,21,21,20 1,4,205 18 18,5,,,0,0,12,兵力,兵力+12,UI/RebelFate/icon_DiSanXi03_Tex
50,3002,22,47,20 1,1,205 18 18,5,,,8,0,0,武力,武力+8,UI/RebelFate/icon_DiSanXi01_Tex
51,3002,23,35,21 5|22 5 ,5,205 27 42,10,,,6,6,9,三维,武力+6\n智力+6\n兵力+9,UI/RebelFate/icon_DiSanXi04_Tex
52,3002,24,36,23 10,2,205 27 20|205 23 40|205 24 40|204 3002 30,1,6012,,0,0,0,逆命lv4,逆命lv4,UI/RebelFate/icon_DiSanXi05_Tex
53,3002,25,23,24 1,4,205 27 14,5,,,0,0,15,兵力,兵力+15,UI/RebelFate/icon_DiSanXi03_Tex
54,3002,26,49,24 1,1,205 27 14,5,,,10,0,0,武力,武力+10,UI/RebelFate/icon_DiSanXi01_Tex
55,3002,27,37,25 5|26 5 ,5,205 27 35,10,,,8,8,12,三维,武力+8\n智力+8\n兵力+12,UI/RebelFate/icon_DiSanXi04_Tex
56,3002,28,38,27 10,2,205 27 40|205 20 20|205 28 10|204 3002 40,1,,16022,0,0,0,蜕变,武将获得蜕变特效，主动技能提升,UI/RebelFate/icon_DiSanXi07_Tex
57,3003,1,27,,0,205 9 5,10,,,2,2,3,三维,武力+2\n智力+2\n兵力+3,UI/RebelFate/icon_DiSanXi04_Tex
58,3003,2,14,1 10,4,205 9 5,10,,,0,0,6,兵力,兵力+6,UI/RebelFate/icon_DiSanXi03_Tex
59,3003,3,15,2 10,2,205 9 7,10,,,0,0,6,兵力,兵力+6,UI/RebelFate/icon_DiSanXi03_Tex
60,3003,4,28,1 10,2,205 9 5,10,,,0,4,0,智力,智力+4,UI/RebelFate/icon_DiSanXi02_Tex
61,3003,5,40,1 10,1,205 9 5,10,,,4,0,0,武力,武力+4,UI/RebelFate/icon_DiSanXi01_Tex
62,3003,6,41,5 10,2,205 9 7,10,,,4,0,0,武力,武力+4,UI/RebelFate/icon_DiSanXi01_Tex
63,3003,7,29,3 10|6 10,5,205 9 20|205 6 40|205 7 40|204 3003 5,1,6002,,0,0,0,逆命lv1,逆命lv1,UI/RebelFate/icon_DiSanXi05_Tex
64,3003,8,30,7 1,2,205 9 14,10,,,6,0,0,武力,武力+6,UI/RebelFate/icon_DiSanXi01_Tex
65,3003,9,17,8 10,4,205 9 14,10,,,0,6,0,智力,智力+6,UI/RebelFate/icon_DiSanXi02_Tex
66,3003,10,4,9 10,8,205 9 40|205 6 80|205 3 30,1,6007,,0,0,0,智力羁绊,智力羁绊,UI/RebelFate/icon_DiSanXi06_Tex
67,3003,11,43,8 10,1,205 9 14,10,,,6,0,0,武力,武力+6,UI/RebelFate/icon_DiSanXi01_Tex
68,3003,12,56,11 10,32,205 9 40|205 7 80|205 3 30,1,6006,,0,0,0,武力羁绊,武力羁绊,UI/RebelFate/icon_DiSanXi06_Tex
69,3003,13,31,8 10,2,205 9 35,10,,,4,4,6,三维,武力+4\n智力+4\n兵力+6,UI/RebelFate/icon_DiSanXi04_Tex
70,3003,14,18,13 10,4,205 18 9,5,,,0,0,9,兵力,兵力+9,UI/RebelFate/icon_DiSanXi03_Tex
71,3003,15,44,13 10,1,205 18 9,5,,,6,0,0,武力,武力+6,UI/RebelFate/icon_DiSanXi01_Tex
72,3003,16,32,13 5|14 5|15 5,7,205 18 20|205 15 60|205 12 15|204 3003 10,1,6003,,0,0,0,逆命lv2,逆命lv2,UI/RebelFate/icon_DiSanXi05_Tex
73,3003,17,33,16 1,2,205 18 14,10,,,6,0,0,武力,武力+6,UI/RebelFate/icon_DiSanXi01_Tex
74,3003,18,20,17 10,4,205 18 10,5,,,0,0,9,兵力,兵力+9,UI/RebelFate/icon_DiSanXi03_Tex
75,3003,19,46,17 5,1,205 18 10,5,,,0,6,0,智力,智力+6,UI/RebelFate/icon_DiSanXi02_Tex
76,3003,20,34,18 5|19 5 ,5,205 18 40|205 16 60|205 12 15|204 3003 15,1,6004,,0,0,0,逆命lv3,逆命lv3,UI/RebelFate/icon_DiSanXi05_Tex
77,3003,21,21,20 1,4,205 18 18,5,,,0,0,12,兵力,兵力+12,UI/RebelFate/icon_DiSanXi03_Tex
78,3003,22,47,20 1,1,205 18 18,5,,,8,0,0,武力,武力+8,UI/RebelFate/icon_DiSanXi01_Tex
79,3003,23,35,21 5|22 5 ,5,205 27 42,10,,,6,6,9,三维,武力+6\n智力+6\n兵力+9,UI/RebelFate/icon_DiSanXi04_Tex
80,3003,24,36,23 10,2,205 27 20|205 24 40|205 25 40|204 3003 30,1,6005,,0,0,0,逆命lv4,逆命lv4,UI/RebelFate/icon_DiSanXi05_Tex
81,3003,25,23,24 1,4,205 27 14,5,,,0,0,15,兵力,兵力+15,UI/RebelFate/icon_DiSanXi03_Tex
