序号|任务,任务标题,品质,最低战力,最高战力,持续时间(min),条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,条件,任务描述
id,strTitle,nQuality,nLowPower,nHighPower,nLastTime,nCond1,nCond2,nCond3,nCond4,nCond5,nCond6,nCond7,nCond8,nCond9,nCond10,nCond11,nCond12,nCond13,nCond14,nCond15,nCond16,nCond17,nCond18,nCond19,nCond20,strDesc
int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string
1,低级任务,2,600,8800,720,1,2,3,4,5,35,35,35,36,36,45,31,32,38,39,39,40,42,43,43,村口的余大妈说她家的羊被偷了，请你帮忙找回来。。。
2,低级任务,2,600,8800,720,1,2,3,4,5,35,35,35,36,36,46,32,32,38,38,39,41,42,43,44,村口的余大妈说她家的羊被偷了，请你帮忙找回来。。。
3,低级任务,2,600,8800,720,1,2,3,4,5,35,35,35,36,36,47,31,32,38,40,40,41,43,44,44,村口的余大妈说她家的羊被偷了，请你帮忙找回来。。。
4,低级任务,2,600,8800,720,1,2,3,4,5,35,35,35,36,36,46,32,32,38,39,40,41,42,44,44,村口的余大妈说她家的羊被偷了，请你帮忙找回来。。。
5,中级任务,3,600,8800,720,1,2,3,4,5,35,35,35,36,36,45,31,32,38,39,39,41,42,43,43,小霸王孙策最近连战连捷，已经成为了天下最年轻的军阀。江东名仕纷纷投靠，因为跟着小霸王混，其乐无穷啊！
6,中级任务,3,600,8800,720,1,2,3,4,5,35,35,35,36,36,46,32,32,38,40,41,41,42,42,44,小霸王孙策最近连战连捷，已经成为了天下最年轻的军阀。江东名仕纷纷投靠，因为跟着小霸王混，其乐无穷啊！
7,中级任务,3,600,8800,720,1,2,3,4,5,35,35,35,36,36,47,31,32,38,39,40,41,42,43,43,小霸王孙策最近连战连捷，已经成为了天下最年轻的军阀。江东名仕纷纷投靠，因为跟着小霸王混，其乐无穷啊！
8,中级任务,3,600,8800,720,1,2,3,4,5,35,35,35,36,36,47,32,32,38,40,40,41,42,44,44,小霸王孙策最近连战连捷，已经成为了天下最年轻的军阀。江东名仕纷纷投靠，因为跟着小霸王混，其乐无穷啊！
9,高级任务,4,600,8800,1440,1,2,3,4,5,35,35,35,36,36,45,32,32,39,39,40,41,42,43,44,常胜将军赵子龙的枪术最近遇到了瓶颈，希望寻找一个枪术大师指点一二。
10,高级任务,4,600,8800,1440,1,2,3,4,5,35,35,35,36,36,46,31,32,38,39,39,40,42,43,43,常胜将军赵子龙的枪术最近遇到了瓶颈，希望寻找一个枪术大师指点一二。
11,高级任务,4,600,8800,1440,1,2,3,4,5,35,35,35,36,36,47,32,32,38,38,39,41,42,43,44,常胜将军赵子龙的枪术最近遇到了瓶颈，希望寻找一个枪术大师指点一二。
12,高级任务,4,600,8800,1440,1,2,3,4,5,35,35,35,36,36,45,31,32,38,40,40,41,43,44,44,常胜将军赵子龙的枪术最近遇到了瓶颈，希望寻找一个枪术大师指点一二。
13,高级任务,4,600,8800,1440,1,2,3,4,5,35,35,35,36,36,45,32,32,39,39,40,41,42,43,44,常胜将军赵子龙的枪术最近遇到了瓶颈，希望寻找一个枪术大师指点一二。
14,高级任务,4,600,8800,1440,1,2,3,4,5,35,35,35,36,36,46,31,32,38,39,39,40,42,43,43,常胜将军赵子龙的枪术最近遇到了瓶颈，希望寻找一个枪术大师指点一二。
15,高级任务,4,600,8800,1440,1,2,3,4,5,35,35,35,36,36,47,32,32,38,38,39,41,42,43,44,常胜将军赵子龙的枪术最近遇到了瓶颈，希望寻找一个枪术大师指点一二。
16,高级任务,4,600,8800,1440,1,2,3,4,5,35,35,35,36,36,45,31,32,38,40,40,41,43,44,44,常胜将军赵子龙的枪术最近遇到了瓶颈，希望寻找一个枪术大师指点一二。
17,稀有任务,5,600,8800,1440,1,2,3,4,5,35,35,35,36,36,45,32,32,38,39,40,41,42,44,44,卧龙凤雏，二人得一可安天下。狗仔队探明了诸葛先生的住所，请派人前去蹲点！
18,稀有任务,5,600,8800,1440,1,2,3,4,5,35,35,35,36,36,46,31,31,38,39,39,41,42,43,43,卧龙凤雏，二人得一可安天下。狗仔队探明了诸葛先生的住所，请派人前去蹲点！
19,稀有任务,5,600,8800,1440,1,2,3,4,5,35,35,35,36,36,47,32,32,38,40,41,41,42,42,44,卧龙凤雏，二人得一可安天下。狗仔队探明了诸葛先生的住所，请派人前去蹲点！
20,稀有任务,5,600,8800,1440,1,2,3,4,5,35,35,35,36,36,46,31,32,38,39,40,41,42,43,43,卧龙凤雏，二人得一可安天下。狗仔队探明了诸葛先生的住所，请派人前去蹲点！
21,稀有任务,5,600,8800,1440,1,2,3,4,5,35,35,35,36,36,45,32,32,38,39,40,41,42,44,44,卧龙凤雏，二人得一可安天下。狗仔队探明了诸葛先生的住所，请派人前去蹲点！
22,稀有任务,5,600,8800,1440,1,2,3,4,5,35,35,35,36,36,46,31,31,38,39,39,41,42,43,43,卧龙凤雏，二人得一可安天下。狗仔队探明了诸葛先生的住所，请派人前去蹲点！
23,稀有任务,5,600,8800,1440,1,2,3,4,5,35,35,35,36,36,47,32,32,38,40,41,41,42,42,44,卧龙凤雏，二人得一可安天下。狗仔队探明了诸葛先生的住所，请派人前去蹲点！
24,稀有任务,5,600,8800,1440,1,2,3,4,5,35,35,35,36,36,46,31,32,38,39,40,41,42,43,43,卧龙凤雏，二人得一可安天下。狗仔队探明了诸葛先生的住所，请派人前去蹲点！
25,低级任务,2,8801,20700,720,6,7,8,9,10,35,35,36,36,36,45,47,32,38,39,39,40,42,43,43,村口的伍灵儿说她家的小猪走丢了，被妈妈发现了肯定要挨骂。请你赶紧帮忙在周围找一找。
26,低级任务,2,8801,20700,720,6,7,8,9,10,35,35,36,36,36,46,45,32,38,38,39,41,42,43,44,村口的伍灵儿说她家的小猪走丢了，被妈妈发现了肯定要挨骂。请你赶紧帮忙在周围找一找。
27,低级任务,2,8801,20700,720,6,7,8,9,10,35,35,36,36,36,47,46,31,38,40,40,41,43,44,44,村口的伍灵儿说她家的小猪走丢了，被妈妈发现了肯定要挨骂。请你赶紧帮忙在周围找一找。
28,低级任务,2,8801,20700,720,6,7,8,9,10,35,35,36,36,36,46,46,32,38,39,40,41,42,44,44,村口的伍灵儿说她家的小猪走丢了，被妈妈发现了肯定要挨骂。请你赶紧帮忙在周围找一找。
29,中级任务,3,8801,20700,720,6,7,8,9,10,35,35,36,36,36,45,46,32,38,39,39,41,42,43,43,刘备集团被曹操的大军冲散，小主人在乱军中失散，追随子龙将军前往寻找！
30,中级任务,3,8801,20700,720,6,7,8,9,10,35,35,36,36,36,46,47,32,38,40,41,41,42,42,44,刘备集团被曹操的大军冲散，小主人在乱军中失散，追随子龙将军前往寻找！
31,中级任务,3,8801,20700,720,6,7,8,9,10,35,35,36,36,36,47,47,31,38,39,40,41,42,43,43,刘备集团被曹操的大军冲散，小主人在乱军中失散，追随子龙将军前往寻找！
32,中级任务,3,8801,20700,720,6,7,8,9,10,35,35,36,36,36,47,46,32,38,40,40,41,42,44,44,刘备集团被曹操的大军冲散，小主人在乱军中失散，追随子龙将军前往寻找！
33,高级任务,4,8801,20700,1440,6,7,8,9,10,35,35,36,36,36,45,46,32,39,39,40,41,42,43,44,常胜将军赵子龙的枪术最近遇到了瓶颈，希望寻找一个枪术大师指点一二。
34,高级任务,4,8801,20700,1440,6,7,8,9,10,35,35,36,36,36,46,45,31,38,39,39,40,42,43,43,常胜将军赵子龙的枪术最近遇到了瓶颈，希望寻找一个枪术大师指点一二。
35,高级任务,4,8801,20700,1440,6,7,8,9,10,35,35,36,36,36,47,45,32,38,38,39,41,42,43,44,常胜将军赵子龙的枪术最近遇到了瓶颈，希望寻找一个枪术大师指点一二。
36,高级任务,4,8801,20700,1440,6,7,8,9,10,35,35,36,36,36,45,47,32,38,40,40,41,43,44,44,常胜将军赵子龙的枪术最近遇到了瓶颈，希望寻找一个枪术大师指点一二。
37,高级任务,4,8801,20700,1440,6,7,8,9,10,35,35,36,36,36,45,46,32,39,39,40,41,42,43,44,常胜将军赵子龙的枪术最近遇到了瓶颈，希望寻找一个枪术大师指点一二。
38,高级任务,4,8801,20700,1440,6,7,8,9,10,35,35,36,36,36,46,45,31,38,39,39,40,42,43,43,常胜将军赵子龙的枪术最近遇到了瓶颈，希望寻找一个枪术大师指点一二。
