序号|条件,"类型(1:卡片ID,2:战力,3:性别,4:品质,5:国家,6:兵种,7:被动，8:限定卡)",取值,描述
id,nType,strValue,StrDesc
int,int,string,string
1,2,900,卡片战力900(不含随从)
2,2,1000,卡片战力1000(不含随从)
3,2,1100,卡片战力1100(不含随从)
4,2,1200,卡片战力1200(不含随从)
5,2,1300,卡片战力1300(不含随从)
6,2,1200,卡片战力1200(不含随从)
7,2,1400,卡片战力1400(不含随从)
8,2,1600,卡片战力1600(不含随从)
9,2,1800,卡片战力1800(不含随从)
10,2,2400,卡片战力2400(不含随从)
11,2,2200,卡片战力2200(不含随从)
12,2,2400,卡片战力2400(不含随从)
13,2,2700,卡片战力2700(不含随从)
14,2,2900,卡片战力2900(不含随从)
15,2,3500,卡片战力3500(不含随从)
16,2,2800,卡片战力2800(不含随从)
17,2,3100,卡片战力3100(不含随从)
18,2,3400,卡片战力3400(不含随从)
19,2,4000,卡片战力4000(不含随从)
20,2,4500,卡片战力4500(不含随从)
21,2,3800,卡片战力3800(不含随从)
22,2,4000,卡片战力4000(不含随从)
23,2,4400,卡片战力4400(不含随从)
24,2,5000,卡片战力5000(不含随从)
25,2,5600,卡片战力5600(不含随从)
26,2,4000,卡片战力4000(不含随从)
27,2,4500,卡片战力4500(不含随从)
28,2,5000,卡片战力5000(不含随从)
29,2,5500,卡片战力5500(不含随从)
30,2,6000,卡片战力6000(不含随从)
31,3,1,男性
32,3,2,女性
33,4,1,白卡
34,4,2,黑卡
35,4,3,银卡
36,4,4,金卡
37,4,5,钻石卡
38,5,1,魏国
39,5,2,蜀国
40,5,3,吴国
41,5,4,群雄
42,6,0,枪兵
43,6,1,弓兵
44,6,2,骑兵
45,7,9,坚韧
46,7,10,勇武
47,7,12,雄狮
48,7,5,魅力
49,7,13,集中\无暇
50,7,4,谨慎
51,7,0,反枪
52,7,1,反弓
53,7,2,反骑
54,7,14,神速
55,7,6,神算
56,7,15,神佑
57,7,16,持盾
