序号,资源类型,子类型,名字,描述,资源获取Id,资源消耗描述,图标框,小图标,大图标(已废弃）,节日图标,资源整理分类,稀有度特效(0无1橙色2紫)
id,nType,nSubType,strTitle,strDesc,sourceIds,strConSumeDesc,strBorder,strIconSmall,strIconBig,strIconHoliday,nResTapType,nRareFx
int,int,int,string,string,int[5],string,string,string,string,string,int,int
1,5,0,钻石,钻石，珍贵且稀缺的资源，可以购买大多数需要的物资，也可用于招募武将。,1|2,用于购买商品,Common/ResouceIcon/Border/icon_yellowbg01_Tex,Common/ResouceIcon/Small/icon_small_diamond_Tex,,,1,0
2,16,0,青龙石,青龙石，“四圣兽●青龙”精魂化为的玉石，可以增加武力、智力、兵力。,51|52|53,用于强化武将,Common/ResouceIcon/Border/icon_yellowbg01_Tex,Common/ResouceIcon/Small/icon_small_qinglong_Tex,,,1,0
3,29,0,血玉,血玉，含有绝世武将精血的玉石，可用来提升钻石武将，战器的等级。,31|32,用于强化武将、战器,Common/ResouceIcon/Border/icon_yellowbg01_Tex,Common/ResouceIcon/Small/icon_small_blood_Tex,,,1,0
4,32,0,战器材料,战器碎片,261,用于合成专属战器,Common/ResouceIcon/Border/icon_yellowbg01_Tex,Common/ResouceIcon/Small/icon_small_weaponitem_Tex,,,5,0
5,43,0,工坊设计图,工坊图纸，画有复杂机关结构的图纸，可用于“战争工坊”的研发和升星。,121|122,用于强化战争工坊,Common/ResouceIcon/Border/icon_yellowbg01_Tex,Common/ResouceIcon/Small/icon_WFdrawing_tex,,,1,0
6,54,0,保底券,保底券，使用此券进行战器强化失败后不会降低战器强化等级,203,用于强化战器时，防止失败掉级,Common/ResouceIcon/Border/icon_yellowbg01_Tex,Common/ResouceIcon/Small/icon_small_baodi_Tex,,,3,0
7,101,0,现金奖励,现金奖励描述,0,,Common/ResouceIcon/Border/icon_yellowbg01_Tex,,,,0,0
8,102,0,,礼包奖励描述,0,,Common/ResouceIcon/Border/icon_yellowbg_Tex,,,,0,0
9,200,59,重置券,重置券，可以改变战器的词条数量。,271,用于重置战器的淬炼词条,Common/ResouceIcon/Border/icon_yellowbg01_Tex,Common/ResouceIcon/Small/icon_small_chongzhi_Tex,,,1,0
10,200,64,工坊重置券,工坊重置券,276,用于重置工坊培养进度（返还所有资源）,Common/ResouceIcon/Border/icon_yellowbg01_Tex,Common/ResouceIcon/Small/icon_GF_reset_tex,,,1,0
11,105,0,头像,展示个人风采,0,,Common/ResouceIcon/Border/icon_yellowbg01_Tex,,,,0,0
13,204,0,{0}逆命碎片,与80级鬼级以上{0}可合成“{1}”,297,可用于合成逆命武将,Common/ResouceIcon/Border/icon_yellowbg01_Tex,Common/ResouceIcon/Small/icon_QiCaiShi_tex,,,8,1
14,14,0,科技点,科技点，在科技中可以提升兵种科技,91|92|93,用于强化兵种科技,Common/ResouceIcon/Border/icon_purplebg01_Tex,Common/ResouceIcon/Small/icon_small_techpower_Tex,,,1,0
15,17,0,白虎石,白虎石，“四圣兽●白虎”精魂化为的玉石，可以增加武力、兵力。,61|62|63,用于强化武将,Common/ResouceIcon/Border/icon_purplebg01_Tex,Common/ResouceIcon/Small/icon_small_baihu_Tex,,,1,0
16,18,0,朱雀石,朱雀石，“四圣兽●朱雀”精魂化为的玉石，可以增加智力、兵力。,71|72|73,用于强化武将,Common/ResouceIcon/Border/icon_purplebg01_Tex,Common/ResouceIcon/Small/icon_small_zhuque_Tex,,,1,0
17,23,0,传承卷,传承卷，一张刻有古老文字的羊皮纸，可用于“武将传承”。,241|242|243,用于传承武将、战器,Common/ResouceIcon/Border/icon_purplebg01_Tex,Common/ResouceIcon/Small/icon_small_smritireel_Tex,,,3,0
18,26,0,金币,金币，刻有奇怪符号的金币，可以用于“精选招募”。,201|202|203,用于免费招募【精选武将】,Common/ResouceIcon/Border/icon_purplebg01_Tex,Common/ResouceIcon/Small/icon_small_coin_gold_Tex,,,3,0
19,31,0,战器,战器,0,,Common/ResouceIcon/Border/icon_purplebg01_Tex,Common/ResouceIcon/Small/icon_small_weapon_Tex,,,0,0
20,34,0,金钥匙,金钥匙，珍贵的黄金钥匙，可用开启“战器寻宝”中的至尊宝箱。,221|222,用于10连【战器招募】,Common/ResouceIcon/Border/icon_purplebg01_Tex,Common/ResouceIcon/Small/icon_small_key_gold_Tex,,,3,0
21,38,0,板砖,板砖，可以在机关人处使用，有机会砸出大量卡魂或血玉。,171|172,用于拍打【机关人】,Common/ResouceIcon/Border/icon_purplebg01_Tex,Common/ResouceIcon/Small/icon_small_brick_Tex,,,2,0
22,52,0,,兵书,0,,Common/ResouceIcon/Border/icon_gray_Tex,Common/ResouceIcon/Small/icon_I5_tex,,,0,0
23,53,0,玉牌,玉牌，可以在购买兵书时代替钻石花费。,191|192,用于免费获取【兵书】,Common/ResouceIcon/Border/icon_purplebg01_Tex,Common/ResouceIcon/Small/icon_bookticket_Tex,,,2,0
24,55,0,神眷点,神眷点，在竞技场的战斗中获得，用于神眷抽卡。,251,用于竞技场商店、神眷抽卡,Common/ResouceIcon/Border/icon_purplebg01_Tex,Common/ResouceIcon/Small/icon_small_god_Tex,,,2,0
25,200,60,石精,石精，用于强化兵符,273|274,用于强化兵符,Common/ResouceIcon/Border/icon_purplebg01_Tex,Common/ResouceIcon/Small/icon_rune01_tex,,,1,0
26,104,0,符文,符文,0,用于购买符文,Common/ResouceIcon/Border/icon_purplebg01_Tex,Common/ResouceIcon/Small/icon_BingFu_Unkown_Tex,,,0,0
27,200,67,幸运币,刻着象征幸运的四叶草，用于幸运抽卡,283,用于幸运抽卡,Common/ResouceIcon/Border/icon_purplebg01_Tex,Common/ResouceIcon/Small/icon_small_coin_lucky_Tex,,,3,0
28,200,70,七彩石,可用于兑换头像和头像框,285,用于在七彩石商店兑换头像和头像框,Common/ResouceIcon/Border/icon_purplebg01_Tex,Common/ResouceIcon/Small/icon_QiCaiShi_tex,,,2,0
