序号,套装,品质(星级1~5),位置(1~6),主属性包id,副属性包id,附魔属性包id,副属性条数掉落
id,nSet,nQuality,nPos,nMainAttrBag,nSecondAttrBag,nEnchantBag,nSecondAttrNum
int,int,int,int,int,int,int,int
1001,101,1,1,101,201,201,1
1002,101,1,2,102,201,201,1
1003,101,1,3,103,201,201,1
1004,101,1,4,104,201,201,1
1005,101,1,5,105,201,201,1
1006,101,1,6,106,201,201,1
2001,101,2,1,101,201,201,2
2002,101,2,2,102,201,201,2
2003,101,2,3,103,201,201,2
2004,101,2,4,104,201,201,2
2005,101,2,5,105,201,201,2
2006,101,2,6,106,201,201,2
3001,101,3,1,101,201,201,3
3002,101,3,2,102,201,201,3
3003,101,3,3,103,201,201,3
3004,101,3,4,104,201,201,3
3005,101,3,5,105,201,201,3
3006,101,3,6,106,201,201,3
4011,201,4,1,101,201,201,4
4012,201,4,2,102,201,201,4
4013,201,4,3,103,201,201,4
4014,201,4,4,104,201,201,4
4015,201,4,5,105,201,201,4
4016,201,4,6,106,201,201,4
4021,202,4,1,101,201,201,4
4022,202,4,2,102,201,201,4
4023,202,4,3,103,201,201,4
4024,202,4,4,104,201,201,4
4025,202,4,5,105,201,201,4
4026,202,4,6,106,201,201,4
4031,203,4,1,101,201,201,4
4032,203,4,2,102,201,201,4
4033,203,4,3,103,201,201,4
4034,203,4,4,104,201,201,4
4035,203,4,5,105,201,201,4
4036,203,4,6,106,201,201,4
4041,204,4,1,101,201,201,4
4042,204,4,2,102,201,201,4
4043,204,4,3,103,201,201,4
4044,204,4,4,104,201,201,4
4045,204,4,5,105,201,201,4
4046,204,4,6,106,201,201,4
4051,205,4,1,101,201,201,4
4052,205,4,2,102,201,201,4
4053,205,4,3,103,201,201,4
4054,205,4,4,104,201,201,4
4055,205,4,5,105,201,201,4
4056,205,4,6,106,201,201,4
4061,206,4,1,101,201,201,4
4062,206,4,2,102,201,201,4
4063,206,4,3,103,201,201,4
4064,206,4,4,104,201,201,4
4065,206,4,5,105,201,201,4
4066,206,4,6,106,201,201,4
4071,207,4,1,101,201,201,4
4072,207,4,2,102,201,201,4
4073,207,4,3,103,201,201,4
4074,207,4,4,104,201,201,4
4075,207,4,5,105,201,201,4
4076,207,4,6,106,201,201,4
4081,208,4,1,101,201,201,4
4082,208,4,2,102,201,201,4
4083,208,4,3,103,201,201,4
4084,208,4,4,104,201,201,4
4085,208,4,5,105,201,201,4
4086,208,4,6,106,201,201,4
5011,201,5,1,101,201,201,5
5012,201,5,2,102,201,201,5
5013,201,5,3,103,201,201,5
5014,201,5,4,104,201,201,5
5015,201,5,5,105,201,201,5
5016,201,5,6,106,201,201,5
5021,202,5,1,101,201,201,5
5022,202,5,2,102,201,201,5
5023,202,5,3,103,201,201,5
5024,202,5,4,104,201,201,5
5025,202,5,5,105,201,201,5
5026,202,5,6,106,201,201,5
5031,203,5,1,101,201,201,5
5032,203,5,2,102,201,201,5
5033,203,5,3,103,201,201,5
5034,203,5,4,104,201,201,5
5035,203,5,5,105,201,201,5
5036,203,5,6,106,201,201,5
5041,204,5,1,101,201,201,5
5042,204,5,2,102,201,201,5
5043,204,5,3,103,201,201,5
5044,204,5,4,104,201,201,5
5045,204,5,5,105,201,201,5
5046,204,5,6,106,201,201,5
5051,205,5,1,101,201,201,5
5052,205,5,2,102,201,201,5
5053,205,5,3,103,201,201,5
5054,205,5,4,104,201,201,5
5055,205,5,5,105,201,201,5
5056,205,5,6,106,201,201,5
5061,206,5,1,101,201,201,5
5062,206,5,2,102,201,201,5
5063,206,5,3,103,201,201,5
5064,206,5,4,104,201,201,5
5065,206,5,5,105,201,201,5
5066,206,5,6,106,201,201,5
5071,207,5,1,101,201,201,5
5072,207,5,2,102,201,201,5
5073,207,5,3,103,201,201,5
5074,207,5,4,104,201,201,5
5075,207,5,5,105,201,201,5
5076,207,5,6,106,201,201,5
5081,208,5,1,101,201,201,5
5082,208,5,2,102,201,201,5
5083,208,5,3,103,201,201,5
5084,208,5,4,104,201,201,5
5085,208,5,5,105,201,201,5
5086,208,5,6,106,201,201,5
10000,208,5,6,204,202,202,5
10001,208,5,6,204,203,203,5
6011,201,5,1,101,205,201,6
6012,201,5,2,102,205,201,6
6013,201,5,3,103,205,201,6
6014,201,5,4,104,205,201,6
6015,201,5,5,105,205,201,6
6016,201,5,6,106,205,201,6
6021,202,5,1,101,205,201,6
6022,202,5,2,102,205,201,6
6023,202,5,3,103,205,201,6
6024,202,5,4,104,205,201,6
6025,202,5,5,105,205,201,6
6026,202,5,6,106,205,201,6
6031,203,5,1,101,205,201,6
6032,203,5,2,102,205,201,6
6033,203,5,3,103,205,201,6
6034,203,5,4,104,205,201,6
6035,203,5,5,105,205,201,6
6036,203,5,6,106,205,201,6
6041,204,5,1,101,205,201,6
6042,204,5,2,102,205,201,6
6043,204,5,3,103,205,201,6
6044,204,5,4,104,205,201,6
6045,204,5,5,105,205,201,6
6046,204,5,6,106,205,201,6
6051,205,5,1,101,205,201,6
6052,205,5,2,102,205,201,6
6053,205,5,3,103,205,201,6
6054,205,5,4,104,205,201,6
6055,205,5,5,105,205,201,6
6056,205,5,6,106,205,201,6
6061,206,5,1,101,205,201,6
6062,206,5,2,102,205,201,6
6063,206,5,3,103,205,201,6
6064,206,5,4,104,205,201,6
6065,206,5,5,105,205,201,6
6066,206,5,6,106,205,201,6
6071,207,5,1,101,205,201,6
6072,207,5,2,102,205,201,6
6073,207,5,3,103,205,201,6
6074,207,5,4,104,205,201,6
6075,207,5,5,105,205,201,6
6076,207,5,6,106,205,201,6
6081,208,5,1,101,205,201,6
6082,208,5,2,102,205,201,6
6083,208,5,3,103,205,201,6
6084,208,5,4,104,205,201,6
6085,208,5,5,105,205,201,6
6086,208,5,6,106,205,201,6
