id,拉取战力,难度标准（用于难度自适应）,对应csv关卡,兵符掉落包（挑战成功、扫荡可得）,兵符掉落个数,特殊奖励（仅首次通关可得）,默认显示CSVId,减负系数
id,nZhanli,nStandardZhanli,nCSVLevelId,nRuneDropId,nRuneDropCount,sReward,nShowCSVId,fRate
int,int,int,int,int,int,string,int,float
0,50000,30000,90001,10040,1,null,293,0.5
1,51520,31891,90002,10041,1,null,335,0.5
2,53040,33783,90003,10042,1,null,314,0.5
3,54560,35675,90004,10043,1,null,338,0.5
4,56080,37567,90005,10044,1,200|62|20,367,0.5
5,57600,39459,90006,10045,1,null,1305,0.5
6,59120,41351,90007,10046,1,null,1285,0.5
7,60640,43243,90008,10047,1,null,445,0.5
8,62160,45135,90009,10048,1,null,46,0.5
9,63680,47027,90010,10049,1,200|61|30,419,0.5
10,65200,48918,90011,10050,1,null,437,0.5
11,66720,50810,90012,10051,1,null,412,0.5
12,68240,52702,90013,10052,1,null,1305,0.5
13,69760,54594,90014,10053,1,null,1361,0.5
14,71280,56486,90015,10054,1,200|62|30,1342,0.5
15,72800,58378,90016,10055,1,null,1335,0.5
16,74320,60270,90017,10056,1,null,374,0.5
17,75840,62162,90018,10057,1,null,314,0.5
18,77360,64054,90019,10058,1,null,1293,0.5
19,78880,65945,90020,10059,1,200|61|40,321,0.5
20,80400,67837,90021,10060,1,null,1348,0.5
21,81920,69729,90022,10061,1,null,411,0.5
22,83440,71621,90023,10062,1,null,265,0.5
23,84960,73513,90024,10063,1,null,1379,0.5
24,86480,75405,90025,10064,1,200|62|40,1383,0.5
25,88000,77297,90026,10065,1,null,431,0.5
26,89520,79189,90027,10066,1,null,1342,0.5
27,91040,81081,90028,10067,1,null,1293,0.5
28,92560,82972,90029,10068,1,null,387,0.5
29,94080,84864,90030,10069,1,200|61|50,408,0.5
30,95600,86756,90031,10070,1,null,441,0.5
31,97120,88648,90032,10071,1,null,407,0.5
32,98640,90540,90033,10072,1,null,1367,0.5
33,100160,92432,90034,10073,1,null,449,0.5
34,101680,94324,90035,10074,1,200|62|50,1289,0.5
35,103200,96216,90036,10075,1,null,427,0.5
36,104720,98108,90037,10076,1,null,1367,0.5
37,106240,100000,90038,10077,1,null,334,0.5
38,107760,104545,90039,10078,1,null,1260,0.5
39,109280,109090,90040,10079,1,200|61|60,1424,0.5
40,110800,113636,90041,10080,1,null,445,0.5
41,112320,118181,90042,10081,1,null,1390,0.5
42,113840,122727,90043,10082,1,null,46,0.5
43,115360,127272,90044,10083,1,null,357,0.5
44,116880,131818,90045,10084,1,200|62|60,1285,0.5
45,118400,136363,90046,10085,1,null,1339,0.5
46,119920,140909,90047,10086,1,null,1276,0.5
47,121440,145454,90048,10087,1,null,442,0.5
48,122960,150000,90049,10088,1,null,1305,0.5
49,124480,154545,90050,10089,1,200|61|70,286,0.5
50,126000,159090,90051,10090,1,null,343,0.5
51,127520,163636,90052,10091,1,null,1399,0.5
52,129040,168181,90053,10092,1,null,428,0.5
53,130560,172727,90054,10093,1,null,387,0.5
54,132080,177272,90055,10094,1,200|62|70,297,0.5
55,133600,181818,90056,10095,1,null,1335,0.5
56,135120,186363,90057,10096,1,null,1361,0.5
57,136640,190909,90058,10097,1,null,446,0.5
58,138160,195454,90059,10098,1,null,1313,0.5
59,139680,200000,90060,10099,1,200|61|80,1256,0.5
60,141200,204545,90061,10100,1,null,1367,0.5
61,142720,209090,90062,10101,1,null,411,0.5
62,144240,213636,90063,10102,1,null,450,0.5
63,145760,218181,90064,10103,1,null,407,0.5
64,147280,222727,90065,10104,1,200|62|80,437,0.5
65,148800,227272,90066,10105,1,null,1390,0.5
66,150320,231818,90067,10106,1,null,338,0.5
67,151840,236363,90068,10107,1,null,1334,0.5
68,153360,240909,90069,10108,1,null,441,0.5
69,154880,245454,90070,10109,1,200|61|90,257,0.5
70,156400,250000,90071,10110,1,null,338,0.7
71,157920,265517,90072,10111,1,null,445,0.7
72,159440,281034,90073,10112,1,null,314,0.7
73,160960,296551,90074,10113,1,null,387,0.7
74,162480,312068,90075,10114,1,200|62|90,257,0.7
75,164000,327586,90076,10115,1,null,1374,0.7
76,165520,343103,90077,10116,1,null,1390,0.7
77,167040,358620,90078,10117,1,null,445,0.7
78,168560,374137,90079,10118,1,null,437,0.7
79,170080,389655,90080,10119,1,200|61|100,445,0.7
80,175076,405172,90081,10120,1,null,445,0.7
81,180072,420689,90082,10121,1,null,445,0.7
82,185068,436206,90083,10122,1,null,265,0.7
83,190064,451724,90084,10123,1,null,1293,0.7
84,195060,467241,90085,10124,1,200|62|100,387,0.7
85,200056,482758,90086,10125,1,null,387,0.7
86,205052,498275,90087,10126,1,null,458,0.7
87,210048,513793,90088,10127,1,null,265,0.7
88,215044,529310,90089,10128,1,null,445,0.7
89,220040,544827,90090,10129,1,200|61|110,458,0.7
90,225036,560344,90091,10130,1,null,338,0.7
91,230032,575862,90092,10131,1,null,445,0.7
92,235028,591379,90093,10132,1,null,265,0.7
93,240024,606896,90094,10133,1,null,1293,0.7
94,245020,622413,90095,10134,1,200|62|110,387,0.7
95,250016,637931,90096,10135,1,null,387,0.7
96,255012,653448,90097,10136,1,null,458,0.7
97,260008,668965,90098,10137,1,null,445,0.7
98,265004,684482,90099,10138,1,null,458,0.7
99,270000,700000,90100,10139,1,200|61|120,338,0.7
100,279234,725730,90101,10090,1,null,343,0.5
101,289468,757460,90102,10091,1,null,1399,0.5
102,299702,789190,90103,10092,1,null,428,0.5
103,309936,820920,90104,10093,1,null,387,0.5
104,320170,852650,90105,10094,1,200|62|70,297,0.5
105,330404,884380,90106,10095,1,null,1335,0.5
106,340638,916110,90107,10096,1,null,1361,0.5
107,350872,947840,90108,10097,1,null,446,0.5
108,361106,979570,90109,10098,1,null,1313,0.5
109,371340,1011300,90110,10099,1,200|61|80,1256,0.5
110,381574,1043030,90111,10100,1,null,1367,0.5
111,391808,1074760,90112,10101,1,null,411,0.5
112,402042,1106490,90113,10102,1,null,450,0.5
113,412276,1138220,90114,10103,1,null,407,0.5
114,422510,1169950,90115,10104,1,200|62|80,437,0.5
115,432744,1201680,90116,10105,1,null,1390,0.5
116,442978,1233410,90117,10106,1,null,338,0.5
117,453212,1265140,90118,10107,1,null,1334,0.5
118,463446,1296870,90119,10108,1,null,441,0.5
119,473680,1328600,90120,10109,1,200|61|90,257,0.5
120,483914,1360330,90121,10110,1,null,338,0.7
121,495148,1396060,90122,10111,1,null,445,0.7
122,506382,1431790,90123,10112,1,null,314,0.7
123,517616,1467520,90124,10113,1,null,387,0.7
124,528850,1503250,90125,10114,1,200|62|90,257,0.7
125,540084,1538980,90126,10115,1,null,1374,0.7
126,551318,1574710,90127,10116,1,null,1390,0.7
127,562552,1610440,90128,10117,1,null,445,0.7
128,573786,1646170,90129,10118,1,null,437,0.7
129,585020,1681900,90130,10119,1,200|61|100,445,0.7
130,596254,1717630,90131,10120,1,null,445,0.7
131,607488,1753360,90132,10121,1,null,445,0.7
132,618722,1789090,90133,10122,1,null,265,0.7
133,629956,1824820,90134,10123,1,null,1293,0.7
134,641190,1860550,90135,10124,1,200|62|100,387,0.7
135,652424,1896280,90136,10125,1,null,387,0.7
136,663658,1932010,90137,10126,1,null,458,0.7
137,674892,1967740,90138,10127,1,null,265,0.7
138,686126,2003470,90139,10128,1,null,445,0.7
139,697360,2039200,90140,10129,1,200|61|110,458,0.7
140,708594,2074930,90141,10130,1,null,338,0.7
141,719828,2110660,90142,10131,1,null,445,0.7
142,731062,2146390,90143,10132,1,null,265,0.7
143,742296,2182120,90144,10133,1,null,1293,0.7
144,753530,2217850,90145,10134,1,200|62|110,387,0.7
145,764764,2253580,90146,10135,1,null,387,0.7
146,775998,2289310,90147,10136,1,null,458,0.7
147,787232,2325040,90148,10137,1,null,445,0.7
148,798466,2360770,90149,10138,1,null,458,0.7
149,809700,2396500,90150,10139,1,200|61|120,338,0.7
