序号,等级,强化石,卡魂,说明
id,nLevel,strStone,strCardSoul,strDesc
int,int,string,string,string
1,0,1|2|3|4|5,1000|2000|3000|4000|5000,分解未强化兵符时的资源
2,1,3|5|7|11|15,26000|64500|90500|154000|255000,1-5星累计强化到+1
3,2,7|11|15|24|35,76000|189500|265500|454000|755000,1-5星累计强化到+2
4,3,13|20|27|44|65,151000|377000|528000|904000|1505000,1-5星累计强化到+3
5,4,21|32|43|70|105,251000|627000|878000|1504000|2505000,1-5星累计强化到+4
6,5,33|50|67|109|165,401000|1002000|1403000|2404000|4005000,1-5星累计强化到+5
7,6,51|77|103|168|255,626000|1564500|2190500|3754000|6255000,1-5星累计强化到+6
8,7,77|116|155|253|385,951000|2377000|3328000|5704000|9505000,1-5星累计强化到+7
9,8,111|167|223|364|555,1376000|3439500|4815500|8254000|13755000,1-5星累计强化到+8
10,9,157|236|315|514|785,1951000|4877000|6828000|11704000|19505000,1-5星累计强化到+9
11,10,219|329|439|716|1095,2726000|6814500|9540500|16354000|27255000,1-5星累计强化到+10
12,11,299|449|599|976|1495,3726000|9314500|13040500|22354000|37255000,1-5星累计强化到+11
13,12,405|608|811|1321|2025,5051000|12627000|17678000|30304000|50505000,1-5星累计强化到+12
14,13,543|815|1087|1770|2715,6776000|16939500|23715500|40654000|67755000,1-5星累计强化到+13
15,14,725|1088|1451|2362|3625,9051000|22627000|31678000|54304000|90505000,1-5星累计强化到+14
16,15,965|1448|1931|3142|4825,12051000|30127000|42178000|72304000|120505000,1-5星累计强化到+15
