序号,刷新时间,刷新时间文本描述,关联系统（CSVSystemLimit id）,关联活动时间,货位掉落包ID[如果为固定商品，则配置同ID掉落包；ID掉落包配置数量和物品数量一致，例固定商店有两个商品，则配置成x|x],货位可购买次数（1|0）,商店名称,货币类型,货币子类型,刷新货币类型,价格,关联活动,活动打折,是否显示物资列表,全部购买需要货币,免费刷新次数,锁定消耗货币,图标,NPC头像,NPC普通点击对话,NPC特殊点击对话,特殊商店（1不发2公会）
id,strRefreshTime,strRefreshTimeDesc,nSystemLimitId,activityIDTime,nDropBag,nCanBuyCount,strName,nShowClass,nShowType,attRefreshClass,attPriceCount,activityID,fDiscount,nShowItemList,nBuyAllCost,nFreeRefreshCount,nLockCost,strIcon,strNPC,strNormalContent,strPsContent,nSpecialFlag
int,string,string,int,int,int[50],int[50],string,int,int,int[2],int[2],int,float,int,int,int,int,string,string,string,string,int
1,0|0|0|1-2-3-4-5-6-7|6-14-22|0,"每日6,14,22时刷新",17,0,1|1|1|1|1,1|1|1|1|1,圣石商店,19,0,5|0,20|0,0,0.8,0,0,0,0,icon_Smarket_ShengShi_Tex,npc4,大雷80，小雷40|五百年了，五百年了！我终于等到黄天之势了，哈哈哈哈哈哈隔|这个乱世，真正呼风唤雨的那两个人才能掌控天下，一个是我，一个是天公将军！,哎呀！小英雄真是财大气粗啊！,0
2,0|0|0|1-2-3-4-5-6-7|6|0,每日6时刷新,22,0,1001|1001|1001|1001|1101|1102,1|1|1|1|1|1,公会商店,35,0,35|0,20|0,340902,0.88,0,0,0,0,icon_Smarket_GongXian_Tex,npc150,三分天下，一看今朝，二看今朝，再看今朝|臣现在精神抖擞，感觉还能再活五百年|大汉天威，没有一发天雷解决不了的敌人，如果有，那就再来一发。,多多捐献，公会强则少年强,2
3,0|0|0|1-2-3-4-5-6-7|6-14-22|0,"每日6,14,22时刷新",23,0,2001|2002|2003|2004|2005|2006|2007|2008,1|1|1|1|1|1|1|1,派遣商店,36,0,36|5,20|25,0,0,0,0,0,0,icon_Smarket_ShengWang_Tex,npc70,如何击败比自己强大得多的对手，时机和火候很重要|又可以和老对手较量一番了，真是让人兴奋！|本店颜值极高，英俊的人可以享受8折的优惠,(*@ο@*) 哇～谢谢惠顾！,0
9,0|0|0|1-2-3-4-5-6-7|9|0,每日9时刷新,1007,0,11|11|11|11|12|12|12|12|12|12|12|12|12|12|12|12|12|12|12|12|12|12|12|12|9|9|9|9|9|10|10|10,1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,战功商店,51,0,0|0,0|0,0,0,0,0,0,0,icon_Smarket_ZhanGong_Tex,npc301,国战老是被灭国，真的好烦躁的！|我也缺战功卷...小英雄，你有多余的吗？|有一些商品会定时下架。小英雄，要多注意游戏公告噢,朕就是欣赏你这种战功卓越的英雄！,0
11,0|0|0|1-2-3-4-5-6-7|9|0,每日9时刷新,0,0,6999|6045|6044|6043|6042|6041|6040|6039|6038|6037|6036|6035|6034|6033|6032|6031|6030|6029|6028|6027|6026|6025|6024|6023|6022|6021|6020|6019|6018|6017|6016|6015|6014|6013|6012|6011|6010|6009|6008|6007|6006|6005|6004|6003|6002|6001,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,限定商店,1,7006,0|0,0|0,0,0,0,0,0,0,icon_Smarket_TianMing_Tex,npc301,天命卡的获得方式？当然是一发巴巴凌了|你说过气的卡片应该打折？没有的不存在的|这个店铺也会定期刷新，记得常来看看朕噢,朕就是欣赏你这种战功卓越又氪金的英雄！,0
14,0|0|0|1-2-3-4-5-6-7|9|0,每日9时刷新,0,0,14|14|14|14|14|14|14|14|14|14|14|14|14|14|14|14|14|14|14|14|14|14|14|14|14|14|14|14,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,神将商店,1,7010,0|0,0|0,0,0,0,0,0,0,icon_Smarket_ShenJiang_Tex,npc301,本店仅对游戏中最顶级的玩家开放，是身份的象征，是无上的荣耀|在巅峰跨服取的靠前的名次，才能在这里兑换卡片|这些你都有了？那也帮忙捧个场吧,请留步，一会儿会有记者给您拍照留念,0
20,0|0|0|0|0|0,本店商品只能购买一次哦,0,0,64000|64001|64002,1|1|1,七彩商店,200,70,0|0,0|0,0,0,0,0,0,0,icon_Smarket_HuoDong01_Tex,npc_1,美美的头像和头像框，让你成为人群之中最闪亮的那个人！,请留步，一会儿会有记者给您拍照留念,0
801,0|0|0|0|0|0,每日9时刷新,21,0,16002|16002|16003|16001|16001|16001|8001|8001|8001|8001|8001|8001|8001|8001|8001|8001,1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0,战器库,50,0,0|0,0|0,0,0,0,0,0,0,icon_Smarket_RongYu_Tex,npc303,好想吃洛阳的烧鸡啊...|别看那些主公一个一个这么牛气，当年都是我带出来的|没带烧鸡？那你是来干嘛的？,就喜欢跟爽快人做生意！哈哈哈哈,0
802,0|0|0|0|0|0,每日9时刷新,21,0,16002|16002|16003|16001|16001|16001|8002|8002|8002|8002|8002|8002|8002|8002|8002|8002,1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0,战器库,50,0,0|0,0|0,0,0,0,0,0,0,icon_Smarket_RongYu_Tex,npc303,好想吃洛阳的烧鸡啊...|别看那些主公一个一个这么牛气，当年都是我带出来的|没带烧鸡？那你是来干嘛的？,就喜欢跟爽快人做生意！哈哈哈哈,0
803,0|0|0|0|0|0,每日9时刷新,21,0,16002|16002|16003|16001|16001|16001|8003|8003|8003|8003|8003|8003|8003|8003|8003|8003,1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0,战器库,50,0,0|0,0|0,0,0,0,0,0,0,icon_Smarket_RongYu_Tex,npc303,好想吃洛阳的烧鸡啊...|别看那些主公一个一个这么牛气，当年都是我带出来的|没带烧鸡？那你是来干嘛的？,就喜欢跟爽快人做生意！哈哈哈哈,0
804,0|0|0|0|0|0,每日9时刷新,21,0,16002|16002|16003|16001|16001|16001|8004|8004|8004|8004|8004|8004|8004|8004|8004|8004,1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0,战器库,50,0,0|0,0|0,0,0,0,0,0,0,icon_Smarket_RongYu_Tex,npc303,好想吃洛阳的烧鸡啊...|别看那些主公一个一个这么牛气，当年都是我带出来的|没带烧鸡？那你是来干嘛的？,就喜欢跟爽快人做生意！哈哈哈哈,0
805,0|0|0|0|0|0,每日9时刷新,21,0,16002|16002|16003|16001|16001|16001|8005|8005|8005|8005|8005|8005|8005|8005|8005|8005,1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0,战器库,50,0,0|0,0|0,0,0,0,0,0,0,icon_Smarket_RongYu_Tex,npc303,好想吃洛阳的烧鸡啊...|别看那些主公一个一个这么牛气，当年都是我带出来的|没带烧鸡？那你是来干嘛的？,就喜欢跟爽快人做生意！哈哈哈哈,0
806,0|0|0|0|0|0,每日9时刷新,21,0,16002|16002|16003|16001|16001|16001|8006|8006|8006|8006|8006|8006|8006|8006|8006|8006,1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0,战器库,50,0,0|0,0|0,0,0,0,0,0,0,icon_Smarket_RongYu_Tex,npc303,好想吃洛阳的烧鸡啊...|别看那些主公一个一个这么牛气，当年都是我带出来的|没带烧鸡？那你是来干嘛的？,就喜欢跟爽快人做生意！哈哈哈哈,0
807,0|0|0|0|0|0,每日9时刷新,21,0,16002|16002|16003|16001|16001|16001|8007|8007|8007|8007|8007|8007|8007|8007|8007|8007,1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0,战器库,50,0,0|0,0|0,0,0,0,0,0,0,icon_Smarket_RongYu_Tex,npc303,好想吃洛阳的烧鸡啊...|别看那些主公一个一个这么牛气，当年都是我带出来的|没带烧鸡？那你是来干嘛的？,就喜欢跟爽快人做生意！哈哈哈哈,0
808,0|0|0|0|0|0,每日9时刷新,21,0,16002|16002|16003|16001|16001|16001|8008|8008|8008|8008|8008|8008|8008|8008|8008|8008,1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0,战器库,50,0,0|0,0|0,0,0,0,0,0,0,icon_Smarket_RongYu_Tex,npc303,好想吃洛阳的烧鸡啊...|别看那些主公一个一个这么牛气，当年都是我带出来的|没带烧鸡？那你是来干嘛的？,就喜欢跟爽快人做生意！哈哈哈哈,0
1000,0|0|0|1-2-3-4-5-6-7|6-14-22|0,"每日6,14,22时刷新",28,0,10001|11001|12001|13001|14001,0|0|0|0|0,天降神“兵”,5,0,5|0,20|0,0,0,0,480,3,10,,,,,1
1001,0|0|0|1-2-3-4-5-6-7|9|0,每日9时刷新,0,10001,71001|71002|71003|71004|71005|71006|71007|71008|71009,0|0|0|0|0|0|1|1|1,庆典商店,103,22,0|0,0|0,0,0,0,0,0,0,icon_Smarket_HuoDong01_Tex,npc149,,,0
1002,0|0|0|0|0|0,本店商品只能购买一次哦,0,10001,71101|71102|71103|71104|71105,1|1|1|1|1,精选商店,103,22,0|0,0|0,0,0,0,0,0,0,icon_Smarket_HuoDong02_Tex,npc149,,,0
1003,0|0|0|1-2-3-4-5-6-7|9|0,每日9时刷新,0,10001,72001|72002|72003|72004|72005|72006|72007|72008|72009|72010|72011|72012|72013|72014|72015|72016|72017,0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1,周年商店,103,21,0|0,0|0,0,0,0,0,0,0,icon_Smarket_HuoDong02_Tex,npc305,,,0
