序号,掉落包ID,商品ID,几率
id,nEntry,nItemID,fChance
int,int,int,float
1,1,1,2
2,1,2,1
3,1,3,8
4,1,4,6
5,1,5,3
6,1,6,2
7,1,7,1
8,1,8,8
9,1,9,6
10,1,10,3
11,1,11,2
12,1,12,1
13,1,13,8
14,1,14,6
15,1,15,3
16,1001,1001,0
17,1001,1002,0
18,1001,1003,10
19,1001,1004,10
20,1001,1005,10
21,1001,1006,10
22,1001,1007,10
23,1001,1008,10
24,1001,1009,10
25,1001,1010,10
26,1001,1011,10
27,1001,1012,10
28,2001,2001,1
29,2001,2002,1
30,2001,2003,1
31,2001,2004,1
32,2005,2005,1
33,2005,2006,1
34,2005,2007,1
35,2005,2008,1
36,2003,2009,1
37,2003,2010,1
38,2003,2011,1
39,2003,2012,1
40,2002,2013,1
41,2002,2014,1
42,2002,2015,1
43,2002,2016,1
44,2001,2017,1
45,2001,2018,1
46,2001,2019,1
47,2001,2020,1
48,2007,2021,1
49,2007,2022,1
50,2007,2023,1
51,2007,2024,1
52,2001,2025,1
53,2001,2026,1
54,2001,2027,1
55,2001,2028,1
56,2001,2029,1
57,2001,2030,1
58,2001,2031,1
59,2001,2032,1
60,2005,2033,1
61,2005,2034,1
62,2005,2035,1
63,2005,2036,1
64,2001,2037,1
65,2001,2038,1
66,2001,2039,1
67,2001,2040,1
68,2008,2041,1
69,2008,2042,1
70,2008,2043,1
71,2008,2044,1
72,2002,2045,1
73,2002,2046,1
74,2002,2047,1
75,2002,2048,1
76,2006,2049,1
77,2006,2050,1
78,2006,2051,1
79,2006,2052,1
80,2007,2053,1
81,2007,2054,1
82,2007,2055,1
83,2007,2056,1
84,2005,2057,1
85,2005,2058,1
86,2005,2059,1
87,2005,2060,1
88,2003,2061,1
89,2003,2062,1
90,2003,2063,1
91,2003,2064,1
92,2002,2065,1
93,2002,2066,1
94,2002,2067,1
95,2002,2068,1
96,2004,2069,1
97,2004,2070,1
98,2004,2071,1
99,2004,2072,1
100,2003,2073,1
101,2003,2074,1
102,2003,2075,1
103,2003,2076,1
104,2006,2077,1
105,2006,2078,1
106,2006,2079,1
107,2006,2080,1
108,2006,2081,1
109,2006,2082,1
110,2006,2083,1
111,2006,2084,1
112,2004,2085,1
113,2004,2086,1
114,2004,2087,1
115,2004,2088,1
116,2002,2089,1
117,2002,2090,1
118,2002,2091,1
119,2002,2092,1
120,2007,2093,1
121,2007,2094,1
122,2007,2095,1
123,2007,2096,1
124,2006,2097,1
125,2006,2098,1
126,2006,2099,1
127,2006,2100,1
128,2004,2101,1
129,2004,2102,1
130,2004,2103,1
131,2004,2104,1
132,2006,2105,1
133,2006,2106,1
134,2006,2107,1
135,2006,2108,1
136,2008,2109,1
137,2008,2110,1
138,2008,2111,1
139,2008,2112,1
140,2003,2113,1
141,2003,2114,1
142,2003,2115,1
143,2003,2116,1
144,2005,2117,1
145,2005,2118,1
146,2005,2119,1
