道具ID,商品类型,商品子类型,商品数量,需要战力,货币类型,货币子类型,价格,自定义参数,自定义参数,商品描述
id,nItemClass,nItemType,nItemCount,nNeedZhanli,nPriceClass,nPriceType,nPriceCount,nParam1,nParam2,strDesc
int,int,string,int,int,int,int,int,int,int,string
1,16,0,1,0,19,0,8,0,0,“四圣兽●青龙”精魂化为的玉石，可以增加武力、智力、兵力。
2,16,0,2,0,19,0,16,0,0,“四圣兽●青龙”精魂化为的玉石，可以增加武力、智力、兵力。
3,16,0,1,0,19,0,10,0,0,“四圣兽●青龙”精魂化为的玉石，可以增加武力、智力、兵力。
4,16,0,2,0,19,0,20,0,0,“四圣兽●青龙”精魂化为的玉石，可以增加武力、智力、兵力。
5,16,0,5,0,19,0,50,0,0,“四圣兽●青龙”精魂化为的玉石，可以增加武力、智力、兵力。
6,17,0,1,0,19,0,5,0,0,“四圣兽●白虎”精魂化为的玉石，可以增加武力、兵力。
7,17,0,2,0,19,0,10,0,0,“四圣兽●白虎”精魂化为的玉石，可以增加武力、兵力。
8,17,0,1,0,19,0,7,0,0,“四圣兽●白虎”精魂化为的玉石，可以增加武力、兵力。
9,17,0,2,0,19,0,14,0,0,“四圣兽●白虎”精魂化为的玉石，可以增加武力、兵力。
10,17,0,5,0,19,0,35,0,0,“四圣兽●白虎”精魂化为的玉石，可以增加武力、兵力。
11,18,0,1,0,19,0,5,0,0,“四圣兽●朱雀”精魂化为的玉石，可以增加智力、兵力。
12,18,0,2,0,19,0,10,0,0,“四圣兽●朱雀”精魂化为的玉石，可以增加智力、兵力。
13,18,0,1,0,19,0,7,0,0,“四圣兽●朱雀”精魂化为的玉石，可以增加智力、兵力。
14,18,0,2,0,19,0,14,0,0,“四圣兽●朱雀”精魂化为的玉石，可以增加智力、兵力。
15,18,0,5,0,19,0,35,0,0,“四圣兽●朱雀”精魂化为的玉石，可以增加智力、兵力。
1001,23,0,1,0,35,0,50,0,0,一张刻有古老文字的羊皮纸，可用于“武将传承”。
1002,23,0,5,0,35,0,250,0,0,一张刻有古老文字的羊皮纸，可用于“武将传承”。
1003,24,0,1,0,35,0,45,0,0,一张刻有古老文字的羊皮纸，可用于“圣石漆盘”。
1004,24,0,5,0,35,0,225,0,0,一张刻有古老文字的羊皮纸，可用于“圣石漆盘”。
1005,26,0,1,0,35,0,160,0,0,刻有奇怪符号的金币，可以用于“精选招募”。
1006,26,0,2,0,35,0,320,0,0,刻有奇怪符号的金币，可以用于“精选招募”。
1007,27,0,1,0,35,0,50,0,0,刻有奇怪符号的银币，可以用于“钻石招募”。
1008,27,0,2,0,35,0,100,0,0,刻有奇怪符号的银币，可以用于“钻石招募”。
1009,28,0,20,0,35,0,300,0,0,刻有天命之印的玉石，可以用于武将的“升星”。
1010,28,0,30,0,35,0,450,0,0,刻有天命之印的玉石，可以用于武将的“升星”。
1011,29,0,1,0,35,0,150,0,0,含有绝世武将精血的玉石，可用来提升钻石武将的等级。
1012,29,0,5,0,35,0,750,0,0,含有绝世武将精血的玉石，可用来提升钻石武将的等级。
2001,32,0,1,0,36,0,150,0,0,用于合成【关羽】专属战器的神器碎片
2002,32,0,2,9000,36,0,300,0,0,用于合成【关羽】专属战器的神器碎片
2003,32,0,3,30000,36,0,450,0,0,用于合成【关羽】专属战器的神器碎片
2004,32,0,5,70000,36,0,750,0,0,用于合成【关羽】专属战器的神器碎片
2005,32,1,1,0,36,0,150,0,0,用于合成【孙坚】专属战器的神器碎片
2006,32,1,2,9000,36,0,300,0,0,用于合成【孙坚】专属战器的神器碎片
2007,32,1,3,30000,36,0,450,0,0,用于合成【孙坚】专属战器的神器碎片
2008,32,1,5,70000,36,0,750,0,0,用于合成【孙坚】专属战器的神器碎片
2009,32,2,1,0,36,0,150,0,0,用于合成【曹操】专属战器的神器碎片
2010,32,2,2,9000,36,0,300,0,0,用于合成【曹操】专属战器的神器碎片
2011,32,2,3,30000,36,0,450,0,0,用于合成【曹操】专属战器的神器碎片
2012,32,2,5,70000,36,0,750,0,0,用于合成【曹操】专属战器的神器碎片
2013,32,3,1,0,36,0,150,0,0,用于合成【曹操、赵云】专属战器的神器碎片
2014,32,3,2,9000,36,0,300,0,0,用于合成【曹操、赵云】专属战器的神器碎片
2015,32,3,3,30000,36,0,450,0,0,用于合成【曹操、赵云】专属战器的神器碎片
2016,32,3,5,70000,36,0,750,0,0,用于合成【曹操、赵云】专属战器的神器碎片
2017,32,4,1,0,36,0,150,0,0,用于合成【刘备、刘禅】专属战器的神器碎片
2018,32,4,2,9000,36,0,300,0,0,用于合成【刘备、刘禅】专属战器的神器碎片
2019,32,4,3,30000,36,0,450,0,0,用于合成【刘备、刘禅】专属战器的神器碎片
2020,32,4,5,70000,36,0,750,0,0,用于合成【刘备、刘禅】专属战器的神器碎片
2021,32,5,1,0,36,0,150,0,0,用于合成【吕布、吕玲绮】专属战器的神器碎片
2022,32,5,2,9000,36,0,300,0,0,用于合成【吕布、吕玲绮】专属战器的神器碎片
2023,32,5,3,30000,36,0,450,0,0,用于合成【吕布、吕玲绮】专属战器的神器碎片
2024,32,5,5,70000,36,0,750,0,0,用于合成【吕布、吕玲绮】专属战器的神器碎片
2025,32,6,1,0,36,0,150,0,0,用于合成【张飞】专属战器的神器碎片
2026,32,6,2,9000,36,0,300,0,0,用于合成【张飞】专属战器的神器碎片
2027,32,6,3,30000,36,0,450,0,0,用于合成【张飞】专属战器的神器碎片
2028,32,6,5,70000,36,0,750,0,0,用于合成【张飞】专属战器的神器碎片
2029,32,7,1,0,36,0,150,0,0,用于合成【马超、马云禄】专属战器的神器碎片
2030,32,7,2,9000,36,0,300,0,0,用于合成【马超、马云禄】专属战器的神器碎片
2031,32,7,3,30000,36,0,450,0,0,用于合成【马超、马云禄】专属战器的神器碎片
2032,32,7,5,70000,36,0,750,0,0,用于合成【马超、马云禄】专属战器的神器碎片
2033,32,8,1,0,36,0,150,0,0,用于合成【孙策】专属战器的神器碎片
2034,32,8,2,9000,36,0,300,0,0,用于合成【孙策】专属战器的神器碎片
2035,32,8,3,30000,36,0,450,0,0,用于合成【孙策】专属战器的神器碎片
2036,32,8,5,70000,36,0,750,0,0,用于合成【孙策】专属战器的神器碎片
2037,32,9,1,0,36,0,150,0,0,用于合成【诸葛亮、黄月英】专属战器的神器碎片
2038,32,9,2,9000,36,0,300,0,0,用于合成【诸葛亮、黄月英】专属战器的神器碎片
2039,32,9,3,30000,36,0,450,0,0,用于合成【诸葛亮、黄月英】专属战器的神器碎片
2040,32,9,5,70000,36,0,750,0,0,用于合成【诸葛亮、黄月英】专属战器的神器碎片
2041,32,10,1,0,36,0,150,0,0,用于合成【吕布、吕姬】专属战器的神器碎片
2042,32,10,2,9000,36,0,300,0,0,用于合成【吕布、吕姬】专属战器的神器碎片
2043,32,10,3,30000,36,0,450,0,0,用于合成【吕布、吕姬】专属战器的神器碎片
2044,32,10,5,70000,36,0,750,0,0,用于合成【吕布、吕姬】专属战器的神器碎片
2045,32,11,1,0,36,0,150,0,0,用于合成【诸葛亮】专属战器的神器碎片
2046,32,11,2,9000,36,0,300,0,0,用于合成【诸葛亮】专属战器的神器碎片
2047,32,11,3,30000,36,0,450,0,0,用于合成【诸葛亮】专属战器的神器碎片
2048,32,11,5,70000,36,0,750,0,0,用于合成【诸葛亮】专属战器的神器碎片
2049,32,12,1,0,36,0,150,0,0,用于合成【大乔、小乔】专属战器的神器碎片
2050,32,12,2,9000,36,0,300,0,0,用于合成【大乔、小乔】专属战器的神器碎片
2051,32,12,3,30000,36,0,450,0,0,用于合成【大乔、小乔】专属战器的神器碎片
2052,32,12,5,70000,36,0,750,0,0,用于合成【大乔、小乔】专属战器的神器碎片
2053,32,13,1,0,36,0,150,0,0,用于合成【卑弥呼、于吉】专属战器的神器碎片
2054,32,13,2,9000,36,0,300,0,0,用于合成【卑弥呼、于吉】专属战器的神器碎片
2055,32,13,3,30000,36,0,450,0,0,用于合成【卑弥呼、于吉】专属战器的神器碎片
2056,32,13,5,70000,36,0,750,0,0,用于合成【卑弥呼、于吉】专属战器的神器碎片
2057,32,14,1,0,36,0,150,0,0,用于合成【鲁肃】专属战器的神器碎片
2058,32,14,2,9000,36,0,300,0,0,用于合成【鲁肃】专属战器的神器碎片
2059,32,14,3,30000,36,0,450,0,0,用于合成【鲁肃】专属战器的神器碎片
2060,32,14,5,70000,36,0,750,0,0,用于合成【鲁肃】专属战器的神器碎片
2061,32,15,1,0,36,0,150,0,0,用于合成【郭嘉、荀彧】专属战器的神器碎片
2062,32,15,2,9000,36,0,300,0,0,用于合成【郭嘉、荀彧】专属战器的神器碎片
2063,32,15,3,30000,36,0,450,0,0,用于合成【郭嘉、荀彧】专属战器的神器碎片
2064,32,15,5,70000,36,0,750,0,0,用于合成【郭嘉、荀彧】专属战器的神器碎片
2065,32,16,1,0,36,0,150,0,0,用于合成【庞统】专属战器的神器碎片
2066,32,16,2,9000,36,0,300,0,0,用于合成【庞统】专属战器的神器碎片
2067,32,16,3,30000,36,0,450,0,0,用于合成【庞统】专属战器的神器碎片
2068,32,16,5,70000,36,0,750,0,0,用于合成【庞统】专属战器的神器碎片
2069,32,17,1,0,36,0,150,0,0,用于合成【司马懿、贾诩】专属战器的神器碎片
2070,32,17,2,9000,36,0,300,0,0,用于合成【司马懿、贾诩】专属战器的神器碎片
2071,32,17,3,30000,36,0,450,0,0,用于合成【司马懿、贾诩】专属战器的神器碎片
2072,32,17,5,70000,36,0,750,0,0,用于合成【司马懿、贾诩】专属战器的神器碎片
2073,32,18,1,0,36,0,150,0,0,用于合成【张辽】专属战器的神器碎片
2074,32,18,2,9000,36,0,300,0,0,用于合成【张辽】专属战器的神器碎片
2075,32,18,3,30000,36,0,450,0,0,用于合成【张辽】专属战器的神器碎片
2076,32,18,5,70000,36,0,750,0,0,用于合成【张辽】专属战器的神器碎片
2077,32,19,1,0,36,0,150,0,0,用于合成【凌统】专属战器的神器碎片
2078,32,19,2,9000,36,0,300,0,0,用于合成【凌统】专属战器的神器碎片
2079,32,19,3,30000,36,0,450,0,0,用于合成【凌统】专属战器的神器碎片
2080,32,19,5,70000,36,0,750,0,0,用于合成【凌统】专属战器的神器碎片
2081,32,20,1,0,36,0,150,0,0,用于合成【周瑜、陆逊】专属战器的神器碎片
2082,32,20,2,9000,36,0,300,0,0,用于合成【周瑜、陆逊】专属战器的神器碎片
2083,32,20,3,30000,36,0,450,0,0,用于合成【周瑜、陆逊】专属战器的神器碎片
2084,32,20,5,70000,36,0,750,0,0,用于合成【周瑜、陆逊】专属战器的神器碎片
2085,32,21,1,0,36,0,150,0,0,用于合成【夏侯惇】专属战器的神器碎片
2086,32,21,2,9000,36,0,300,0,0,用于合成【夏侯惇】专属战器的神器碎片
2087,32,21,3,30000,36,0,450,0,0,用于合成【夏侯惇】专属战器的神器碎片
2088,32,21,5,70000,36,0,750,0,0,用于合成【夏侯惇】专属战器的神器碎片
2089,32,22,1,0,36,0,150,0,0,用于合成【姜维】专属战器的神器碎片
2090,32,22,2,9000,36,0,300,0,0,用于合成【姜维】专属战器的神器碎片
2091,32,22,3,30000,36,0,450,0,0,用于合成【姜维】专属战器的神器碎片
2092,32,22,5,70000,36,0,750,0,0,用于合成【姜维】专属战器的神器碎片
2093,32,23,1,0,36,0,150,0,0,用于合成【文丑】专属战器的神器碎片
2094,32,23,2,9000,36,0,300,0,0,用于合成【文丑】专属战器的神器碎片
2095,32,23,3,30000,36,0,450,0,0,用于合成【文丑】专属战器的神器碎片
2096,32,23,5,70000,36,0,750,0,0,用于合成【文丑】专属战器的神器碎片
2097,32,24,1,0,36,0,150,0,0,用于合成【黄盖】专属战器的神器碎片
2098,32,24,2,9000,36,0,300,0,0,用于合成【黄盖】专属战器的神器碎片
2099,32,24,3,30000,36,0,450,0,0,用于合成【黄盖】专属战器的神器碎片
2100,32,24,5,70000,36,0,750,0,0,用于合成【黄盖】专属战器的神器碎片
2101,32,25,1,0,36,0,150,0,0,用于合成【曹丕】专属战器的神器碎片
2102,32,25,2,9000,36,0,300,0,0,用于合成【曹丕】专属战器的神器碎片
2103,32,25,3,30000,36,0,450,0,0,用于合成【曹丕】专属战器的神器碎片
2104,32,25,5,70000,36,0,750,0,0,用于合成【曹丕】专属战器的神器碎片
2105,32,26,1,0,36,0,150,0,0,用于合成【孙权】专属战器的神器碎片
2106,32,26,2,9000,36,0,300,0,0,用于合成【孙权】专属战器的神器碎片
2107,32,26,3,30000,36,0,450,0,0,用于合成【孙权】专属战器的神器碎片
2108,32,26,5,70000,36,0,750,0,0,用于合成【孙权】专属战器的神器碎片
2109,32,27,1,0,36,0,150,0,0,用于合成【孟获】专属战器的神器碎片
2110,32,27,2,9000,36,0,300,0,0,用于合成【孟获】专属战器的神器碎片
2111,32,27,3,30000,36,0,450,0,0,用于合成【孟获】专属战器的神器碎片
2112,32,27,5,70000,36,0,750,0,0,用于合成【孟获】专属战器的神器碎片
2113,32,28,1,0,36,0,150,0,0,用于合成【卞夫人】专属战器的神器碎片
2114,32,28,2,9000,36,0,300,0,0,用于合成【卞夫人】专属战器的神器碎片
2115,32,28,3,30000,36,0,450,0,0,用于合成【卞夫人】专属战器的神器碎片
2116,32,28,5,70000,36,0,750,0,0,用于合成【卞夫人】专属战器的神器碎片
2117,32,29,1,0,36,0,150,0,0,用于合成【太史慈、吕蒙】专属战器的神器碎片
2118,32,29,2,9000,36,0,300,0,0,用于合成【太史慈、吕蒙】专属战器的神器碎片
2119,32,29,3,30000,36,0,450,0,0,用于合成【太史慈、吕蒙】专属战器的神器碎片
2120,32,29,5,70000,36,0,750,0,0,用于合成【太史慈、吕蒙】专属战器的神器碎片
2121,32,30,1,0,36,0,150,0,0,用于合成【典韦】专属战器的神器碎片
2122,32,30,2,9000,36,0,300,0,0,用于合成【典韦】专属战器的神器碎片
2123,32,30,3,30000,36,0,450,0,0,用于合成【典韦】专属战器的神器碎片
2124,32,30,5,70000,36,0,750,0,0,用于合成【典韦】专属战器的神器碎片
2125,32,31,1,0,36,0,150,0,0,用于合成【貂蝉、甄姬】专属战器的神器碎片
2126,32,31,2,9000,36,0,300,0,0,用于合成【貂蝉、甄姬】专属战器的神器碎片
2127,32,31,3,30000,36,0,450,0,0,用于合成【貂蝉、甄姬】专属战器的神器碎片
2128,32,31,5,70000,36,0,750,0,0,用于合成【貂蝉、甄姬】专属战器的神器碎片
2129,32,32,1,0,36,0,150,0,0,用于合成【张角】专属战器的神器碎片
2130,32,32,2,9000,36,0,300,0,0,用于合成【张角】专属战器的神器碎片
2131,32,32,3,30000,36,0,450,0,0,用于合成【张角】专属战器的神器碎片
2132,32,32,5,70000,36,0,750,0,0,用于合成【张角】专属战器的神器碎片
2133,32,33,1,0,36,0,150,0,0,用于合成【董卓】专属战器的神器碎片
2134,32,33,2,9000,36,0,300,0,0,用于合成【董卓】专属战器的神器碎片
2135,32,33,3,30000,36,0,450,0,0,用于合成【董卓】专属战器的神器碎片
2136,32,33,5,70000,36,0,750,0,0,用于合成【董卓】专属战器的神器碎片
2137,3,0,10,0,37,0,100,0,0,军令可用于挑战、推图、活动等
2138,3,0,25,0,37,0,200,0,0,军令可用于挑战、推图、活动等
2139,2,0,50000,0,37,0,200,0,0,卡魂可用于加强武将能力、升级封地等级等
2140,2,0,60000,0,37,0,300,0,0,卡魂可用于加强武将能力、升级封地等级等
5001,2,0,1000000,0,1,500,1,0,0,卡魂可用于加强武将能力、升级封地等级等
5002,2,0,5000000,0,1,500,2,0,0,卡魂可用于加强武将能力、升级封地等级等
5003,5,0,100000,0,1,500,3,0,0,钻石
6001,1,1260,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6002,1,1285,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6003,1,1334,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6004,1,1342,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6005,1,1276,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6006,1,1305,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6007,1,1313,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6008,1,1339,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6009,1,1289,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6010,1,1293,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6011,1,1297,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6012,1,1320,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6013,1,1361,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6014,1,1373,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6015,1,1379,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6016,1,1394,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6017,1,1256,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6018,1,1264,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6019,1,1272,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6020,1,1348,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6021,1,1367,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6022,1,1378,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6023,1,1268,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6024,1,1335,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6025,1,1390,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6026,1,1374,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6027,1,1386,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6028,1,1383,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6029,1,1424,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6030,1,1321,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6031,1,1399,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6032,1,1257,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6033,1,1343,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6034,1,1338,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6035,1,1382,1,0,1,7006,25,0,0,“他们经过国战的洗礼，变得更强了”
6036,1,1314,1,0,1,7006,50,0,0,“他们经过国战的洗礼，变得更强了”
6037,1,1423,1,0,1,7006,50,0,0,“他们经过国战的洗礼，变得更强了”
6038,1,1357,1,0,1,7006,50,0,0,“他们经过国战的洗礼，变得更强了”
6039,1,1265,1,0,1,7006,50,0,0,“他们经过国战的洗礼，变得更强了”
6040,1,1431,1,0,1,7006,50,0,0,“他们经过国战的洗礼，变得更强了”
6041,1,1438,1,0,1,7006,50,0,0,“他们经过国战的洗礼，变得更强了”
6042,1,1449,1,0,1,7006,50,0,0,“他们经过国战的洗礼，变得更强了”
6043,1,1309,1,0,1,7006,50,0,0,“他们经过国战的洗礼，变得更强了”
6044,1,1458,1,0,1,7006,50,0,0,“他们经过国战的洗礼，变得更强了”
6045,1,1445,1,0,1,7006,50,0,0,“他们经过国战的洗礼，变得更强了”
6999,51,0,200,0,1,7006,1,0,0,国战玩法中大量产出的专有资源
2141,32,34,1,0,36,0,150,0,0,用于合成【黄忠、黄舞蝶】专属战器的神器碎片
2142,32,34,2,9000,36,0,300,0,0,用于合成【黄忠、黄舞蝶】专属战器的神器碎片
2143,32,34,3,30000,36,0,450,0,0,用于合成【黄忠、黄舞蝶】专属战器的神器碎片
2144,32,34,5,70000,36,0,750,0,0,用于合成【黄忠、黄舞蝶】专属战器的神器碎片
1101,21,0,5,0,35,0,75,0,0,可在挑战系统进行一次挑战
