序号,说明,品质（1普通2稀有3史诗4传说）,团体技能id,团体技能效果值,品质（1普通2稀有3史诗4传说）,个人技能id
id,strDesc,nQuality,strTeamSkillIds,strTeamSkillValue,nQualitySelf,strSelfSkillids
int,string,int,string,string,int,string
1,[普通]国家武力+[普通]破盾,1,96001|96002|96003|96004,40|80|120|160|200|240|280|320|360|400,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
2,[普通]国家武力+[稀有]破盾,1,96001|96002|96003|96004,40|80|120|160|200|240|280|320|360|400,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
3,[普通]国家武力+[史诗]破盾,1,96001|96002|96003|96004,40|80|120|160|200|240|280|320|360|400,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
4,[普通]国家武力+[传说]破盾,1,96001|96002|96003|96004,40|80|120|160|200|240|280|320|360|400,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
5,[普通]国家武力+[普通]斩杀,1,96001|96002|96003|96004,40|80|120|160|200|240|280|320|360|400,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
6,[普通]国家武力+[稀有]斩杀,1,96001|96002|96003|96004,40|80|120|160|200|240|280|320|360|400,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
7,[普通]国家武力+[史诗]斩杀,1,96001|96002|96003|96004,40|80|120|160|200|240|280|320|360|400,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
8,[普通]国家武力+[传说]斩杀,1,96001|96002|96003|96004,40|80|120|160|200|240|280|320|360|400,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
9,[普通]国家武力+[普通]定身,1,96001|96002|96003|96004,40|80|120|160|200|240|280|320|360|400,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
10,[普通]国家武力+[稀有]定身,1,96001|96002|96003|96004,40|80|120|160|200|240|280|320|360|400,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
11,[普通]国家武力+[史诗]定身,1,96001|96002|96003|96004,40|80|120|160|200|240|280|320|360|400,3,96132|96133|96134|96135|96136|96137|96138|96139|96140|96141
12,[普通]国家武力+[传说]定身,1,96001|96002|96003|96004,40|80|120|160|200|240|280|320|360|400,4,96142|96143|96144|96145|96146|96147|96148|96149|96150|96151
13,[普通]国家武力+[普通]制裁,1,96001|96002|96003|96004,40|80|120|160|200|240|280|320|360|400,1,96152|96153|96154|96155|96156|96157|96158|96159|96160|96161
14,[普通]国家武力+[稀有]制裁,1,96001|96002|96003|96004,40|80|120|160|200|240|280|320|360|400,2,96162|96163|96164|96165|96166|96167|96168|96169|96170|96171
15,[普通]国家武力+[史诗]制裁,1,96001|96002|96003|96004,40|80|120|160|200|240|280|320|360|400,3,96172|96173|96174|96175|96176|96177|96178|96179|96180|96181
16,[普通]国家武力+[传说]制裁,1,96001|96002|96003|96004,40|80|120|160|200|240|280|320|360|400,4,96182|96183|96184|96185|96186|96187|96188|96189|96190|96191
17,[普通]国家武力+[普通]献祭,1,96001|96002|96003|96004,40|80|120|160|200|240|280|320|360|400,1,96192|96193|96194|96195|96196|96197|96198|96199|96200|96201
18,[普通]国家武力+[稀有]献祭,1,96001|96002|96003|96004,40|80|120|160|200|240|280|320|360|400,2,96202|96203|96204|96205|96206|96207|96208|96209|96210|96211
19,[普通]国家武力+[史诗]献祭,1,96001|96002|96003|96004,40|80|120|160|200|240|280|320|360|400,3,96212|96213|96214|96215|96216|96217|96218|96219|96220|96221
20,[普通]国家武力+[传说]献祭,1,96001|96002|96003|96004,40|80|120|160|200|240|280|320|360|400,4,96222|96223|96224|96225|96226|96227|96228|96229|96230|96231
21,[稀有]国家武力+[普通]破盾,2,96001|96002|96003|96004,60|120|180|240|300|360|420|480|540|600,1,96022|96023|96024|96025|96026|96027|96028|96029|96030|96031
22,[稀有]国家武力+[稀有]破盾,2,96001|96002|96003|96004,60|120|180|240|300|360|420|480|540|600,2,96032|96033|96034|96035|96036|96037|96038|96039|96040|96041
23,[稀有]国家武力+[史诗]破盾,2,96001|96002|96003|96004,60|120|180|240|300|360|420|480|540|600,3,96042|96043|96044|96045|96046|96047|96048|96049|96050|96051
24,[稀有]国家武力+[传说]破盾,2,96001|96002|96003|96004,60|120|180|240|300|360|420|480|540|600,4,96052|96053|96054|96055|96056|96057|96058|96059|96060|96061
25,[稀有]国家武力+[普通]斩杀,2,96001|96002|96003|96004,60|120|180|240|300|360|420|480|540|600,1,96062|96063|96064|96065|96066|96067|96068|96069|96070|96071
26,[稀有]国家武力+[稀有]斩杀,2,96001|96002|96003|96004,60|120|180|240|300|360|420|480|540|600,2,96072|96073|96074|96075|96076|96077|96078|96079|96080|96081
27,[稀有]国家武力+[史诗]斩杀,2,96001|96002|96003|96004,60|120|180|240|300|360|420|480|540|600,3,96082|96083|96084|96085|96086|96087|96088|96089|96090|96091
28,[稀有]国家武力+[传说]斩杀,2,96001|96002|96003|96004,60|120|180|240|300|360|420|480|540|600,4,96092|96093|96094|96095|96096|96097|96098|96099|96100|96101
29,[稀有]国家武力+[普通]定身,2,96001|96002|96003|96004,60|120|180|240|300|360|420|480|540|600,1,96112|96113|96114|96115|96116|96117|96118|96119|96120|96121
30,[稀有]国家武力+[稀有]定身,2,96001|96002|96003|96004,60|120|180|240|300|360|420|480|540|600,2,96122|96123|96124|96125|96126|96127|96128|96129|96130|96131
