序号,等级,名称,消耗资源,升级时间[分],减少训练时间[分],掉落技能包,描述,图片路径
id,nLevel,strName,strResCost,strUpgradeTime,nReduceTrainTime,nDropBag,strDesc,strTex
int,int,string,string,int,int,int,string,string
1,1,学塾,200|73|100,0,0,11001,团队效果武智兵加成提升\n个人效果获得强化,UI/School/bg_ZhanYi01_Tex
2,2,学塾,200|73|100,480,40,11001,团队效果武智兵加成提升\n个人效果获得强化\n武将训练时间永久减少40分钟,UI/School/bg_ZhanYi01_Tex
3,3,学塾,200|73|1000,540,80,11001,团队效果武智兵加成提升\n个人效果获得强化\n武将训练时间永久减少80分钟,UI/School/bg_ZhanYi01_Tex
4,4,学堂,200|73|3200,600,120,11001,团队效果武智兵加成提升\n个人效果获得强化\n武将训练时间永久减少120分钟\n战意导师外观形象更换,UI/School/bg_ZhanYi02_Tex
5,5,学堂,200|73|7600,800,160,11001,团队效果武智兵加成提升\n个人效果获得强化\n武将训练时间永久减少160分钟,UI/School/bg_ZhanYi02_Tex
6,6,学堂,200|73|15000,1100,200,11001,团队效果武智兵加成提升\n个人效果获得强化\n武将训练时间永久减少200分钟,UI/School/bg_ZhanYi02_Tex
7,7,学监,200|73|26000,1500,240,11001,团队效果武智兵加成提升\n个人效果获得强化\n武将训练时间永久减少240分钟\n战意导师外观形象更换,UI/School/bg_ZhanYi03_Tex
8,8,学监,200|73|40000,2200,280,11001,团队效果武智兵加成提升\n个人效果获得强化\n武将训练时间永久减少280分钟,UI/School/bg_ZhanYi03_Tex
9,9,学监,200|73|60000,3000,320,11001,团队效果武智兵加成提升\n个人效果获得强化\n武将训练时间永久减少320分钟,UI/School/bg_ZhanYi03_Tex
10,10,学殿,200|73|90000,4200,360,11001,团队效果武智兵加成提升\n个人效果获得强化\n武将训练时间永久减少360分钟\n战意导师外观形象更换,UI/School/bg_ZhanYi04_Tex
