编号,标题
id,strTitle
int,string
1,17zb
2,188835357
3,6/4/1989
4,1989六四
5,201192
6,201192
7,5323488
8,5323488
9,64动乱
10,65487074
11,8008-409-653
12,89暴乱
13,89动乱
14,89风波
15,89六四
16,89学潮
17,89运动
18,bitch
19,CS
20,F.L.G
21,falun
22,falundafa
23,FLG
24,Fuck You
25,fuck
26,ɡ
27,GM
28,ＧＭ
29,MIS
30,㎡
31,SB
32,sex
33,SHIT
34,TEST
35,tmd
36,Μ
37,м
38,八九风波
39,八九年那个春夏之交
40,八九学潮
41,贝肉
42,屄
43,妣
44,精子
45,警匪一家
46,巨乳
47,尻
48,靠你
49,客服
50,客户服务
51,口交
52,劳+教+所
53,老瘪三
54,老骚比
55,老骚货
56,李登辉
57,李洪志
58,李岚清
59,李鹏
60,李瑞环
61,连战
62,六四参加者
63,六四参加者回忆录
64,六四回忆录
65,六四平暴
66,六四平反
67,六四事件
68,六四死难者
69,六四屠城
70,六四以后
71,六四以前
72,六四运动
73,六四真相
74,六四正名
75,六四之后
76,六四之前
77,六四周年祭
78,吕秀莲
79,卵子
80,罗干
81,妈的
82,妈个比
83,妈个老比
84,妈妈的
85,毛泽东
86,密洞
87,摩门教
88,奶子
89,娘的
90,娘个比
91,阴蒂
92,阴核
93,阴户
94,阴茎
95,淫
96,淫棍
97,淫水
98,游戏管理
99,玉杵
100,曾庆红
101,赵紫阳
102,真善忍
103,中共中央
104,中国共产党
105,中华民国
106,中华人民共和国
107,中奖提示
108,中奖提示     
109,中宣部是中国的艾滋病
110,周恩来
111,朱镕基
112,装备演示
113,装备展示
114,做爱
115,@sshole
116,━
117,┄
118,┅
119,┈
120,┉
121,│
122,┃
123,┆
124,┇
125,┊
126,┋
127,┌
128,┍
129,┎
130,┏
131,┐
132,┑
133,┒
134,┓
135,└
136,┕
137,┖
138,dick
139,F u c k
140,fag
141,fosaon
142,fu(
143,fuc
144,ｆｕｃｋ
145,FuckYou
146,fuk
147,fv(
148,fvc
149,G A M E M A S T E R
150,G M
151,game.jupay.com
152,gamemaster
153,ｇａｍｅｍａｓｔｅｒ
154,J B
155,JB
156,K 粉
157,kao
158,K粉
159,K他命
160,Liusishijian
161,ｍａｓｔｅｒ
162,Moliyo
163,NMD
164,nnd
165,NPC
166,OP
167,orgasmus
168,penis
169,phuc
170,piss
171,ri
172,S B
173,screw
