服务器ID,服务器编号,分组ID(>0),服务器名称
id,nServerIndex,nCupTeamGroupID,strName
int,int,int,string
10000332,2,1,s2
30003336,306,1,s306
30003101,71,1,s71
30003559,520,1,s520
10000341,11,2,s11
10000340,10,2,s26
30003097,67,2,s67
30003403,364,2,s364
10000345,15,3,s15
300003056,26,3,s14
30003093,63,3,s63
30003413,374,3,s374
10000352,22,4,s22
10000344,14,4,s6
30003129,99,4,s99
30003419,380,4,s380
10000353,23,5,s23
10000336,6,5,s24
30003123,93,5,s93
30003439,400,5,s400
30003061,31,6,s31
30000354,24,6,s34
30003117,87,6,s87
30003423,384,6,s384
10000338,8,7,s8
30003064,34,7,s58
30003113,83,7,s83
30003431,392,7,s392
30003063,33,8,s33
30003088,58,8,s64
30003125,95,8,s95
30003427,388,8,s388
30003059,29,9,s29
30003094,64,9,s54
30003138,108,9,s108
30003435,396,9,s396
30003067,37,10,s37
30003374,335,10,s80
30003137,107,10,s107
30003459,420,10,s420
30003083,53,11,s53
30003291,261,11,s42
30003133,103,11,s103
30003455,416,11,s416
30003079,49,12,s49
30003303,273,12,s78
30003145,115,12,s115
30003443,404,12,s404
30000355,25,13,s25
30003307,277,13,s62
30003149,119,13,s119
30003451,412,13,s412
30003071,41,14,s41
30003299,269,14,s66
30003165,135,14,s135
30003471 ,432,14,s432
30003075,45,15,s57
30003295,265,15,s86
30003157,127,15,s127
30003447,408,15,s408
30003091,61,16,s45
30003319,289,16,s92
30003169,139,16,s139
30003463,424,16,s424
30003099,69,17,s61
30003297,267,17,s74
30003161,131,17,s131
30003467 ,428,17,s428
30003107,77,18,s69
30003317,287,18,s82
30003153,123,18,s123
30003483,444,18,s444
30003103,73,19,s77
30003276,246,19,s100
30003172,142,19,s142
30003102,72,19,s72
30003121,91,20,s73
30003321,291,20,s106
30003174,144,20,s144
30003105,75,20,s75
30003095,65,21,s91
30003325,295,21,s94
30003185,155,21,s155
30003120,90,21,s90
30003115,85,22,s65
30003333,303,22,s118
30003177,147,22,s147
30003106,76,22,s76
30003111,81,23,s85
30003345,315,23,s102
30003173,143,23,s143
30003118,88,23,s88
30003119,89,24,s81
30003337,307,24,s110
30003193,163,24,s163
30003098,68,24,s68
30003139,109,25,s89
30003370,331,25,s156
30003201,171,25,s171
30003128,98,25,s98
30003127,97,26,s109
30003341,311,26,s134
30003195,165,26,s165
30003126,96,26,s96
30003135,105,27,s97
30003349,319,27,s130
30003197,167,27,s167
30003114,84,27,s84
30003131,101,28,s105
30003378,339,28,s126
30003209 ,179,28,s179
30003134,104,28,s104
30003143,113,29,s101
30003366,327,29,s158
30003230,200,29,s200
30003141,111,29,s111
30003147,117,30,s113
30003369,330,30,s151
30003221 ,191,30,s191
30003142,112,30,s112
30003155,125,31,s117
30003377,338,31,s122
30003213 ,183,31,s183
30003166,136,31,s136
30003167,137,32,s125
30003389,350,32,s138
30003233,203,32,s203
30003146,116,32,s116
30003159,129,33,s137
30003393,354,33,s150
30003217 ,187,33,s187
30003144,114,33,s114
30003163,133,34,s133
30003381,342,34,s342
30003229 ,199,34,s199
30003170,140,34,s140
30003151,121,35,s121
30003386,347,35,s347
30003241,211,35,s211
30003150,120,35,s120
30003183,153,36,s153
30003398,359,36,s359
30003237,207,36,s207
30003158,128,36,s128
30003171,141,37,s141
30003390,351,37,s351
30003243,213,37,s213
30003154,124,37,s124
30003187,157,38,s157
30003382,343,38,s343
30003257,227,38,s227
30003162,132,38,s132
30003179,149,39,s149
30003402,363,39,s363
30003263,233,39,s233
30003182,152,39,s152
30003204,174,40,s174
30003192,162,40,s162
30003245,215,40,s215
30003190,160,40,s160
30003175,145,41,s145
30003224 ,194,41,s194
30003253,223,41,s223
30003189,159,41,s159
30003191,161,42,s161
30003228 ,198,42,s198
30003261,231,42,s231
30003178,148,42,s148
30003207,177,43,s177
30003200 ,170,43,s170
30003269,239,43,s239
30003198,168,43,s168
30003203,173,44,s173
30003220 ,190,44,s190
30003273,243,44,s243
30003210 ,180,44,s180
30003199 ,169,45,s169
30003208 ,178,45,s178
30003277,247,45,s247
30003206,176,45,s176
30003211 ,181,46,s181
30003240,210,46,s210
30003285,255,46,s255
30003194,164,46,s164
30003223 ,193,47,s193
30003212 ,182,47,s182
30003309,279,47,s279
30003225 ,195,47,s195
30003219 ,189,48,s189
30003250,220,48,s220
30003301,271,48,s271
30003202 ,172,48,s172
30003239,209,49,s209
30003216 ,186,49,s186
30003084,54,49,s54
30003214 ,184,49,s184
30003215 ,185,50,s185
30003248,218,50,s218
30003110,80,50,s80
30003222 ,192,50,s192
30003227 ,197,51,s197
30003236,206,51,s206
30003072,42,51,s42
30003218 ,188,51,s188
30003249,219,52,s219
30003232,202,52,s202
30003108,78,52,s78
30003244,214,52,s214
30003235,205,53,s205
30003256,226,53,s226
30003092,62,53,s62
30003238,208,53,s208
30003265,235,54,s235
30003252,222,54,s222
30003096,66,54,s66
30003226 ,196,54,s196
30003231,201,55,s201
30003260,230,55,s230
30003116,86,55,s86
30003246,216,55,s216
30003251,221,56,s221
30003270,240,56,s240
30003122,92,56,s92
30003242,212,56,s212
30003267,237,57,s237
30003264,234,57,s234
30003104,74,57,s74
30003234,204,57,s204
30003247,217,58,s217
30003272,242,58,s242
30003112,82,58,s82
30003262,232,58,s232
30003255,225,59,s225
30003280,250,59,s250
30003130,100,59,s100
30003258,228,59,s228
30003259,229,60,s229
30003288,258,60,s258
30003136,106,60,s106
30003254,224,60,s224
30003287,257,61,s257
30003292,262,61,s262
30003124,94,61,s94
30003266,236,61,s236
30003275,245,62,s245
30003289,259,62,s259
30003148,118,62,s118
30003268,238,62,s238
30003279,249,63,s249
30003305,275,63,s275
30003132,102,63,s102
30003290,260,63,s260
30003283,253,64,s253
30003293,263,64,s263
30003140,110,64,s110
30003274,244,64,s244
30003271,241,65,s241
30003281,251,65,s251
30003186,156,65,s156
30003278,248,65,s248
30003284,254,66,s254
30003313,283,66,s283
30003164,134,66,s134
30003282,252,66,s252
30003296,266,67,s266
30003329,299,67,s299
30003160,130,67,s130
30003286,256,67,s256
30003304,274,68,s274
30003308,278,68,s278
30003156,126,68,s126
30003294,264,68,s264
30003316,286,69,s286
30003328,298,69,s298
30003188,158,69,s158
30003306,276,69,s276
30003300,270,70,s270
30003324,294,70,s294
30003181,151,70,s151
30003302,272,70,s272
30003320,290,71,s290
30003557,518,71,s518
30003152,122,71,s122
30003326,296,71,s296
30003327,297,72,s297
30003312,282,72,s282
30003168,138,72,s138
30003298,268,72,s268
30003323,293,73,s293
30003348,318,73,s318
30003180,150,73,s150
30003310,280,73,s280
30003315,285,74,s285
30003340,310,74,s310
30003184,154,74,s154
30003322,292,74,s292
30003311,281,75,s281
30003373,334,75,s334
30003176,146,75,s146
30003314,284,75,s284
30003335,305,76,s305
30003344,314,76,s314
30003205,175,76,s175
30003318,288,76,s288
30003347,317,77,s317
30003365,326,77,s326
30003196,166,77,s166
30003350,320,77,s320
30003339,309,78,s309
30003332,302,78,s302
30003414,375,78,s375
30003330,300,78,s300
30003343,313,79,s313
30003361,322,79,s322
30003406,367,79,s367
30003338,308,79,s308
30003376,337,80,s337
30003385,346,80,s346
30003418,379,80,s379
30003346,316,80,s316
30003331,301,81,s301
30003362,323,81,s323
30003401,362,81,s362
30003334,304,81,s304
30003351,321,82,s321
30003397,358,82,s358
30003394,355,82,s355
30003367,328,82,s328
30003372,333,83,s333
30003405,366,83,s366
30003425,386,83,s386
30003371,332,83,s332
30003364,325,84,s325
30003417,378,84,s378
30003433,394,84,s394
30003342,312,84,s312
30003368,329,85,s329
30003409,370,85,s370
30003421,382,85,s382
30003379,340,85,s340
30003392,353,86,s353
30003415,376,86,s376
30003453,414,86,s414
30003375,336,86,s336
30003087,57,87,s57
30003434,395,87,s395
30003437,398,87,s398
