id,面板id,面板权重(面板id对应面板权重),奖励类型(0:单个item，1:连线奖励),"item序号(连线奖励时为0,单个item时为格子序号1-9)",连线奖励序号条件, 奖励,格子奖励权重
id,nSheetId,nSheetWeight,nRewardType,nCellIdx,strLineRewardLimit,strReward,nRewardWeight
int,int,int,int,int,string,string,int
1000101,10001,20,0,1,0,2|1|100000,14
1000102,10001,0,0,2,0,24|1|1,10
1000103,10001,0,0,3,0,27|1|2,15
1000104,10001,0,0,4,0,29|1|1,10
1000105,10001,0,0,5,0,34|1|3,3
1000106,10001,0,0,6,0,27|1|1,20
1000107,10001,0,0,7,0,18|1|1,10
1000108,10001,0,0,8,0,17|1|1,8
1000109,10001,0,0,9,0,2|1|300000,10
1000111,10001,0,1,0,1|5|9,27|1|1,0
1000112,10001,0,1,0,3|5|7,27|1|1,0
1000201,10002,35,0,1,0,16|1|1,15
1000202,10002,0,0,2,0,18|1|1,12
1000203,10002,0,0,3,0,2|1|200000,15
1000204,10002,0,0,4,0,17|1|1,15
1000205,10002,0,0,5,0,53|1|4,3
1000206,10002,0,0,6,0,28|1|1,20
1000207,10002,0,0,7,0,28|1|2,6
1000208,10002,0,0,8,0,27|1|1,7
1000209,10002,0,0,9,0,26|1|1,7
1000211,10002,0,1,0,1|5|9,27|1|1,0
1000212,10002,0,1,0,3|5|7,27|1|1,0
1000301,10003,42,0,1,0,38|1|1,9
1000302,10003,0,0,2,0,5|1|40,12
1000303,10003,0,0,3,0,17|1|1,20
1000304,10003,0,0,4,0,2|1|100000,8
1000305,10003,0,0,5,0,26|1|6,3
1000306,10003,0,0,6,0,28|1|3,12
1000307,10003,0,0,7,0,5|1|20,15
1000308,10003,0,0,8,0,27|1|1,14
1000309,10003,0,0,9,0,2|1|200000,7
1000311,10003,0,1,0,1|5|9,27|1|1,0
1000312,10003,0,1,0,3|5|7,27|1|1,0
1000401,10004,30,0,1,0,2|1|100000,20
1000402,10004,0,0,2,0,13|1|30,15
1000403,10004,0,0,3,0,23|1|2,10
1000404,10004,0,0,4,0,17|1|1,12
1000405,10004,0,0,5,0,29|1|10,3
1000406,10004,0,0,6,0,44|1|3,10
1000407,10004,0,0,7,0,47|1|3,11
1000408,10004,0,0,8,0,28|1|3,12
1000409,10004,0,0,9,0,26|1|1,7
1000411,10004,0,1,0,1|5|9,27|1|1,0
1000412,10004,0,1,0,3|5|7,27|1|1,0
1000501,10005,17,0,1,0,24|1|2,12
1000502,10005,0,0,2,0,17|1|2,10
1000503,10005,0,0,3,0,22|1|1,20
1000504,10005,0,0,4,0,18|1|2,10
1000505,10005,0,0,5,0,5|1|1000,3
1000506,10005,0,0,6,0,16|1|1,10
1000507,10005,0,0,7,0,22|1|2,13
1000508,10005,0,0,8,0,28|1|5,15
1000509,10005,0,0,9,0,29|1|2,7
1000511,10005,0,1,0,1|5|9,27|1|1,0
1000512,10005,0,1,0,3|5|7,27|1|1,0
1000601,10006,30,0,1,0,39|1|5,10
1000602,10006,0,0,2,0,17|1|1,12
1000603,10006,0,0,3,0,13|1|20,10
1000604,10006,0,0,4,0,33|1|1,14
1000605,10006,0,0,5,0,28|1|150,6
1000606,10006,0,0,6,0,3|1|20,10
1000607,10006,0,0,7,0,27|1|1,13
1000608,10006,0,0,8,0,24|1|1,10
1000609,10006,0,0,9,0,28|1|5,15
1000611,10006,0,1,0,1|5|9,27|1|1,0
1000612,10006,0,1,0,3|5|7,27|1|1,0
