序号,分类,物品类型,物品子类型,价值数量（富商卡为对应表格ID）,价格,每日刷新(可刷新为1不能刷新为0无限购买为2）,排序索引
id,nIndex,nType,nSubType,nCount,nPrice,nDaily,nSortID
int,int,int,int,int,int,int,int
1,0,14,0,30,60,0,7
2,0,14,0,30,160,0,7
3,0,14,0,30,360,0,7
4,0,14,0,30,560,0,7
5,0,14,0,30,760,0,7
6,0,14,0,30,980,0,7
7,0,14,0,30,980,0,7
8,0,14,0,30,980,0,7
9,0,14,0,30,980,0,7
10,0,14,0,30,980,0,7
11,1,3,0,40,20,1,1
12,1,3,0,50,20,1,1
13,1,3,0,60,22,1,1
14,1,3,0,100,35,1,1
15,1,3,0,150,45,1,1
16,18,200,72,200,100,1,13
17,18,200,72,200,100,1,13
18,18,200,72,200,100,1,13
19,18,200,72,200,100,1,13
20,18,200,72,200,100,1,13
21,19,200,73,200,100,1,14
22,19,200,73,200,100,1,14
23,19,200,73,200,100,1,14
24,19,200,73,200,100,1,14
25,19,200,73,200,100,1,14
36,0,14,0,30,980,0,7
37,0,14,0,30,980,0,7
38,0,14,0,30,980,0,7
39,0,14,0,30,980,0,7
40,0,14,0,30,980,0,7
43,2,39,0,5,100,1,16
44,2,39,0,5,120,1,16
45,2,39,0,5,150,1,16
46,2,39,0,5,200,1,16
47,3,2,0,200000,30,1,2
48,3,2,0,460000,60,1,2
49,3,2,0,1650000,180,1,2
50,3,2,0,3500000,350,1,2
51,4,44,0,1,30,2,18
54,5,47,0,1,30,2,17
57,6,43,0,1,325,2,19
60,7,200,60,10,100,1,8
61,7,200,60,20,300,1,8
62,7,200,60,40,800,1,8
63,8,200,61,10,10,2,10
66,9,200,62,1,5,2,9
69,10,34,0,1,520,2,5
70,11,33,0,1,52,2,6
71,12,27,0,1,60,2,4
72,13,26,0,1,190,2,3
73,14,200,69,1,5,2,20
74,15,200,67,1,180,2,11
75,16,200,68,1,5,2,12
76,17,24,0,1,45,2,21
77,20,200,74,500,50,2,15
78,21,205,29,1,300,2,22
