序号,卡片ID,卡片价格图片,卡片展示图片,价值数量,赠送类型(ERewardType),赠送数量,赠送卡片ID,赠送数量,预留,预留 
id,nCardID,strPrice,strMain,nCount,nType,nNum,nParam1,nParam2,nParam3,nParam4
int,int,string,string,int,int,int,int,int,int,int
1,210,UI/Store/icon_cardname_01_tex,Common/ResouceIcon/Big/icon_rich_01_tex,10,0,0,0,0,0,0
2,211,UI/Store/icon_cardname_02_tex,Common/ResouceIcon/Big/icon_rich_02_tex,10,0,0,0,0,0,0
3,212,UI/Store/icon_cardname_03_tex,Common/ResouceIcon/Big/icon_rich_03_tex,10,0,0,0,0,0,0
4,213,UI/Store/icon_cardname_04_tex,Common/ResouceIcon/Big/icon_rich_04_tex,6,0,0,0,0,0,0
5,232,,,1,27,1,0,0,0,0
6,236,,,1,26,1,0,0,0,0
7,240,,,1,24,1,0,0,0,0
8,233,,,1,27,3,0,0,0,0
9,237,,,1,26,3,0,0,0,0
10,241,,,1,24,3,0,0,0,0
11,234,,,1,27,10,0,0,0,0
12,238,,,1,26,10,0,0,0,0
13,242,,,1,24,10,0,0,0,0
14,235,,,1,27,50,0,0,0,0
15,239,,,1,26,50,0,0,0,0
16,243,,,1,24,50,0,0,0,0
