货架ID,游戏货币,额外赠送游戏货币,平台类型,平台币价格,人民币价格,商品名称,运营商ID,中心图标,赠送图标,价格图标,对应的实际货币价格,是否为月卡,礼包对应id
id,nMoneyValue,nExtraMoney,nPlatformType,nPlatformMoneyValue,nRMBValue,sGoodsName,nOperaterID,sCenterIcon,sExtraIcon,sPriceIcon,fActualPrice,iIsLunaCard,strGifts
int,int,int,int,int,int,string,int,string,string,string,float,int,string
20108,300,0,201,300,30,30元至尊礼包,8,null,null,null,30,1,
20109,500,0,201,500,50,50元至尊礼包,9,null,null,50,50,1,
20110,880,0,201,880,88,88元至尊礼包,10,null,null,88,88,1,
20107,10120,1320,201,8800,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
20106,7590,990,201,6600,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
20101,60,0,201,60,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
20105,3300,300,201,3000,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
20104,1050,50,201,1000,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
20103,500,0,201,500,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
20102,300,0,201,300,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
20111,0,0,201,60,6,每日优惠礼包,11,null,null,6,6,0,1
20112,0,0,201,180,18,每日福利礼包,12,null,null,18,18,0,2
20113,0,0,201,300,30,春节礼包,13,null,null,30,30,0,3
20114,0,0,201,300,30,元宵礼包,14,null,null,30,30,0,4
20115,0,0,201,300,30,女将礼包,15,null,null,30,30,0,5
20116,0,0,201,380,38,暖冬礼包,16,null,null,38,38,0,6
20117,0,0,201,300,30,国庆礼包,17,null,null,30,30,0,7
20118,0,0,201,80,8,壮士礼包,18,null,null,8,8,0,8
20119,0,0,201,280,28,豪杰礼包,19,null,null,28,28,0,9
20120,0,0,201,600,60,诸侯礼包,20,null,null,60,60,0,10
20121,0,0,201,1280,128,王候礼包,21,null,null,128,128,0,11
20122,0,0,201,1980,198,霸主礼包,22,null,null,198,198,0,12
20123,0,0,201,3280,328,君王礼包,23,null,null,328,328,0,13
20124,0,0,201,3880,388,帝王礼包,24,null,null,388,388,0,14
20125,0,0,201,280,28,觉醒礼包,25,null,null,28,28,0,15
20126,0,0,201,280,28,堕天礼包,26,null,null,28,28,0,16
20127,0,0,201,280,28,诸侯回归礼包,27,null,null,28,28,0,17
20128,0,0,201,280,28,王候回归礼包,28,null,null,28,28,0,18
20129,0,0,201,280,28,霸主回归礼包,29,null,null,28,28,0,19
20130,0,0,201,280,28,君王回归礼包,30,null,null,28,28,0,20
20131,0,0,201,280,28,帝王回归礼包,31,null,null,28,28,0,21
20136,0,0,201,380,38,团购礼包,36,null,null,28,28,0,22
20208,300,0,202,30,30,30元至尊礼包,8,null,null,null,30,1,
20209,500,0,202,50,50,50元至尊礼包,9,null,null,50,50,1,
20210,880,0,202,88,88,88元至尊礼包,10,null,null,88,88,1,
20207,10120,1320,202,880,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
20206,7590,990,202,660,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
