序号,技能名,所需士气,过载时间,激活被动技能,特效名称,释放特效(第三系),天气ID,召唤技能ID(0无召唤技能),召唤武将,扩展类型(0:无效|1：智力|2：武力|3：兵力|4：智力目标数影响|5：武力目标数影响|13：兵力目标数影响),扩展条件ID,目标(0友方|1敌方),显示类型|1:强化|2:弱化|3:恢复|4:火计|5:落雷|6:号令|7:无双|8:毒计|9:巨石|10:风阵|11:玄冰|12:冰降|14:天变|15:召唤|16:将魂|17:护盾,伤害类型|1:物理|3:肉搏|4:突击|5:迎击|6:枪击|7:射击|8:贯射|51:武力技能伤害|101:魔法|151:技能伤害|152:火伤|153:雷伤|154:冰伤|155:毒伤|202:PK,类型,范围,持续时间,速度取值,治疗取值,杀伤取值1,杀伤取值2,攻防改变,智力改变,是否包含特殊技,特殊技类型,特殊技参数,指挥技能ID,加成方式（0标量，1系数）,加成参考目标（0：字面值 ，其他：SkillTarget）,持续时间受智力影响系数,可叠加技能,可受将魂技能影响持续时间,过载时间,激活被动技能,特效名称,天气ID,召唤技能ID(0无召唤技能),召唤武将,扩展类型,扩展条件ID,目标(0友方|1敌方),显示类型|1:强化|2:弱化|3:恢复|4:火计|5:落雷|6:号令|7:无双|8:毒计|9:巨石|10:风阵|11:玄冰|12:冰降|,伤害类型|1:物理|3:肉搏|4:突击|5:迎击|6:枪击|7:射击|8:贯射|51:武力技能伤害|101:魔法|151:技能伤害|152:火伤|153:雷伤|154:冰伤|155:毒伤|202:PK,类型,范围,持续时间,速度取值,治疗取值,杀伤取值1,杀伤取值2,攻防改变,智力改变,是否包含特殊技,特殊技类型,特殊技参数,指挥技能ID,加成方式（0标量，1系数）,加成参考目标（0：字面值 ，其他：SkillTarget）,持续时间受智力影响系数,可叠加技能,可受将魂技能影响持续时间,技能简述,技能说明
id,strName,fNeedMoral,nMainOverload,nMainPassiveSkill,strMainFX,strCastFx,nWeatherID,nArrEquipEffectID,strSummonWarrior,nExType,nExCondition,nMainTarget,nMainDisplayType,nDamageType,nMainType,nMainRange,nMainLifeRound,fMainSpeed,fMainBaseCureValue,fMainBaseDamageValue1,fMainBaseDamageValue2,fMainForceEffect,fMainIntelligenceEffect,nMainContainSpecialSkill,nMainSpecialSkillType,strMainSpecialSkillParam,nMainCommanderSkillID,nMainEffectType,nMainRefTarget,fMainLifeRoundOnIntelligence,nMainOnRepeat,nMainLifeRoundOnJianghun,nSubOverload,nSubPassiveSkill,strSubFX,nSubWeatherID,nArrSubEquipEffectID,strSubSummonWarrior,nSubExType,nExSubCondition,nSubTarget,nSubDisplayType,nSubDamageType,nSubType,nSubRange,nSubLifeRound,fSubSpeed,fSubBaseCureValue,fSubBaseDamageValue1,fSubBaseDamageValue2,fSubForceEffect,fSubIntelligenceEffect,nSubContainSpecialSkill,nSubSpecialSkillType,strSubSpecialSkillParam,nSubCommanderSkillID,nSubEffectType,nSubRefTarget,fSubLifeRoundOnIntelligence,nSubOnRepeat,nSubLifeRoundOnJianghun,strBrife,strDesc
int,string,float,int,int,string,string,int,int[3],string,int,int,int,int,int,int,int,int,float,float,float,float,float,float,int,int,string,int,int,int,float,int,int,int,int,string,int,int[3],string,int,int,int,int,int,int,int,int,float,float,float,float,float,float,int,int,string,int,int,int,float,int,int,string,string
1031,天·天祈之阵,2,0,0,0,,2,0|0|0,0,1,0,0,14,0,1,4,40,1,0,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillfxStrengthen_Prefab,0,0|0|0,0,1,0,0,0,0,4,3,10,1,0.015,0,0,1,1,0,0,null,0,1,1,1,0,1,集部队之力将战场天气变幻为风沙天气,集己方部队之力召唤风沙，在风沙天气下毒系法术伤害降低50%，，天气不属于负面技能效果，其效果强弱受双方部队总战力差距影响，持续[fed655]40[-]秒。己方所有部队每秒恢复[fed655][cure_param1][-]点生命值，持续[fed655][duration1][-]秒
1051,天·阴雨欲来,2,0,0,0,,1,0|0|0,0,1,0,0,14,0,1,4,40,1,0,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillfxStrengthen_Prefab,0,0|0|0,0,1,0,0,0,0,1,14,12,1,0,0,0,1,1.2,0,0,null,0,1,1,1,0,1,集部队之力将战场天气变幻为大雨天气,集己方部队之力召唤大雨，在大雨天气下火系法术伤害降低50%，，天气不属于负面技能效果，其效果强弱受双方部队总战力差距影响，持续[fed655]40[-]秒。同时提升魏国部队[fed655]20%[-]智力，持续[fed655][duration1][-]秒
1101,天·雾隐琴音,2,0,0,0,,3,0|0|0,0,1,0,0,14,0,1,4,40,1,0,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillfxShieldPoint_Prefab,0,0|0|0,0,1,0,0,0,0,1,7,10,1,0,0,0,1,1,1,1002,ShieldPoint:[MAXHP]*0.3,0,1,1,1,0,1,集部队之力将战场天气变幻为大雾天气,集己方部队之力召唤大雾，在大雾天气下雷系法术伤害降低50%，天气不属于负面技能效果，其效果强弱受双方部队总战力差距影响，持续[fed655]40[-]秒。己方武力最高部队添加周瑜自身[fed655]30%[-]最大生命值得护盾，持续[fed655][duration1][-]秒
1281,天·符咒之祝,2,0,0,0,,4,0|0|0,0,1,0,0,14,0,1,4,40,1,0,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillfxStrengthen_Prefab,0,0|0|0,0,1,0,1,0,0,1,3,14,1,0,0,0,1,1,1,1004,CReceivedNormalAttackDamageScale:1.3,0,1,1,1,0,1,集部队之力将战场天气变幻为大雪天气,集己方部队之力召唤大雪，在大雪天气下治疗效果降低50%，天气不属于负面技能效果，其效果强弱受双方总战力差距影响，持续[fed655]40[-]秒。敌方全体部队受到的普攻伤害提升[fed655]30%[-]，基础持续时间[fed655]14[-]秒，实际持续时间受双方智力差距影响
2031,天·天祈之阵,0,0,0,0,,2,0|0|0,0,1,0,0,14,0,1,4,40,1,0,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillfxStrengthen_Prefab,0,0|0|0,0,1,0,0,0,0,4,3,10,1,0.015,0,0,1,1,0,0,null,0,1,1,1,0,1,集部队之力将战场天气变幻为风沙天气,集己方部队之力召唤风沙，在风沙天气下毒系法术伤害降低50%，，天气不属于负面技能效果，其效果强弱受双方部队总战力差距影响，持续[fed655]40[-]秒。己方所有部队每秒持续恢复生命值，持续[fed655]10[-]秒
2051,天·阴雨欲来,0,0,0,0,,1,0|0|0,0,1,0,0,14,0,1,4,40,1,0,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillfxStrengthen_Prefab,0,0|0|0,0,1,0,0,0,0,1,14,12,1,0,0,0,1,1.2,0,0,null,0,1,1,1,0,1,集部队之力将战场天气变幻为大雨天气,集己方部队之力召唤大雨，在大雨天气下火系法术伤害降低50%，，天气不属于负面技能效果，其效果强弱受双方部队总战力差距影响，持续[fed655]40[-]秒。同时提升魏国部队[fed655]20%[-]智力，持续[fed655]12[-]秒
2101,天·雾隐琴音,0,0,0,0,,3,0|0|0,0,1,0,0,14,0,1,4,40,1,0,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillfxShieldPoint_Prefab,0,0|0|0,0,1,0,0,0,0,1,7,10,1,0,0,0,1,1,1,1002,ShieldPoint:[MAXHP]*0.3,0,1,1,1,0,1,集部队之力将战场天气变幻为大雾天气,集己方部队之力召唤大雾，在大雾天气下雷系法术伤害降低50%，天气不属于负面技能效果，其效果强弱受双方部队总战力差距影响，持续[fed655]40[-]秒。己方武力最高部队添加周瑜自身[fed655]30%[-]最大生命值得护盾，持续[fed655]10[-]秒
2281,天·符咒之祝,0,0,0,0,,4,0|0|0,0,1,0,0,14,0,1,4,40,1,0,0,0,1,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillfxStrengthen_Prefab,0,0|0|0,0,1,0,1,0,0,1,3,14,1,0,0,0,1,1,1,1004,CReceivedNormalAttackDamageScale:1.3,0,1,1,1,0,1,集部队之力将战场天气变幻为大雪天气,集己方部队之力召唤大雪，在大雪天气下治疗效果降低50%，天气不属于负面技能效果，其效果强弱受双方总战力差距影响，持续[fed655]40[-]秒。敌方全体部队受到的普攻伤害提升[fed655]30%[-]，基础持续时间[fed655]14[-]秒，实际持续时间受双方智力差距影响
10011,霸者求心,6,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,8,1.2,0,0,0,1.4,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力强化并加速,己方全体魏国部队武力值提高[fed655]40%[-]，移动速度提高[fed655]20%[-]，持续[fed655][duration][-]秒
10012,真·霸者求心,6,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,8,1.3,0,0,0,1.45,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力强化并加速,己方全体魏国部队武力值提高[fed655]45%[-]，移动速度提高[fed655]30%[-]，持续[fed655][duration][-]秒
