序号,类型(1影响人数2当前生命百分比3我方士气4敌方士气5士气差6移动速度7目标距离8持续不动时间9己方死亡10友方部队死亡11敌方部队死亡12己方剩余部队13地方剩余部队14剩余部队差),持续不动加成消失,影响武力,影响智力,影响兵力,影响治疗系数,影响速度,影响持续时间,影响伤害系数,触发起始值,触发结束值,步长,系数基本值,单次系数增幅,重复类型(0:永远 1:一次),触发者范围,触发说明
id,nType,nVanishTime,nImpactWu,nImpactZhi,nImpactBing,nImpactCure,nImpactSpeed,nImpactTime,nImpactDamage,fBegin,fEnd,fStepRange,fBaseCeof,fStepCeof,nRepeatType,nTriggerRange,strDesc
int,int,int,int,int,int,int,int,int,int,float,float,float,float,float,int,int,string
1001,1,0,0,0,0,0,0,0,1,1,5,1,1,1.75,0,0,人数越多伤害越高
1002,1,0,0,0,0,0,0,0,1,1,5,1,1,-0.24,0,0,人数越少伤害越高
1003,1,0,1,1,0,0,0,0,0,1,5,1,0,0.15,0,0,人数越多武力越高
1004,1,0,0,1,0,0,0,0,0,1,5,1,0,1,0,0,人数越多智力越高
1005,1,0,0,0,0,1,0,0,0,1,5,1,0,0.02,0,0,人数越多治疗越高
1006,1,0,0,0,0,0,1,0,0,1,5,1,0,0.5,0,0,人数越多速度越高
1007,1,0,1,0,0,0,0,0,0,1,5,1,0,0.06,0,0,人数越多武力越高
1008,1,0,1,0,0,0,0,0,0,1,5,1,0,0.09,0,0,人数越多武力越高
1009,1,0,1,0,0,0,0,0,0,1,5,1,0,0.1,0,0,人数越多武力越高
1010,1,0,1,1,0,0,0,0,0,1,5,1,0,0.06,0,0,人数越多武力和智力越高（龙驹马云禄）
1011,1,0,0,1,0,0,0,0,0,1,9,1,0,-0.05,0,0,人数越多智力越低（奸雄曹操）
2101,2,0,1,0,0,0,0,0,0,0.9,0,0.15,1.01,0.01,0,0,背水，血量越少物理越高
2102,2,0,1,0,0,0,0,0,0,0.9,0,0.15,1.02,0.02,0,0,背水，血量越少物理越高
2103,2,0,1,0,0,0,0,0,0,0.9,0,0.15,1.03,0.03,0,0,背水，血量越少物理越高
2104,2,0,1,0,0,0,0,0,0,0.9,0,0.15,1.04,0.04,0,0,背水，血量越少物理越高
2105,2,0,1,0,0,0,0,0,0,0.9,0,0.15,1.05,0.05,0,0,背水，血量越少物理越高
2106,2,0,1,0,0,0,0,0,0,0.9,0,0.15,1.06,0.06,0,0,背水，血量越少物理越高
2107,2,0,1,0,0,0,0,0,0,0.9,0,0.15,1.07,0.07,0,0,背水，血量越少物理越高
2108,2,0,1,0,0,0,0,0,0,0.9,0,0.15,1.08,0.08,0,0,背水，血量越少物理越高
2109,2,0,1,0,0,0,0,0,0,0.9,0,0.15,1.1,0.1,0,0,背水，血量越少物理越高
2110,2,0,1,0,0,0,0,0,0,0.9,0,0.15,1.12,0.12,0,0,背水，血量越少物理越高
2201,2,0,1,0,0,0,0,0,0,1,0.1,0.15,1.6,-0.1,0,0,高昂，血量越多武力越高
2202,2,0,1,0,0,0,0,0,0,1,0.6,0.4,1.4,-0.4,0,0,意气，血量越多武力越高
3001,1,0,1,0,0,0,0,0,0,0,10,1,0,0.06,0,0,人越多攻击越高
3002,1,0,1,0,0,0,0,0,0,0,5,1,0.3,-0.06,0,0,人越少攻击越高
4001,3,0,1,0,0,0,0,0,0,3,12,1,0,0.08,0,0,士气越多，效果越强
4002,3,0,1,0,0,0,0,0,0,3,12,1,1.3,-0.05,0,0,士气越少，效果越强
4003,3,0,1,0,0,0,0,0,0,3,12,1,0,0.1,0,0,士气越多，效果越强
5001,12,0,1,0,0,0,0,0,0,5,0,1,1,0.1,0,0,剩余部队越少，效果越强
5002,13,0,1,0,0,0,0,0,0,5,0,1,1,0.1,0,0,剩余部队越少，效果越强
5003,14,0,1,0,0,0,0,0,0,0,4,1,1,0.1,0,0,剩余部队越少，效果越强
5004,12,0,0,1,0,0,0,0,0,5,0,1,0,0.1,0,0,急智，己方部队每减少一人，自身智力提升
6101,6,5,1,0,0,0,0,0,0,5,26,3,1.03,0.03,0,0,冲势，移动速度越高，武力加成越高，停下来5秒后武力加成消失
6102,6,5,1,0,0,0,0,0,0,5,26,3,1.04,0.04,0,0,冲势，移动速度越高，武力加成越高，停下来5秒后武力加成消失
6103,6,5,1,0,0,0,0,0,0,5,26,3,1.05,0.05,0,0,冲势，移动速度越高，武力加成越高，停下来5秒后武力加成消失
6104,6,5,1,0,0,0,0,0,0,5,26,3,1.06,0.06,0,0,冲势，移动速度越高，武力加成越高，停下来5秒后武力加成消失
