id(id不能小于30),首次过滤目标，示例：1-0-1-0 第一位代表类型[1友方或敌方，2国家，3兵种，4范围，5武将类型（勇|将|智|策），6武力高于自身（百分比由第四位参数指定），7武力低于自身，8智高，9智低，10兵高，11兵低，12血高，13血低]，第二位代表是否包含自己（1包含，0否），第三位代表是否满足过滤条件，第四位代表过滤条件[即第一位的参数，注意：此处填整数],首次选择目标，1最近，2最远，3物理最低，4物理最高，5智力最低，6智力最高，7血量最低，8血量最高，9兵力最低，10兵力最高,二次过滤目标,二次选择目标,描述
id,strTarget1,nSelect1,strTarget2,nSelect2,strDesc
int,string,int,string,int,string
30,1-0-1-0,7,,0,
31,1-1-1-0|2-1-1-4|3-1-1-2,0,,0,群雄骑兵队伍（贵胄袁绍）
32,4-1-1-15,0,,0,自身周围双方部队（苍狼夏侯惇）
33,1-1-1-0|2-1-1-3|3-1-1-1,0,,0,己方吴国弓兵队伍（儒将陆逊）
34,1-1-0-0,7,,0,敌方血量最低目标
35,1-1-1-0|2-1-1-1|3-1-1-2,0,,0,魏国骑兵队伍（英灵典韦）
36,1-1-1-0|4-0-1-15,0,,0,自身周围己方部队（不包括自己）
37,1-1-0-0,5,,0,敌方智力最低目标
38,1-1-1-0|2-1-1-1|3-1-1-0,0,,0,魏国枪兵队伍（天妒郭嘉）
39,1-1-1-0,7,,0,己方血量最低目标（天妒郭嘉）
40,1-0-1-0,4,,0,除自身以外武力最高的部队（虎步夏侯渊）
41,1-0-1-1,0,,0,除自身以外的己方单位
42,1-0-1-0,0,,0,除自身以外的敌方单位
43,1-1-1-0|5-1-1-1,0,,0,己方勇将部队
44,1-1-1-0|5-1-1-2,9,,0,己方将军部队中兵力最低
45,1-1-1-0|5-1-1-3,10,,0,己方智将部队中兵力最高
46,1-1-1-0|5-1-1-4,0,,0,己方策士部队
47,1-1-1-0,0,,0,己方
48,1-1-0-0,0,,0,敌方
49,1-1-1-0|3-1-0-2,0,,0,己方枪兵和弓兵部队
50,2-1-0-1,0,,0,双方非魏国部队
51,1-1-0-0|2-1-0-4,0,,0,敌方非群雄部队
52,1-1-1-0|2-0-1-3|3-0-0-1,0,,0,己方吴国枪兵和骑兵部队
53,1-1-0-0|7-0-1-100,0,,0,敌方武力低于自身的部队
54,1-1-1-0,3,,0,己方武力最低
55,1-1-1-0,5,,0,己方智力最低
56,1-1-1-0|2-1-1-2,0,,0,己方蜀国部队
57,1-1-0-0|9-0-1-100,0,,0,敌方智力低于自身的部队
58,1-1-0-0,4,,0,敌方武力最高
59,1-1-0-0,6,,0,敌方智力最高
60,1-1-1-0,4,,0,己方武力最高
61,1-1-1-0,6,,0,己方智力最高
62,1-1-1-0|7-0-1-50,0,,0,己方武力低于自身50%的部队
