序号[战器强化等级，不能乱],品质,进阶等级,消耗钻石,高级消耗钻石,战器传承消耗,将魂传承消耗
id,nQuality,nAdvLevel,nNeedDiamond,nSuperNeedDiamond,nWeaponNeedDiamond,nJueXingNeedDiamond
int,int,int,int,int,int,int
1,1,2,4,10,50,0
2,1,3,24,50,74,0
3,2,2,24,50,100,0
4,2,3,50,100,150,0
5,3,2,100,200,250,0
6,3,3,300,600,500,0
7,4,2,500,1000,1000,0
8,4,3,1500,3000,1500,0
9,5,0,4000,4000,2000,2000
10,1,0,4,10,2500,0
11,1,1,4,10,3000,0
12,2,0,24,50,4000,0
13,2,1,24,50,4500,0
14,3,0,50,100,5000,0
15,3,1,50,100,6000,0
16,4,0,500,1000,6000,0
17,4,1,500,1000,6000,0
