兵种ID,兵种名称,兵种图片ID,科技1ID,科技2ID,科技3ID,科技4ID,解锁兵种所需星数,兵种描述,特殊攻击力类型(-1无效1突击2枪尖3迎击4射击),特殊攻击力加成,特殊攻击范围类型(-1无效1突击2枪尖3迎击4射击),特殊攻击范围加成,武力加成,智力加成,兵力加成,解锁阵型（阵型ID号二进制位，-1无效）
id,strName,strImgName,nTech1ID,nTech2ID,nTech3ID,nTech4ID,nNeedStar,strDesc,nSpAtkType,fSpAtkBonus,nSpAtkRadiusType,fSpAtkRadiusBonus,fWuliBonus,fZhiliBonus,fBingliBonus,nUnlockOperation
int,string,string,int,int,int,int,int,string,int,float,int,float,float,float,float,int
1,持枪民兵,Pikeman1Tex,1101,1105,1109,1113,0,由一些农民组成的枪兵部队，因为装备落后，缺乏训练，战斗力较弱。,3,0,-1,0,0,0,0,-1
2,枪步兵,Pikeman2Tex,1201,1205,1209,1213,10,枪兵的正规部队，武器装备比较齐全，训练有素，战斗力不俗。,3,0,-1,0,0.05,0.05,0.05,2
3,重装枪兵,Pikeman3Tex,1301,1305,1309,1313,20,枪兵的精锐部队，他们武器精良，全身重甲，久经沙场，战斗力惊人。,3,0.2,-1,0,0.05,0.05,0.05,-1
4,黄金枪兵,Pikeman4Tex,1401,1405,1409,1413,40,枪兵的王牌部队，他们是皇者的卫队，全身装备用黄金打造，个个以一敌十，无人能挡。,3,0.3,-1,0,0.05,0.05,0.05,-1
5,骑马民兵,Cavalryman1Tex,2101,2105,2109,2113,0,由一些流民和马贼组成的骑兵，因为装备落后，马匹参差不起，且没有有效的训练，战斗力较弱。,1,0,-1,0,0,0,0,-1
6,轻骑兵,Cavalryman2Tex,2201,2205,2209,2213,10,骑兵的正规部队，武器装备齐全，战马雄壮，战术训练有素，战斗力很强。,1,0,-1,0,0.05,0.05,0.05,224
7,重装骑兵,Cavalryman3Tex,2301,2305,2309,2313,20,骑兵的精锐部队，武器精良，马匹优良，人马皆身披装甲，善长迂回突击技巧，战斗力极强。,1,0.2,-1,0,0.05,0.05,0.05,-1
8,黄金骑兵,Cavalryman4Tex,2401,2405,2409,2413,40,骑兵的王牌部队，他们是皇者的骑兵卫队，武器铠甲用黄金打造，人人骑乘宝马，来去如风，冲杀敌军如入无人之境。,1,0.3,-1,0,0.05,0.05,0.05,-1
9,持弓步兵,Bowman1Tex,3101,3105,3109,3113,0,由一些民兵组成的弓兵部队，弓箭落后，箭术不精，缺乏战斗力。,5,0,-1,0,0,0,0,-1
10,弓步兵,Bowman2Tex,3201,3205,3209,3213,10,弓兵的正规部队，装备了强攻利箭，箭术久经训练，战斗力不俗。,5,0,-1,0,0.05,0.05,0.05,8
11,重装弓兵,Bowman3Tex,3301,3305,3309,3313,20,弓兵的精锐部队，装备了大型强弓利弩，且人人箭术高超，战斗力极强。,5,0.2,-1,0,0.05,0.05,0.05,-1
12,黄金弓兵,Bowman4Tex,3401,3405,3409,3413,40,弓兵的王牌部队，神弓在手，且人人都能百步穿杨，杀伤力恐怖，令敌人闻风丧胆。,5,0.3,-1,0,0.05,0.05,0.05,-1
13,羽林枪兵,Pikeman5Tex,1501,1505,1509,1513,50,传说中的禁卫枪兵部队，装备全由千年玄晶制成，战斗力无法估量，因为与他们的交战过人都已经不在了,3,0.3,-1,0,0.05,0.05,0.05,-1
14,羽林骑兵,Cavalryman5Tex,2501,2505,2509,2513,50,传说中的禁卫骑兵部队，装备全由千年玄晶制成，配上中原罕见的汗血良驹，三军夺帅有如探囊取物。,1,0.3,-1,0,0.05,0.05,0.05,-1
15,羽林弓兵,Bowman5Tex,3501,3505,3509,3513,50,传说中的禁卫弓兵部队，装备装备全由千年玄晶制成，可将任何企图近身的敌人轰至渣呀。,5,0.3,-1,0,0.05,0.05,0.05,-1
