索引ID,兵种类型,兵种类型,兵种基本类型,兵种名字,兵种等级,兵种等级名称,兵种图标,兵种开启条件(5个栏位兵书等级要求),兵种开启条件描述,兵种能力介绍,兵种技能介绍,兵种所加武力属性,兵种所加兵力属性,兵种所加智力属性,被动技能ID,可选战法,默认战法ID
id,nType,bIsAdvType,nBaseType,strName,nLevel,strLevel,strTexName,strLimit,strLimitDesc,strWarriorDesc,strWarriroSkillDesc,nWuli,nBing,nZhili,nPassivitySkill,strZhanFa,nDefaultZhanfa
int,int,int,int,string,int,string,string,string,string,string,string,int,int,int,int,string,int
1,0,0,0,枪兵,1,[fed655]一阶[-],UI/Tech/Pikeman,0|0|0|0|0,直接开启,普通枪兵,普通枪兵,0,0,0,0,0|1,0
2,1,0,1,弓兵,1,[fed655]一阶[-],UI/Tech/Bowman,0|0|0|0|0,直接开启,普通弓兵,普通弓兵,0,0,0,0,2|3,2
3,2,0,2,骑兵,1,[fed655]一阶[-],UI/Tech/Cavalryman,0|0|0|0|0,直接开启,普通骑兵,普通骑兵,0,0,0,0,4|6|5|7,4
4,7,1,0,盾枪兵,1,[fed655]一阶[-],UI/Tech/Pikeman6Tex,1|1|1|1|1,(5个栏位均装备[fed655]1级[-]兵书),给枪兵配备上巨盾，当举起巨盾时不再惧怕弓箭的伤害。,保留战法[fed655]枪阵[-]\n新增战法[fed655]盾阵[-]\n[fed655]盾阵[-]：不再受到贯射、箭岚的伤害，开启盾阵时会造成枪击，但无法造成迎击。,0,0,0,0,28|31|8,28
5,7,1,0,盾枪兵,2,[fed655]二阶[-],UI/Tech/Pikeman6Tex,3|3|3|3|3,(5个栏位均装备[fed655]3级[-]兵书),给枪兵配备上巨盾，当举起巨盾时不再惧怕弓箭的伤害。,加强[fed655]盾阵[-]：不再受到贯射、箭岚的伤害，开启盾阵时会造成枪击与迎击，但迎击伤害较普通枪兵迎击降低[fed655]50%[-]。,0,0,0,0,28|31|9,28
6,7,1,0,盾枪兵,3,[fed655]三阶[-],UI/Tech/Pikeman6Tex,5|5|5|5|5,(5个栏位均装备[fed655]5级[-]兵书),给枪兵配备上巨盾，当举起巨盾时不再惧怕弓箭的伤害。,基础武力+[fed655]7%[-]\n基础智力+[fed655]3%[-]\n基础兵力+[fed655]10%[-]\n新增被动[fed655]庇护[-]\n[fed655]庇护[-]：在盾枪兵周围一定范围内的友军受到普通攻击伤害降低[fed655]10%[-]，效果不叠加。,7,10,3,43501,28|31|9,28
7,8,1,0,长戟兵,1,[fed655]一阶[-],UI/Tech/Pikeman7Tex,1|1|1|1|1,(5个栏位均装备[fed655]1级[-]兵书),枪兵的铁枪换成长戟，近身肉搏时对周围的敌军威胁巨大。,移除战法[fed655]枪阵[-]\n新增战法[fed655]戟阵[-]\n[fed655]戟阵[-]：移动速度提升（与普通状态骑兵相同），接触敌军时会造成[fed655]斩破[-]，伤害比[fed655]枪击[-]提升[fed655]30%[-]，开启戟阵会造成迎击、会受到贯射。,0,0,0,0,28|10,28
8,8,1,0,长戟兵,2,[fed655]二阶[-],UI/Tech/Pikeman7Tex,3|3|3|3|3,(5个栏位均装备[fed655]3级[-]兵书),枪兵的铁枪换成长戟，近身肉搏时对周围的敌军威胁巨大。,加强[fed655]戟阵[-]：移动速度提升（与普通状态骑兵相同），[fed655]斩破[-]伤害提升[fed655]38%[-]，开启戟阵会造成迎击、会受到贯射。,0,0,0,0,28|11,28
