序号,名称,类型,等级,可升级次数,消耗圣石数,消耗卡魂,武力加成,智力加成,兵力加成,升级图标,石头图标
id,strName,nType,nLevel,nUpgradeTimes,nUseStone,nNeedCardSoul,nWuli,nZhili,nBingli,strUpgrade,strStone
int,string,int,int,int,int,int,int,int,int,string,string
1001,青龙,0,1,4,2,2000,5,5,5,UI/Stone/SiShengShi_QinglongTex,UITexture/mail/stone_qinglong
1002,青龙,0,2,4,3,10000,7,7,7,UI/Stone/SiShengShi_QinglongTex,UITexture/mail/stone_qinglong
1003,青龙,0,3,4,4,80000,9,9,9,UI/Stone/SiShengShi_QinglongTex,UITexture/mail/stone_qinglong
1004,青龙,0,4,4,5,250000,10,10,10,UI/Stone/SiShengShi_QinglongTex,UITexture/mail/stone_qinglong
1005,青龙,0,5,4,6,500000,12,12,12,UI/Stone/SiShengShi_QinglongTex,UITexture/mail/stone_qinglong
1006,青龙,0,6,4,7,800000,14,14,14,UI/Stone/SiShengShi_QinglongTex,UITexture/mail/stone_qinglong
1007,青龙,0,7,4,8,800000,15,15,15,UI/Stone/SiShengShi_QinglongTex,UITexture/mail/stone_qinglong
1008,青龙,0,8,4,9,800000,17,17,17,UI/Stone/SiShengShi_QinglongTex,UITexture/mail/stone_qinglong
1009,青龙,0,9,3,10,800000,19,19,19,UI/Stone/SiShengShi_QinglongTex,UITexture/mail/stone_qinglong
2001,白虎,1,1,4,2,2000,7,0,4,UI/Stone/SiShengShi_BaihuTex,UITexture/mail/stone_baihu
2002,白虎,1,2,4,3,10000,10,0,5,UI/Stone/SiShengShi_BaihuTex,UITexture/mail/stone_baihu
2003,白虎,1,3,4,4,80000,14,0,7,UI/Stone/SiShengShi_BaihuTex,UITexture/mail/stone_baihu
2004,白虎,1,4,4,5,250000,17,0,9,UI/Stone/SiShengShi_BaihuTex,UITexture/mail/stone_baihu
2005,白虎,1,5,4,6,500000,20,0,10,UI/Stone/SiShengShi_BaihuTex,UITexture/mail/stone_baihu
2006,白虎,1,6,4,7,800000,23,0,12,UI/Stone/SiShengShi_BaihuTex,UITexture/mail/stone_baihu
2007,白虎,1,7,4,8,800000,24,0,12,UI/Stone/SiShengShi_BaihuTex,UITexture/mail/stone_baihu
2008,白虎,1,8,4,9,800000,27,0,14,UI/Stone/SiShengShi_BaihuTex,UITexture/mail/stone_baihu
2009,白虎,1,9,3,10,800000,32,0,16,UI/Stone/SiShengShi_BaihuTex,UITexture/mail/stone_baihu
3001,朱雀,2,1,4,2,2000,0,7,4,UI/Stone/SiShengShi_ZhuqueTex,UITexture/mail/stone_zhuque
3002,朱雀,2,2,4,3,10000,0,10,5,UI/Stone/SiShengShi_ZhuqueTex,UITexture/mail/stone_zhuque
3003,朱雀,2,3,4,4,80000,0,14,7,UI/Stone/SiShengShi_ZhuqueTex,UITexture/mail/stone_zhuque
3004,朱雀,2,4,4,5,250000,0,17,9,UI/Stone/SiShengShi_ZhuqueTex,UITexture/mail/stone_zhuque
3005,朱雀,2,5,4,6,500000,0,20,10,UI/Stone/SiShengShi_ZhuqueTex,UITexture/mail/stone_zhuque
3006,朱雀,2,6,4,7,800000,0,23,12,UI/Stone/SiShengShi_ZhuqueTex,UITexture/mail/stone_zhuque
3007,朱雀,2,7,4,8,800000,0,24,12,UI/Stone/SiShengShi_ZhuqueTex,UITexture/mail/stone_zhuque
3008,朱雀,2,8,4,9,800000,0,27,14,UI/Stone/SiShengShi_ZhuqueTex,UITexture/mail/stone_zhuque
3009,朱雀,2,9,3,10,800000,0,32,16,UI/Stone/SiShengShi_ZhuqueTex,UITexture/mail/stone_zhuque
4001,玄武,3,1,4,2,2000,0,0,12,UI/Stone/SiShengShi_XuanwuTex,UITexture/mail/stone_xuanwu
4002,玄武,3,2,4,3,10000,0,0,18,UI/Stone/SiShengShi_XuanwuTex,UITexture/mail/stone_xuanwu
4003,玄武,3,3,4,4,80000,0,0,24,UI/Stone/SiShengShi_XuanwuTex,UITexture/mail/stone_xuanwu
4004,玄武,3,4,4,5,250000,0,0,30,UI/Stone/SiShengShi_XuanwuTex,UITexture/mail/stone_xuanwu
4005,玄武,3,5,4,6,500000,0,0,35,UI/Stone/SiShengShi_XuanwuTex,UITexture/mail/stone_xuanwu
4006,玄武,3,6,4,7,800000,0,0,41,UI/Stone/SiShengShi_XuanwuTex,UITexture/mail/stone_xuanwu
4007,玄武,3,7,4,8,800000,0,0,45,UI/Stone/SiShengShi_XuanwuTex,UITexture/mail/stone_xuanwu
4008,玄武,3,8,4,9,800000,0,0,51,UI/Stone/SiShengShi_XuanwuTex,UITexture/mail/stone_xuanwu
4009,玄武,3,9,3,10,800000,0,0,58,UI/Stone/SiShengShi_XuanwuTex,UITexture/mail/stone_xuanwu
