索引,奖励
id,strNormalReward
int,string
201,|16 2 0|
202,|17 2 0|
203,|18 2 0|
204,|19 2 0|
205,|18 1 0|19 1 0|
206,|17 1 0|19 1 0|
207,|17 1 0|18 1 0|
301,|17 1 0|18 1 0|19 1 0|
302,|16 1 0|17 2 0|
303,|16 1 0|18 2 0|
304,|16 1 0|19 2 0|
305,|17 3 0|
306,|18 3 0|
307,|19 3 0|
308,|17 1 0|18 1 0|19 1 0|
401,|17 2 0|18 2 0|
402,|17 2 0|19 2 0|
403,|18 2 0|19 2 0|
404,|16 1 0|17 1 0|18 1 0|19 1 0|
405,|16 1 0|17 1 0|18 1 0|19 1 0|
406,|16 1 0|17 1 0|18 1 0|19 1 0|
501,|16 1 0|17 1 0|18 1 0|19 2 0|
502,|16 1 0|17 1 0|18 2 0|19 1 0|
503,|16 1 0|17 2 0|18 1 0|19 1 0|
504,|16 1 0|17 1 0|18 1 0|19 2 0|
505,|16 1 0|17 1 0|18 2 0|19 1 0|
506,|16 1 0|17 2 0|18 1 0|19 1 0|
507,|17 3 0|18 2 0|
508,|18 3 0|19 2 0|
509,|17 2 0|19 3 0|
601,|17 2 0|18 2 0|19 2 0|
602,|16 1 0|17 1 0|18 2 0|19 2 0|
603,|16 1 0|17 2 0|18 1 0|19 2 0|
604,|16 1 0|17 2 0|18 2 0|19 1 0|
801,|17 3 0|18 3 0|19 2 0|
802,|17 3 0|18 2 0|19 3 0|
803,|17 2 0|18 3 0|19 3 0|
804,|16 1 0|17 2 0|18 2 0|19 3 0|
805,|16 1 0|17 2 0|18 3 0|19 2 0|
806,|16 1 0|17 3 0|18 2 0|19 2 0|
807,|16 2 0|17 2 0|18 2 0|19 2 0|
808,|16 2 0|17 2 0|18 2 0|19 2 0|
809,|16 2 0|17 2 0|18 2 0|19 2 0|
810,|16 2 0|17 2 0|18 2 0|19 2 0|
1001,|16 2 0|17 2 0|18 3 0|19 3 0|
1002,|16 2 0|17 3 0|18 2 0|19 3 0|
1003,|16 2 0|17 3 0|18 3 0|19 2 0|
1004,|16 1 0|17 3 0|18 3 0|19 3 0|
1005,|16 4 0|17 2 0|18 2 0|19 2 0|
1006,|17 3 0|18 4 0|19 3 0|
1007,|17 4 0|18 3 0|19 3 0|
1008,|17 3 0|18 3 0|19 4 0|
1201,|16 3 0|17 3 0|18 3 0|19 3 0|
1202,|16 2 0|17 2 0|18 4 0|19 4 0|
1203,|16 2 0|17 4 0|18 2 0|19 4 0|
1204,|16 2 0|17 4 0|18 4 0|19 2 0|
1205,|17 4 0|18 4 0|19 4 0|
1206,|17 4 0|18 4 0|19 4 0|
1501,|16 4 0|17 4 0|18 4 0|19 3 0|
1502,|16 4 0|17 4 0|18 3 0|19 4 0|
1503,|16 4 0|17 3 0|18 4 0|19 4 0|
1504,|16 3 0|17 4 0|18 4 0|19 4 0|
1505,|16 5 0|17 5 0|18 5 0|19 0 0|
1506,|16 5 0|17 5 0|18 0 0|19 5 0|
1507,|16 5 0|17 0 0|18 5 0|19 5 0|
1508,|17 5 0|18 5 0|19 5 0|
1509,|17 5 0|18 5 0|19 5 0|
1510,|17 5 0|18 4 0|19 6 0|
1511,|17 5 0|18 6 0|19 4 0|
1512,|17 4 0|18 6 0|19 5 0|
1513,|17 4 0|18 5 0|19 6 0|
1514,|17 6 0|18 5 0|19 4 0|
1515,|17 6 0|18 4 0|19 5 0|
