序号,引导类型：1剧情2庆典,讲话人ID(-1为玩家其余为npc表中的id）,地点ID（-1为主城其余为关卡id）,任务推进条件（目前为level ID， -1表示无要求）,触发类型 0:城市对话|1:在布阵界面弹出|2:在战斗开始时弹出|3:在战斗过程中弹出|4:在战斗结束时弹出（胜）|5:在战斗结束时弹出（负）6:在章节页面弹出,战斗百分比（关卡过程弹出类）,下一步寻路NPC ID(如果不需要移动直接显示对话/此处填0,下一步附加值（下一步寻路NPC ID为传送点时/此值为关卡id）,奖励类型|0:无奖励|1:卡片|2:卡魂|3:军令|4:星星|5:游戏点卷|6:免费抽卡机会|7:解锁关卡|8:弹出UI|9:开放封地|10:功能开放|11:上阵武将数量|12:强化上限|,奖励值,锚点（1表示此条对白的进度要存入数据库）,寻路头像,背景图片路径,对白内容
id,nType, nSpeaker,nLocation,strCondition,nTrigerType,nBattlePercent,nNextNPCID,nNextValue,nRewardType,nRewardValue,nSaveAnchor,strNPCTexName,strBG,strConversation
int,int,int,int,string,int,int,int,int,int,int,int,string,string,string
1,1,303,-1,-1,0,0,0,0,0,0,0,7,UI/Stories/Bg1,哈、哈、哈、哈…………皇上，我已经把宫里的追兵打退了。
2,1,301,-1,-1,0,0,0,0,0,0,0,7,UI/Stories/Bg1,大将军辛苦了，我们不能放松警惕，还是继续赶路吧。
3,1,303,-1,-1,0,0,0,0,0,0,0,7,UI/Stories/Bg1,？！什么人藏在草丛里？！……这不是张总管吗？
4,1,302,-1,-1,0,0,0,0,0,0,0,7,UI/Stories/Bg1,……好、好汉饶命！！哎呦皇上！老奴为了出宫追随您，差点连命都丢了……！
5,1,301,-1,-1,0,0,0,0,15,1,0,7,UI/Stories/Bg1,……张总管受苦了，我们先找个安全的地方再说话吧。
6,1,98,-1,-1,2,0,0,0,0,0,0,7,,天公将军！这群人衣着鲜亮，依我看多半是个官儿。
7,1,4,-1,-1,2,0,0,0,0,0,0,7,,官府的人，一个都不能留，兄弟们跟我上！
8,1,4,-1,-1,2,0,0,0,0,0,0,7,,苍天已死，黄天当立！
9,1,302,-1,-1,2,0,0,0,0,0,0,7,,是黄巾军！！我好不容易带出来的财物就是被这群人抢走了！
10,1,301,-1,-1,2,0,0,0,0,0,0,7,,在宫里就听闻黄巾军四处作乱，居然给朕在这里遇到了。
11,1,303,-1,-1,2,0,0,0,0,0,0,7,,护驾！！护驾！！
12,1,303,-1,-1,5,0,0,0,0,0,0,7,,黄巾军人数太多了，保护皇上先撤！
13,1,302,-1,-1,5,0,0,0,0,0,0,7,,皇上，前面就是[ff000c]荆州[-]，我们逃往城内避乱吧。
14,1,301,-1,-1,5,0,0,0,0,0,0,7,,好吧。
15,1,301,-1,-1,5,0,0,0,0,0,0,7,,…………唉！朕的包袱！
16,1,302,-1,-1,5,0,0,0,0,0,0,7,,快走吧皇上！
17,1,301,-1,-1,5,0,0,0,0,0,0,7,,朕的玉……
18,1,302,-1,-1,5,0,0,0,0,0,0,7,,哎呦性命要紧！这包袱丢了就丢了吧。
19,1,-1,-1,-1,0,0,0,0,0,0,0,7,,最近城里有点奇怪，忽然多了一些外人。
