序号,武将位置x1,武将位置z1,战法1,武将位置x2,武将位置z2,战法2,武将位置x3,武将位置z3,战法3,武将位置x4,武将位置z4,战法4,武将位置x5,武将位置z5,战法5
id,fx0,fz0,nOperation0,fx1,fz1,nOperation1,fx2,fz2,nOperation2,fx3,fz3,nOperation3,fx4,fz4,nOperation4
int,float,float,int,float,float,int,float,float,int,float,float,int,float,float,int
1,49,0,0,63,-8,0,63,8,0,77,-40,0,77,40,0
2,49,0,0,63,0,0,56,0,0,77,-40,0,77,40,0
3,56,0,0,63,0,2,70,0,0,77,-40,0,77,40,0
4,70,0,1,70,-16,2,70,16,2,77,-40,0,77,40,0
5,56,0,4,70,-8,2,70,8,2,77,-40,0,77,40,0
6,49,0,5,63,-8,0,63,8,0,77,-40,0,77,40,0
7,70,0,0,63,16,0,63,-16,4,56,16,4,77,40,0
8,70,8,2,56,0,5,70,-8,2,63,0,0,77,40,0
9,70,0,3,63,-8,1,77,0,1,63,8,1,77,40,0
10,70,-8,3,70,8,3,56,-8,4,56,8,4,77,40,0
11,70,8,3,56,8,4,56,-8,4,70,-8,4,77,40,0
12,56,0,4,63,-8,3,63,8,1,70,-8,3,70,8,3
13,63,0,4,56,-8,5,56,8,5,70,-16,5,70,16,5
14,63,0,4,70,-16,3,70,16,3,70,-8,2,70,8,2
15,77,0,5,63,-8,3,63,8,3,56,0,1,70,-32,6
16,70,8,3,70,-8,3,56,0,1,77,-32,6,77,32,7
17,56,0,5,70,0,5,77,-40,0,77,-40,0,77,-40,0
18,77,-24,1,63,-32,1,63,-16,1,63,32,7,70,32,7
19,77,0,3,56,8,1,56,-8,1,63,16,1,63,-16,1
20,77,32,3,63,32,1,63,16,1,56,32,5,56,16,5
21,70,-8,3,70,8,3,63,0,4,56,-8,1,56,8,1
22,70,-32,3,56,-32,1,63,24,1,77,16,3,77,32,3
23,49,-8,1,49,8,1,70,-8,3,70,8,3,63,0,5
24,56,8,3,56,-8,3,70,8,5,70,-8,5,49,0,5
25,70,-24,6,77,-24,6,56,8,1,56,-8,1,63,0,3
26,63,0,1,56,-8,1,56,8,1,77,-8,5,77,8,5
27,56,0,4,70,-8,1,70,8,1,77,-8,3,77,8,3
28,63,8,1,63,-8,1,77,0,3,77,-8,3,77,8,3
29,63,0,5,70,-8,5,70,8,5,0,0,0,0,0,0
30,70,-8,4,70,8,4,77,0,3,77,8,3,77,-8,3
31,77,0,5,55,0,3,0,0,0,0,0,0,0,0,0
32,49,8,1,49,-8,1,63,8,1,63,-8,1,77,0,4
33,77,0,1,70,-16,3,77,-8,3,77,8,3,70,16,3
34,70,0,4,49,0,5,56,8,5,56,-8,5,77,0,3
35,56,-32,6,56,8,1,56,24,1,63,16,3,70,-32,3
36,63,0,5,49,0,1,70,0,5,70,8,5,70,-8,5
37,63,-32,3,63,32,3,70,-16,3,70,16,3,77,0,3
38,63,-16,1,63,0,1,63,16,1,70,-8,3,70,8,3
39,56,-16,1,56,16,1,63,0,4,70,-8,3,70,8,3
40,63,-32,1,63,40,1,70,-40,3,70,-32,3,70,40,3
41,56,-16,6,56,-8,4,56,8,4,56,16,7,63,0,3
42,70,24,1,70,32,1,70,40,1,77,32,3,77,40,3
43,56,-8,1,56,8,1,63,0,3,77,-40,6,77,40,7
44,56,-16,1,56,16,1,63,0,4,70,0,4,77,0,3
45,63,0,3,70,-8,3,70,0,1,70,8,3,77,0,5
46,49,0,5,56,0,1,63,0,1,70,0,1,77,0,1
47,49,0,5,56,-32,6,56,32,7,63,0,5,77,0,5
48,63,16,1,70,-16,6,70,8,1,70,16,3,70,24,1
49,49,-8,1,49,8,1,56,-24,1,56,0,1,56,24,1
50,70,0,3,77,-8,1,77,8,1,49,0,1,56,0,1
51,49,32,1,56,32,3,56,40,3,70,-40,6,77,-40,6
52,56,-8,3,56,8,3,63,-40,6,63,40,7,77,0,5
53,70,-8,5,70,8,5,49,0,1,56,0,1,63,0,1
54,63,-16,1,63,16,1,77,-32,1,77,0,3,77,32,1
55,63,0,3,70,0,5,49,0,1,56,0,1,63,0,1
56,49,0,1,70,-24,6,70,-8,5,70,8,5,70,24,7
57,56,-16,1,56,16,1,63,0,5,70,0,5,77,0,5
58,56,0,5,63,-8,5,63,8,5,70,-16,3,70,16,3
59,49,0,1,56,-8,1,56,0,3,56,8,1,63,0,4
60,63,-8,4,63,8,4,49,0,1,56,0,3,70,0,3
61,56,0,1,63,0,1,70,8,3,70,-8,3,77,0,3
62,49,0,1,77,-8,5,77,8,5,70,0,5,77,0,5
63,70,0,3,70,-16,3,70,16,3,56,-8,1,56,8,1
64,70,0,3,56,0,1,70,16,1,70,-16,1,63,0,1
65,49,-8,3,49,8,3,56,0,3,70,-16,5,70,16,5
66,70,-24,6,77,-32,6,77,-16,6,70,0,3,77,0,1
67,63,-8,1,63,8,1,70,0,3,0,0,0,0,0,0
68,56,0,1,63,0,1,63,-16,5,63,16,5,70,0,5
69,56,0,3,63,0,1,63,-8,1,63,8,1,77,0,3
70,56,-16,1,56,16,1,63,0,3,77,-8,3,77,8,3
71,56,0,4,70,-8,5,70,8,5,70,0,5,77,0,3
72,49,0,1,70,-8,5,70,8,5,77,0,5,70,0,3
73,56,-16,1,56,16,1,63,-8,3,63,8,3,70,0,1
74,56,-8,3,56,8,3,63,-16,1,63,16,1,70,0,3
75,49,-8,1,49,8,1,70,0,5,77,-8,5,77,8,5
76,56,0,4,63,-8,1,63,8,1,77,-8,3,77,8,3
77,56,-8,1,56,8,1,56,0,3,77,-16,5,77,16,5
78,63,16,1,77,-8,5,77,8,3,77,16,3,77,24,3
79,56,-8,1,56,8,1,63,-24,4,63,24,4,70,0,4
80,63,-24,1,63,8,1,70,-32,4,70,-16,4,77,8,3
81,56,-8,3,56,8,3,70,-8,1,70,8,1,70,0,3
82,49,0,4,56,8,4,56,-8,4,77,0,5,0,0,0
83,56,-8,1,56,0,1,56,8,1,63,0,3,77,-8,5
84,63,-16,5,63,8,5,70,-16,3,70,0,3,70,16,3
85,70,0,3,70,-16,3,70,16,3,56,-8,1,56,8,1
86,63,0,1,70,-8,3,70,8,3,56,-8,1,56,8,1
87,56,0,1,77,-8,5,77,8,5,70,24,7,77,24,7
88,49,0,1,49,-16,1,49,16,1,77,-40,0,77,40,0
89,56,0,1,63,-8,1,63,8,1,63,32,7,70,32,7
90,70,0,3,70,-16,1,70,16,1,63,0,2,56,0,1
91,70,24,7,77,-24,3,77,-8,3,63,-24,1,63,-8,1
92,63,0,1,70,-8,1,70,8,1,56,-8,6,56,8,6
93,63,0,5,70,-8,1,70,8,1,56,-8,1,56,8,1
94,70,-24,6,77,8,3,77,24,3,63,8,1,63,24,1
95,56,0,1,56,-16,1,56,16,1,63,0,1,70,0,1
96,70,0,5,63,-8,1,63,8,1,56,-16,1,56,16,1
