ID,类型(1：首胜 2：活跃 3：晋级 4：排名),档位,条件,邮件id,奖励名称
id,nType,nLevel,nCond,nRewardMail,strTitleName
int,int,int,int,int,string
1,1,1,1,6609,首胜奖励
2,2,1,3,6610,完成战斗3场
3,2,2,6,6611,完成战斗6场
4,2,3,10,6612,完成战斗10场
5,2,4,15,6613,完成战斗15场
6,2,5,20,6614,完成战斗20场
7,3,1,2,6616,晋升白银段位
8,3,2,3,6617,晋升黄金段位
9,3,3,4,6618,晋升大师段位
10,3,4,5,6619,晋升至尊段位
11,4,14,1,6620,第1名
12,4,13,5,6621,第2名-第5名
13,4,12,10,6622,第6名-第10名
14,4,11,30,6623,第11名-第30名
15,4,10,100,6624,第31名-第100名
16,4,9,200,6625,第101名-第200名
17,4,8,500,6626,第201名-第500名
18,4,7,1000,6627,第501名-第1000名
19,4,6,2000,6628,第1001名-第2000名
20,4,5,3000,6629,第2001名-第3000名
21,4,4,4000,6630,第3001名-第4000名
22,4,3,6000,6631,第4001名-第6000名
23,4,2,8000,6632,第6001名-第8000名
24,4,1,10000,6633,第8001名-第10000名
