赛季,开启时间,持续时间[天],预选赛战胜奖,预选赛全胜晋级奖,预选赛1败晋级奖,淘汰赛队伍奖励[冠|亚|3、4|5-8],淘汰赛全服奖励[同前|9-16],预选赛简介,淘汰选赛简介
id,strOpenTime,nDurationTime,iTrialTeamReward,iTrialWinGradeReward,iTrialFailGradeReward,arrFinalTeamReward,arrFinalServerReward,strPrimaryTime,strAdvancedTime
int,string,int,int,int,int,int[4],int[5],string,string
1,2017|2|19|0|19|55,26,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,2月20日20:00—21:10,2月21日—2月24日
3,2017|3|26|0|19|55,26,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,3月27日20:00—21:30,3月28日—3月31日
4,2017|4|30|0|19|55,20,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,5月1日20:00—21:30,5月2日—5月5日
5,2017|5|21|0|19|55,19,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,5月22日20:00—21:30,5月23日—5月26日
6,2017|6|11|0|19|55,26,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,6月12日20:00—21:30,6月13日—6月16日
8,2017|7|16|0|19|55,20,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,7月17日20:00—21:30,7月18日—7月21日
9,2017|8|6|0|19|55,26,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,8月7日20:00—21:30,8月8日—8月9日
10,2017|9|3|0|19|55,26,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,9月4日20:00—21:30,9月5日—9月8日
11,2017|10|1|0|19|55,26,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,10月2日20:00—21:30,10月3日—10月6日
12,2017|10|29|0|19|55,26,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,10月30日20:00—21:30,10月31日—11月3日
13,2017|11|26|0|19|55,26,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,11月27日20:00—21:30,11月28日—12月1日
14,2017|12|24|0|19|55,26,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,12月25日20:00—21:30,12月26日—12月29日
15,2018|1|21|0|19|55,26,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,1月22日20:00—21:30,1月23日—1月26日
16,2018|4|15|0|19|55,6,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,4月16日20:00—21:30,4月17日—4月20日
17,2018|4|22|0|19|55,6,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,4月23日20:00—21:30,4月24日—4月27日
18,2018|5|13|0|19|55,12,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,5月14日20:00—21:30,5月15日—5月18日
19,2018|5|27|0|19|55,12,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,5月28日20:00—21:30,5月29日—6月1日
20,2018|6|10|0|19|55,12,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,6月11日20:00—21:30,6月12日—6月15日
21,2018|6|24|0|19|55,12,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,6月25日20:00—21:30,6月26日—6月29日
22,2018|7|8|0|19|55,12,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,7月9日20:00—21:30,7月10日—7月13日
23,2018|7|22|0|19|55,12,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,7月23日20:00—21:30,7月24日—7月27日
24,2018|8|6|0|10|55,12,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,8月6日20:00—21:30,8月7日—8月10日
25,2018|8|19|0|19|55,12,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,8月20日20:00—21:30,8月21日—8月24日
26,2018|9|2|0|19|55,12,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,9月3日20:00—21:30,9月4日—9月7日
27,2018|9|16|0|19|55,12,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,9月17日20:00—21:30,9月18日—9月21日
28,2018|9|30|0|19|55,12,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,10月1日20:00—21:30,10月2日—10月5日
29,2018|10|14|0|19|55,12,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,10月15日20:00—21:30,10月16日—10月19日
30,2018|10|28|0|19|55,12,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,10月29日20:00—21:30,10月30日—11月2日
31,2018|11|11|0|19|55,12,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,11月12日20:00—21:30,11月13日—11月16日
32,2018|11|25|0|19|55,12,6100,6101,6101,6201|6202|6203|6204,6301|6302|0|0|0,11月26日20:00—21:30,11月27日—11月30日
