服务器id,服务器名称
id,strName
int,string
70003998,腾讯新版本
70003999,腾讯预发布
30003998,安卓新版本
30003999,安卓预发布
30003996,安卓3996
70003001,腾讯S1
70003002,腾讯S2
70003003,腾讯S3
70003004,腾讯S4
70003005,腾讯S5
70003006,腾讯S6
70003007,腾讯S7
70003008,腾讯S8
10000331,安卓s1
10000332,安卓s2
10000333,安卓s3
10000334,安卓s4
10000335,安卓s5
10000336,安卓s6
10000337,安卓s7
10000338,安卓s8
10000339,安卓s9
10000340,安卓s10
10000341,安卓s11
10000342,安卓s12
10000343,安卓s13
10000344,安卓s14
10000345,安卓s15
10000346,安卓s16
10000347,安卓s17
10000348,安卓s18
10000349,安卓s19
10000350,安卓s20
10000351,安卓s21
10000352,安卓s22
10000353,安卓s23
30000354,安卓s24
30000355,安卓s25
300003056,安卓s26
300003057,安卓s27
30003058,安卓s28
30003059,安卓s29
30003060,安卓s30
30003061,安卓s31
30003062,安卓s32
30003063,安卓s33
30003064,安卓s34
30003065,安卓s35
30003066,安卓s36
30003067,安卓s37
30003068,安卓s38
30003069,安卓s39
30003070,安卓s40
30003071,安卓s41
30003072,安卓s42
30003073,安卓s43
30003074,安卓s44
30003075,安卓s45
30003076,安卓s46
30003077,安卓s47
30003078,安卓s48
30003079,安卓s49
30003080,安卓s50
30003081,安卓s51
30003082,安卓s52
30003083,安卓s53
30003084,安卓s54
30003085,安卓s55
30003086,安卓s56
30003087,安卓s57
30003088,安卓s58
30003089,安卓s59
30003090,安卓s60
30003091,安卓s61
30003092,安卓s62
30003093,安卓s63
30003094,安卓s64
30003095,安卓s65
30003096,安卓s66
30003097,安卓s67
30003098,安卓s68
30003099,安卓s69
30003100,安卓s70
30003101,安卓s71
30003102,安卓s72
30003103,安卓s73
30003104,安卓s74
30003105,安卓s75
30003106,安卓s76
30003107,安卓s77
30003108,安卓s78
30003109,安卓s79
30003110,安卓s80
30003111,安卓s81
30003112,安卓s82
30003113,安卓s83
30003114,安卓s84
30003115,安卓s85
30003116,安卓s86
30003117,安卓s87
30003118,安卓s88
30003119,安卓s89
30003120,安卓s90
30003121,安卓s91
30003122,安卓s92
30003123,安卓s93
30003124,安卓s94
30003125,安卓s95
30003126,安卓s96
30003127,安卓s97
30003128,安卓s98
30003129,安卓s99
30003130,安卓s100
30003131,安卓s101
30003132,安卓s102
30003133,安卓s103
30003134,安卓s104
30003135,安卓s105
30003136,安卓s106
30003137,安卓s107
30003138,安卓s108
30003139,安卓s109
30003140,安卓s110
30003141,安卓s111
30003142,安卓s112
30003143,安卓s113
30003144,安卓s114
30003145,安卓s115
30003146,安卓s116
30003147,安卓s117
30003148,安卓s118
30003149,安卓s119
30003150,安卓s120
30003151,安卓s121
30003152,安卓s122
30003153,安卓s123
30003154,安卓s124
30003155,安卓s125
30003156,安卓s126
30003157,安卓s127
30003158,安卓s128
30003159,安卓s129
30003160,安卓s130
30003161,安卓s131
30003162,安卓s132
30003163,安卓s133
30003164,安卓s134
30003165,安卓s135
30003166,安卓s136
30003167,安卓s137
30003168,安卓s138
30003169,安卓s139
30003170,安卓s140
30003171,安卓s141
30003172,安卓s142
30003173,安卓s143
30003174,安卓s144
30003175,安卓s145
30003176,安卓s146
30003177,安卓s147
30003178,安卓s148
30003179,安卓s149
30003180,安卓s150
30003181,安卓s151
30003182,安卓s152
30003183,安卓s153
30003184,安卓s154
30003185,安卓s155
30003186,安卓s156
30003187,安卓s157
30003188,安卓s158
30003189,安卓s159
30003190,安卓s160
30003191,安卓s161
30003192,安卓s162
30003193,安卓s163
30003194,安卓s164
30003195,安卓s165
30003196,安卓s166
30003197,安卓s167
30003198,安卓s168
30003199,安卓s169
30003200,安卓s170
30003201,安卓s171
30003202,安卓s172
30003203,安卓s173
30003204,安卓s174
30003205,安卓s175
30003206,安卓s176
30003207,安卓s177
30003208,安卓s178
30003209,安卓s179
30003210,安卓s180
30003211,安卓s181
30003212,安卓s182
30003213,安卓s183
30003214,安卓s184
30003215,安卓s185
30003216,安卓s186
30003217,安卓s187
30003218,安卓s188
30003219,安卓s189
30003220,安卓s190
30003221,安卓s191
30003222,安卓s192
30003223,安卓s193
30003224,安卓s194
30003225,安卓s195
30003226,安卓s196
30003227,安卓s197
30003228,安卓s198
30003229,安卓s199
30003230,安卓s200
30003231,安卓s201
30003232,安卓s202
30003233,安卓s203
30003234,安卓s204
30003235,安卓s205
30003236,安卓s206
30003237,安卓s207
30003238,安卓s208
30003239,安卓s209
30003240,安卓s210
30003241,安卓s211
30003242,安卓s212
30003243,安卓s213
30003244,安卓s214
30003245,安卓s215
30003246,安卓s216
30003247,安卓s217
30003248,安卓s218
30003249,安卓s219
30003250,安卓s220
30003251,安卓s221
30003252,安卓s222
30003253,安卓s223
30003254,安卓s224
30003255,安卓s225
30003256,安卓s226
30003257,安卓s227
30003258,安卓s228
30003259,安卓s229
30003260,安卓s230
30003261,安卓s231
30003262,安卓s232
30003263,安卓s233
30003264,安卓s234
30003265,安卓s235
30003266,安卓s236
30003267,安卓s237
30003268,安卓s238
30003269,安卓s239
30003270,安卓s240
30003271,安卓s241
30003272,安卓s242
30003273,安卓s243
30003274,安卓s244
30003275,安卓s245
30003276,安卓s246
30003277,安卓s247
30003278,安卓s248
30003279,安卓s249
30003280,安卓s250
30003281,安卓s251
30003282,安卓s252
30003283,安卓s253
30003284,安卓s254
30003285,安卓s255
30003286,安卓s256
30003287,安卓s257
30003288,安卓s258
30003289,安卓s259
30003290,安卓s260
30003291,安卓s261
30003292,安卓s262
30003293,安卓s263
30003294,安卓s264
30003295,安卓s265
30003296,安卓s266
30003297,安卓s267
30003298,安卓s268
30003299,安卓s269
30003300,安卓s270
30003301,安卓s271
30003302,安卓s272
30003303,安卓s273
30003304,安卓s274
30003305,安卓s275
30003306,安卓s276
30003307,安卓s277
30003308,安卓s278
30003309,安卓s279
30003310,安卓s280
30003311,安卓s281
30003312,安卓s282
30003313,安卓s283
30003314,安卓s284
30003315,安卓s285
30003316,安卓s286
30003317,安卓s287
30003318,安卓s288
30003319,安卓s289
30003320,安卓s290
30003321,安卓s291
30003322,安卓s292
30003323,安卓s293
30003324,安卓s294
30003325,安卓s295
30003326,安卓s296
30003327,安卓s297
30003328,安卓s298
30003329,安卓s299
30003330,安卓s300
30003331,安卓s301
30003332,安卓s302
30003333,安卓s303
30003334,安卓s304
30003335,安卓s305
30003336,安卓s306
30003337,安卓s307
30003338,安卓s308
30003339,安卓s309
30003340,安卓s310
30003341,安卓s311
30003342,安卓s312
30003343,安卓s313
30003344,安卓s314
30003345,安卓s315
30003346,安卓s316
30003347,安卓s317
30003348,安卓s318
30003349,安卓s319
30003350,安卓s320
30003351,安卓s321
30003361,安卓s322
30003362,安卓s323
30003363,安卓s324
30003364,安卓s325
30003365,安卓s326
30003366,安卓s327
30003367,安卓s328
30003368,安卓s329
30003369,安卓s330
30003370,安卓s331
30003371,安卓s332
30003372,安卓s333
30003373,安卓s334
30003374,安卓s335
30003375,安卓s336
30003376,安卓s337
30003377,安卓s338
30003378,安卓s339
30003379,安卓s340
30003380,安卓s341
30003381,安卓s342
30003382,安卓s343
30003383,安卓s344
30003384,安卓s345
30003385,安卓s346
30003386,安卓s347
30003387,安卓s348
30003388,安卓s349
30003389,安卓s350
30003390,安卓s351
30003391,安卓s352
30003392,安卓s353
30003393,安卓s354
30003394,安卓s355
30003395,安卓s356
30003396,安卓s357
30003397,安卓s358
30003398,安卓s359
30003399,安卓s360
30003400,安卓s361
30003401,安卓s362
30003402,安卓s363
30003403,安卓s364
30003404,安卓s365
30003405,安卓s366
30003406,安卓s367
30003407,安卓s368
30003408,安卓s369
30003409,安卓s370
30003410,安卓s371
30003411,安卓s372
30003412,安卓s373
30003413,安卓s374
30003414,安卓s375
30003415,安卓s376
30003416,安卓s377
30003417,安卓s378
30003418,安卓s379
30003419,安卓s380
30003420,安卓s381
30003421,安卓s382
30003422,安卓s383
30003423,安卓s384
30003424,安卓s385
30003425,安卓s386
30003426,安卓s387
30003427,安卓s388
30003428,安卓s389
30003429,安卓s390
30003430,安卓s391
30003431,安卓s392
30003432,安卓s393
30003433,安卓s394
30003434,安卓s395
30003435,安卓s396
30003436,安卓s397
30003437,安卓s398
30003438,安卓s399
30003439,安卓s400
30003440,安卓s401
30003441,安卓s402
30003442,安卓s403
30003443,安卓s404
30003444,安卓s405
30003445,安卓s406
30003446,安卓s407
30003447,安卓s408
30003448,安卓s409
30003449,安卓s410
30003450,安卓s411
30003451,安卓s412
30003452,安卓s413
30003453,安卓s414
30003454,安卓s415
30003455,安卓s416
30003456,安卓s417
30003457,安卓s418
30003458,安卓s419
30003459,安卓s420
30003460,安卓s421
30003461,安卓s422
30003462,安卓s423
30003463,安卓s424
30003464,安卓s425
30003465,安卓s426
30003466,安卓s427
30003467,安卓s428
30003468,安卓s429
30003469,安卓s430
30003470,安卓s431
30003471,安卓s432
30003472,安卓s433
30003473,安卓s434
30003474,安卓s435
30003475,安卓s436
30003476,安卓s437
30003477,安卓s438
30003478,安卓s439
30003479,安卓s440
30003480,安卓s441
30003481,安卓s442
30003482,安卓s443
30003483,安卓s444
30003484,安卓s445
30003485,安卓s446
30003486,安卓s447
30003487,安卓s448
30003488,安卓s449
30003489,安卓s450
30003490,安卓s451
30003491,安卓s452
30003492,安卓s453
30003493,安卓s454
30003494,安卓s455
30003495,安卓s456
30003496,安卓s457
30003497,安卓s458
30003498,安卓s459
30003499,安卓s460
30003500,安卓s461
30003501,安卓s462
30003502,安卓s463
30003503,安卓s464
30003504,安卓s465
30003505,安卓s466
30003506,安卓s467
30003507,安卓s468
30003508,安卓s469
30003509,安卓s470
30003510,安卓s471
30003511,安卓s472
30003512,安卓s473
30003513,安卓s474
30003514,安卓s475
30003515,安卓s476
30003516,安卓s477
30003517,安卓s478
30003518,安卓s479
30003519,安卓s480
30003520,安卓s481
30003521,安卓s482
30003522,安卓s483
30003523,安卓s484
30003524,安卓s485
30003525,安卓s486
30003526,安卓s487
30003527,安卓s488
30003528,安卓s489
30003529,安卓s490
30003530,安卓s491
30003531,安卓s492
30003532,安卓s493
30003533,安卓s494
30003534,安卓s495
30003535,安卓s496
30003536,安卓s497
30003537,安卓s498
30003538,安卓s499
30003539,安卓s500
30003540,安卓s501
30003541,安卓s502
30003542,安卓s503
30003543,安卓s504
30003544,安卓s505
30003545,安卓s506
30003546,安卓s507
30003547,安卓s508
30003548,安卓s509
30003549,安卓s510
30003550,安卓s511
30003551,安卓s512
30003552,安卓s513
30003553,安卓s514
30003554,安卓s515
30003555,安卓s516
30003556,安卓s517
30003557,安卓s518
30003558,安卓s519
30003559,安卓s520
30003560,安卓s521
30003561,安卓s522
30003562,安卓s523
30003563,安卓s524
30003564,安卓s525
30003565,安卓s526
30003566,安卓s527
30003567,安卓s528
30003568,安卓s529
10000330,苹果官方S1
10000329,苹果官方S2
10000328,苹果官方S3
10000327,苹果官方S4
10000326,苹果官方S5
10000325,苹果官方S6
10000324,苹果官方S7
10000323,苹果官方S8
10000322,苹果官方S9
10000321,苹果官方S10
10000320,苹果官方S11
10000319,苹果官方S12
10000101,苹果官方S13
10003102,苹果官方S14
10003103,苹果官方S15
10003104,苹果官方S16
10003105,苹果官方S17
10003106,苹果官方S18
10003107,苹果官方S19
10003108,苹果官方S20
10003109,苹果官方S21
10003110,苹果官方S22
10003111,苹果官方S23
10003112,苹果官方S24
10003113,苹果官方S25
10003114,苹果官方S26
10003115,苹果官方S27
10003116,苹果官方S28
10003117,苹果官方S29
10003118,苹果官方S30
10003119,苹果官方S31
10003120,苹果官方S32
10003121,苹果官方S33
10003122,苹果官方S34
10003123,苹果官方S35
10003124,苹果官方S36
10003125,苹果官方S37
10003126,苹果官方S38
10003127,苹果官方S39
10003128,苹果官方S40
10003129,苹果官方S41
10003130,苹果官方S42
10003131,苹果官方S43
10003132,苹果官方S44
10003133,苹果官方S45
10003134,苹果官方S46
10003135,苹果官方S47
10003136,苹果官方S48
10003137,苹果官方S49
10003138,苹果官方S50
10003139,苹果官方S51
10003140,苹果官方S52
10003141,苹果官方S53
10003142,苹果官方S54
10003143,苹果官方S55
