索引ID,兵书类型,兵书颜色,兵书等级,兵书名字,兵书图标路径,兵书外框路径,兵书所加武力属性,兵书所加兵力属性,兵书所加智力属性,兵书升级所需卡魂,兵书升级所需数量,兵书分解获得卡魂,兵书介绍
id,nType,nColor,nLevel,strName,strIcon,strBroder,nWuli,nBing,nZhili,nNeedCardSoul,nNeedCount,nDestroyCardSoul,strDesc
int,int,int,int,string,string,string,int,int,int,int,int,int,string
101,1,1,5,六韬·武锋,Common/ResouceIcon/Small/icon_F5_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,160,0,0,0,3,3000,可装备于[fed655]【骑术】[-]、[fed655]【角力】[-]栏位
102,2,2,5,六韬·三疑,Common/ResouceIcon/Small/icon_I5_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,0,0,160,0,3,3000,可装备于[fed655]【弓术】[-]、[fed655]【战略】[-]栏位
103,3,3,5,六韬·兵道,Common/ResouceIcon/Small/icon_T5_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,0,160,0,0,3,3000,可装备于[fed655]【枪术】[-]、[fed655]【防御】[-]栏位
104,4,4,5,六韬·军略,Common/ResouceIcon/Small/icon_FI5_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,80,0,80,0,3,3000,可装备于[fed655]【弓术】[-]、[fed655]【短兵】[-]、[fed655]【战略】[-]栏位
105,5,5,5,六韬·金鼓,Common/ResouceIcon/Small/icon_TF5_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,40,120,0,0,3,3000,可装备于[fed655]【骑术】[-]、[fed655]【短兵】[-]、[fed655]【角力】[-]栏位
106,6,6,5,六韬·文伐,Common/ResouceIcon/Small/icon_IT5_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,0,120,40,0,3,3000,可装备于[fed655]【枪术】[-]、[fed655]【阵列】[-]、[fed655]【防御】[-]栏位
201,1,1,4,六韬·武锋·抄本,Common/ResouceIcon/Small/icon_F4_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,72,0,0,0,3,3000,可装备于[fed655]【骑术】[-]、[fed655]【角力】[-]栏位
202,2,2,4,六韬·三疑·抄本,Common/ResouceIcon/Small/icon_I4_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,0,0,72,0,3,3000,可装备于[fed655]【弓术】[-]、[fed655]【战略】[-]栏位
203,3,3,4,六韬·兵道·抄本,Common/ResouceIcon/Small/icon_T4_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,0,72,0,0,3,3000,可装备于[fed655]【枪术】[-]、[fed655]【防御】[-]栏位
204,4,4,4,六韬·军略·抄本,Common/ResouceIcon/Small/icon_FI4_tex,Common/ResouceIcon/Border/bg_Bkuang02_tex,36,0,36,0,3,3000,可装备于[fed655]【弓术】[-]、[fed655]【短兵】[-]、[fed655]【战略】[-]栏位
