卡片ID,坑一类型,坑二类型,坑三类型,坑四类型,坑五类型,兵种类型1,兵种类型2
id,nBookType1,nBookType2,nBookType3,nBookType4,nBookType5,nTechType1,nTechType2
int,int,int,int,int,int,int,int
256,8,1,2,7,9,11,12
257,8,7,4,7,9,7,8
260,8,1,1,7,9,11,12
261,8,1,2,7,9,11,12
264,8,3,4,7,9,7,8
265,8,3,4,7,9,7,8
268,8,5,6,7,9,9,10
269,8,5,6,7,9,9,10
272,8,1,2,7,9,11,12
273,8,3,4,7,9,7,8
276,8,5,6,7,9,9,10
277,8,3,4,7,9,7,8
285,8,3,4,7,9,7,8
286,8,1,1,7,9,11,12
289,8,5,9,7,9,9,10
290,8,5,6,7,9,9,10
293,8,2,2,7,9,11,12
294,8,5,6,7,9,9,10
297,8,5,9,7,9,9,10
298,8,5,6,7,9,9,10
305,8,8,4,7,9,7,8
306,8,1,2,7,9,11,12
309,8,5,6,7,9,9,10
310,8,5,6,7,9,9,10
313,8,1,2,7,9,11,12
314,8,1,2,7,9,11,12
320,8,5,9,7,9,9,10
321,8,5,6,7,9,9,10
324,8,3,4,7,9,7,8
325,8,3,4,7,9,7,8
334,8,1,1,7,9,11,12
335,8,1,2,7,9,11,12
338,8,1,2,7,9,11,12
339,8,1,2,7,9,11,12
342,8,8,4,7,9,7,8
343,8,5,6,7,9,9,10
348,8,3,4,7,9,7,8
349,8,5,6,7,9,9,10
356,8,5,6,7,9,9,10
357,8,5,6,7,9,9,10
360,8,5,6,7,9,9,10
361,8,5,6,7,9,9,10
367,8,5,6,7,9,9,10
368,8,1,2,7,9,11,12
373,8,5,6,7,9,9,10
374,8,1,2,7,9,11,12
378,8,5,6,7,9,9,10
379,8,1,2,7,9,11,12
382,8,1,2,7,9,11,12
383,8,1,2,7,9,11,12
386,8,3,9,7,9,7,8
387,8,1,2,7,9,11,12
390,8,1,2,7,9,11,12
391,8,3,4,7,9,7,8
394,8,5,6,7,9,9,10
395,8,5,6,7,9,9,10
398,8,5,6,7,9,9,10
399,8,3,4,7,9,7,8
403,8,5,6,7,9,9,10
404,8,5,6,7,9,9,10
407,8,5,6,7,9,9,10
408,8,5,6,7,9,9,10
411,8,1,2,7,9,11,12
412,8,3,4,7,9,7,8
415,8,3,4,7,9,7,8
416,8,1,1,7,9,11,12
419,8,3,4,7,9,7,8
420,8,1,1,7,9,11,12
423,8,1,2,7,9,11,12
424,8,8,4,7,9,7,8
427,8,5,6,7,9,9,10
428,8,1,2,7,9,11,12
431,8,3,4,7,9,7,8
432,8,1,2,7,9,11,12
437,8,5,6,7,9,9,10
438,8,1,2,7,9,11,12
441,8,1,2,7,9,11,12
442,8,3,4,7,9,7,8
445,8,5,6,7,9,9,10
446,8,3,4,7,9,7,8
449,8,1,2,7,9,11,12
450,8,8,4,7,9,7,8
453,8,3,4,7,9,7,8
457,8,1,2,7,9,11,12
458,8,5,9,7,9,9,10
459,8,5,6,7,9,9,10
460,8,1,2,7,9,11,12
461,8,1,2,7,9,11,12
462,8,1,2,7,9,11,12
466,8,5,6,7,9,9,10
470,8,5,6,7,9,9,10
475,8,1,2,7,9,11,12
478,8,5,6,7,9,9,10
483,8,5,6,7,9,11,12
487,8,1,2,7,9,11,12
491,8,3,4,7,9,7,8
495,8,3,4,7,9,7,8
499,8,3,4,7,9,7,8
501,8,1,1,7,9,11,12
502,8,5,9,7,9,9,10
506,8,1,2,7,9,11,12
508,8,7,4,7,9,7,8
510,8,1,2,7,9,11,12
512,8,3,4,7,9,7,8
513,8,7,4,7,9,7,8
514,8,7,4,7,9,7,8
517,8,7,4,7,9,11,12
518,8,7,4,7,9,7,8
521,8,1,2,7,9,11,12
522,8,5,6,7,9,9,10
527,8,5,6,7,9,11,12
532,8,3,4,7,9,7,8
534,8,1,2,7,9,11,12
535,8,5,6,7,9,9,10
536,8,3,4,7,9,7,8
537,8,5,6,7,9,11,12
1260,8,1,1,7,9,11,12
1285,8,3,4,7,9,7,8
1334,8,1,1,7,9,11,12
1342,8,8,4,7,9,7,8
1276,8,5,6,7,9,9,10
1305,8,8,4,7,9,7,8
1313,8,1,2,7,9,11,12
1339,8,1,2,7,9,11,12
1289,8,5,9,7,9,9,10
1293,8,2,2,7,9,11,12
1297,8,5,9,7,9,9,10
1320,8,5,9,7,9,9,10
1256,8,1,2,7,9,11,12
1264,8,3,4,7,9,7,8
1272,8,1,2,7,9,11,12
1348,8,3,4,7,9,7,8
1361,8,5,6,7,9,9,10
1373,8,5,6,7,9,9,10
1379,8,1,2,7,9,11,12
1394,8,5,6,7,9,9,10
1367,8,5,6,7,9,9,10
1378,8,5,6,7,9,9,10
1268,8,5,6,7,9,9,10
1335,8,1,2,7,9,11,12
1390,8,1,2,7,9,11,12
1269,8,5,6,7,9,9,10
1374,8,1,2,7,9,11,12
1386,8,3,9,7,9,7,8
1383,8,1,2,7,9,11,12
1424,8,8,4,7,9,7,8
1321,8,5,6,7,9,9,10
1399,8,3,4,7,9,7,8
1257,8,3,4,7,9,7,8
1343,8,5,6,7,9,9,10
1338,8,1,2,7,9,11,12
1382,8,1,2,7,9,11,12
1314,8,1,2,7,9,11,12
1423,8,1,2,7,9,11,12
1357,8,5,6,7,9,9,10
1265,8,3,4,7,9,7,8
1431,8,3,4,7,9,7,8
1438,8,1,2,7,9,11,12
1449,8,1,2,7,9,11,12
1309,8,5,6,7,9,9,10
1458,8,5,9,7,9,9,10
1445,8,5,6,7,9,9,10
