战力等级,收益比例,描述
id,fRatio,strDesc
int,float,string
1,5,壮士1
2,5,壮士2
3,5,壮士3
4,5,壮士4
5,5,壮士5
6,5,壮士6
7,5.5,壮士7
8,5.5,壮士8
9,5.06,壮士9
10,4.62,豪杰1
11,4.07,豪杰2
12,3.7,豪杰3
13,3.39,豪杰4
14,3.15,豪杰5
15,2.95,豪杰6
16,2.77,豪杰7
17,2.62,豪杰8
18,2.5,豪杰9
19,2.39,诸侯1
20,2.3,诸侯2
21,2.22,诸侯3
22,2.14,诸侯4
23,2.08,诸侯5
24,2.03,诸侯6
25,1.97,诸侯7
26,1.93,诸侯8
27,1.85,诸侯9
28,1.79,王侯1
29,1.73,王侯2
30,1.68,王侯3
31,1.63,王侯4
32,1.59,王侯5
33,1.56,王侯6
34,1.52,王侯7
35,1.49,王侯8
36,1.43,王侯9
37,1.37,霸主1
38,1.29,霸主2
39,1.23,霸主3
40,1.16,霸主4
41,1.1,霸主5
42,1.05,霸主6
43,0.99,霸主7
44,0.94,霸主8
45,0.9,霸主9
46,0.85,君王1
47,0.81,君王2
48,0.76,君王3
49,0.72,君王4
50,0.69,君王5
51,0.65,君王6
52,0.62,君王7
53,0.58,君王8
54,0.53,君王9
55,0.5,帝王1
56,0.47,帝王2
57,0.43,帝王3
58,0.41,帝王4
59,0.39,帝王5
60,0.37,帝王6
61,0.36,帝王7
62,0.35,帝王8
63,0.33,帝王9
