战力等级,关卡列表,疲劳度增长,关卡NPC名字,描述,小头像,半身像,头像框
id,strLevel,nFatigue,strName,strDesc,strHead,strBody,strBroder
int,string,int,string,string,string,string,string
1,1|1,3,黄巾巡逻队,普通关卡,scard2029,npc1025,bg_Broder01_Tex
2,1|1,3,黄巾巡逻队,普通关卡,scard2029,npc1025,bg_Broder01_Tex
3,1|1,3,黄巾巡逻队,普通关卡,scard2029,npc1025,bg_Broder01_Tex
4,1|1,3,黄巾巡逻队,普通关卡,scard2029,npc1025,bg_Broder01_Tex
5,405011|405021,3,黄巾巡逻队,普通关卡,scard2003,npc1015,bg_Broder01_Tex
6,406011|406021|406031,3,黄巾巡逻队,普通关卡,scard2005,npc1016,bg_Broder01_Tex
7,407011|407021|407031|407041,3,黄巾巡逻队,普通关卡,scard2005,npc1017,bg_Broder01_Tex
8,408011|408021|408031|408041|408051,3,黄巾巡逻队,普通关卡,scard2006,npc1018,bg_Broder01_Tex
9,409011|409021|409031|409041|409051|409061,3,黄巾巡逻队,普通关卡,scard2007,npc1019,bg_Broder01_Tex
10,410011|410021|410031|410041|410051|410061,3,黄巾巡逻队,普通关卡,scard2008,npc1020,bg_Broder01_Tex
11,411011|411021|411031|411041,3,黄巾巡逻队,普通关卡,scard2009,npc1021,bg_Broder01_Tex
12,412011|412021|412031|412041|412051|412061|412071,3,黄巾巡逻队,普通关卡,scard2005,npc1017,bg_Broder01_Tex
13,413011|413021|413031|413041|413051|413061,3,黄巾巡逻队,普通关卡,scard2005,npc1017,bg_Broder01_Tex
14,414011|414021|414031|414041|414051|414061|414071,3,黄巾巡逻队,普通关卡,scard2006,npc1018,bg_Broder01_Tex
15,415011|415021|415031|415041,3,黄巾巡逻队,普通关卡,scard2007,npc1019,bg_Broder01_Tex
16,416011|416021|416031|416041|416051|416061|416071,3,黄巾起义军,普通关卡,scard2008,npc1020,bg_Broder01_Tex
17,417011|417021|417031|417041|417051|417061,3,黄巾起义军,普通关卡,scard2009,npc1021,bg_Broder01_Tex
18,418011|418021|418031|418041|418051|418061|418071,3,黄巾起义军,普通关卡,scard2010,npc1022,bg_Broder01_Tex
