序号|战法,战法名,战法动作修正参数,战法图标路径,战法示意图路径,路线,速度,攻击距离,被动技能,战法特效(非专属战器),战法特效(专属战器)
id,strOpName,strPoseParam,strTexName,strArrowName,nPath,fMoveSpeed,fAttackRange,strPassives,strFxNormal,strFxSpecial
int,string,string,string,string,int,float,float,string,string,string
0,普通,,UI/BuZhen/icon_zhanfaqiang1_tex,UI/BuZhen/Arrow_Normal,1,3,5,32603|32805|33203|33403,,
1,枪阵,1,UI/BuZhen/icon_zhanfaqiang2_tex,UI/BuZhen/Arrow_Front,1,3,5,22101|22501|32603|33203|33403,Effect/Battle/fx_qiangtou,Effect/Battle/Fx_ArmySkill_ZSZQ
2,普通,,UI/BuZhen/icon_zhanfagong1_tex,UI/BuZhen/Arrow_Normal,1,3,25,32603|32805,,
3,远射,1,UI/BuZhen/icon_zhanfagong2_tex,UI/BuZhen/Arrow_Front,1,3,35,22701|32603|32805,Effect/Battle/Fx_ArmySkill_Arrow_01,Effect/Battle/Fx_ArmySkill_ZSZQ
4,普通,,UI/BuZhen/icon_zhanfaqi1_tex,UI/BuZhen/Arrow_Normal,1,4,5,32603|32805,,
5,直突,1,UI/BuZhen/icon_zhanfaqi2_tex,UI/BuZhen/Arrow_Front,1,6,5,23101|32805,Effect/Battle/Fx_ArmySkill_ChongFeng,Effect/Battle/Fx_ArmySkill_ZSZQ
6,左突,1,UI/BuZhen/icon_zhanfaqi3_tex,UI/BuZhen/Arrow_Left,2,6,5,23101|32805,Effect/Battle/Fx_ArmySkill_ChongFeng,Effect/Battle/Fx_ArmySkill_ZSZQ
7,右突,1,UI/BuZhen/icon_zhanfaqi4_tex,UI/BuZhen/Arrow_Right,3,6,5,23101|32805,Effect/Battle/Fx_ArmySkill_ChongFeng,Effect/Battle/Fx_ArmySkill_ZSZQ
8,盾阵,1,UI/BuZhen/icon_zhanfadunzheng1_tex,UI/BuZhen/Arrow_Front,1,3,5,22101|32603|32805|33005|33203|33403,Effect/Battle/Fx_ArmySkill_DunZhen,Effect/Battle/Fx_ArmySkill_ZSZQ
9,盾阵,1,UI/BuZhen/icon_zhanfadunzheng1_tex,UI/BuZhen/Arrow_Front,1,3,5,22101|22503|32603|32805|33005|33203|33403,Effect/Battle/Fx_ArmySkill_DunZhen,Effect/Battle/Fx_ArmySkill_ZSZQ
10,戟阵,1,UI/BuZhen/icon_zhanfatuci1_tex,UI/BuZhen/Arrow_Front,1,4,5,22301|22501|32603|33203|33403,Effect/Battle/Fx_ArmySkill_JiZhen,Effect/Battle/Fx_ArmySkill_ZSZQ
11,戟阵,1,UI/BuZhen/icon_zhanfatuci1_tex,UI/BuZhen/Arrow_Front,1,4,5,22302|22501|32603|33203|33403,Effect/Battle/Fx_ArmySkill_JiZhen,Effect/Battle/Fx_ArmySkill_ZSZQ
12,警戒,1,UI/BuZhen/icon_zhanfajingjie1_tex,UI/BuZhen/Arrow_Front,1,2,35,22701|32201|32401|32603|32805|33201|33401,Effect/Battle/Fx_ArmySkill_Arrow_03,Effect/Battle/Fx_ArmySkill_ZSZQ
13,警戒,1,UI/BuZhen/icon_zhanfajingjie1_tex,UI/BuZhen/Arrow_Front,1,2,35,22701|32202|32402|32603|32805|33202|33402,Effect/Battle/Fx_ArmySkill_Arrow_03,Effect/Battle/Fx_ArmySkill_ZSZQ
14,箭岚,2,UI/BuZhen/icon_zhanfajianlan1_tex,UI/BuZhen/Arrow_Front,1,3,35,22901|32603|32805,Effect/Battle/Fx_ArmySkill_Arrow_02,Effect/Battle/Fx_ArmySkill_ZSZQ
15,箭岚,2,UI/BuZhen/icon_zhanfajianlan1_tex,UI/BuZhen/Arrow_Front,1,3,35,22902|32603|32805,Effect/Battle/Fx_ArmySkill_Arrow_02,Effect/Battle/Fx_ArmySkill_ZSZQ
16,铁骑,1,UI/BuZhen/icon_zhanfatieji1_tex,UI/BuZhen/Arrow_Front,1,5,5,23101|32201|32401|32601|32805|33001|33201|33401,Effect/Battle/Fx_ArmySkill_TieQi,Effect/Battle/Fx_ArmySkill_ZSZQ
17,铁骑,1,UI/BuZhen/icon_zhanfatieji1_tex,UI/BuZhen/Arrow_Front,1,5,5,23101|32202|32402|32602|32805|33003|33202|33402,Effect/Battle/Fx_ArmySkill_TieQi,Effect/Battle/Fx_ArmySkill_ZSZQ
18,铁骑,1,UI/BuZhen/icon_zhanfatieji2_tex,UI/BuZhen/Arrow_Left,2,5,5,23101|32201|32401|32601|32805|33001|33201|33401,Effect/Battle/Fx_ArmySkill_TieQi,Effect/Battle/Fx_ArmySkill_ZSZQ
19,铁骑,1,UI/BuZhen/icon_zhanfatieji2_tex,UI/BuZhen/Arrow_Left,2,5,5,23101|32202|32402|32602|32805|33003|33202|33402,Effect/Battle/Fx_ArmySkill_TieQi,Effect/Battle/Fx_ArmySkill_ZSZQ
20,铁骑,1,UI/BuZhen/icon_zhanfatieji3_tex,UI/BuZhen/Arrow_Right,3,5,5,23101|32201|32401|32601|32805|33001|33201|33401,Effect/Battle/Fx_ArmySkill_TieQi,Effect/Battle/Fx_ArmySkill_ZSZQ
21,铁骑,1,UI/BuZhen/icon_zhanfatieji3_tex,UI/BuZhen/Arrow_Right,3,5,5,23101|32202|32402|32602|32805|33003|33202|33402,Effect/Battle/Fx_ArmySkill_TieQi,Effect/Battle/Fx_ArmySkill_ZSZQ
22,冲锋,1,UI/BuZhen/icon_zhanfachongfeng1_tex,UI/BuZhen/Arrow_Front,1,6,5,23301|32805|23401,Effect/Battle/Fx_ArmySkill_TuJi,Effect/Battle/Fx_ArmySkill_ZSZQ
23,冲锋,1,UI/BuZhen/icon_zhanfachongfeng1_tex,UI/BuZhen/Arrow_Front,1,6,5,23302|32805|23401|23501,Effect/Battle/Fx_ArmySkill_TuJi,Effect/Battle/Fx_ArmySkill_ZSZQ
24,冲锋,1,UI/BuZhen/icon_zhanfachongfeng2_tex,UI/BuZhen/Arrow_Left,2,6,5,23301|32805|23401,Effect/Battle/Fx_ArmySkill_TuJi,Effect/Battle/Fx_ArmySkill_ZSZQ
25,冲锋,1,UI/BuZhen/icon_zhanfachongfeng2_tex,UI/BuZhen/Arrow_Left,2,6,5,23302|32805|23401|23501,Effect/Battle/Fx_ArmySkill_TuJi,Effect/Battle/Fx_ArmySkill_ZSZQ
26,冲锋,1,UI/BuZhen/icon_zhanfachongfeng3_tex,UI/BuZhen/Arrow_Right,3,6,5,23301|32805|23401,Effect/Battle/Fx_ArmySkill_TuJi,Effect/Battle/Fx_ArmySkill_ZSZQ
27,冲锋,1,UI/BuZhen/icon_zhanfachongfeng3_tex,UI/BuZhen/Arrow_Right,3,6,5,23302|32805|23401|23501,Effect/Battle/Fx_ArmySkill_TuJi,Effect/Battle/Fx_ArmySkill_ZSZQ
28,普通,,UI/BuZhen/icon_zhanfaqiang1_tex,UI/BuZhen/Arrow_Normal,1,3,5,32603|32805|33203|33403,,
29,普通,,UI/BuZhen/icon_zhanfagong1_tex,UI/BuZhen/Arrow_Normal,1,3,25,32603|32805,,
30,普通,,UI/BuZhen/icon_zhanfaqi1_tex,UI/BuZhen/Arrow_Normal,1,4,5,32603|32805,,
31,枪阵,2,UI/BuZhen/icon_zhanfaqiang2_tex,UI/BuZhen/Arrow_Front,1,3,5,22101|22501|32603|33203|33403,Effect/Battle/fx_qiangtou,Effect/Battle/Fx_ArmySkill_ZSZQ
32,远射,1,UI/BuZhen/icon_zhanfagong2_tex,UI/BuZhen/Arrow_Front,1,3,35,22701|32603|32805,Effect/Battle/Fx_ArmySkill_Arrow_01,Effect/Battle/Fx_ArmySkill_ZSZQ
