序号,战力限制,战力等级名称,奖励军令,军令上限,开放多阵容数量,开放陷阱数量,开放机关数量,开放计谋数量,卡魂返还系数,国战兵力膨胀,国战投票威望,国战投票卡魂,国战购买资源消耗系数,玩家加入山贼增加将领数量,封地掠夺消耗卡魂基数,庆典挑战奖励获得系数,标题图片名,标题数字图片名,主城图片名,主城数字图片名,界面文字
id,nZhanliLimit,strTitle,nAddOrder,nOrderLimit,nTroopLimit,nEquipmentLimit1,nEquipmentLimit2,nEquipmentLimit3,fRestore,nZl2Bl,nVotePrestige,nVoteReward,nBuyResCostRate,nJoinShanzeiAddCount,nResAttack,fFactor,strTitleText,strTitleNumber,strCityText,strCityNumber,strUITexName
int,int,string,int,int,int,int,int,int,double,double,int,int,double,int,int,double,string,string,string,string,string
1,600,壮士1级,5,200,1,0,0,0,0.037,0,0,0,0.6,0,10,1,Text01,Number01,RankTextWhite,White1,icon_Zhanli1_Tex
2,900,壮士2级,5,205,1,0,0,0,0.037,0,0,0,0.6,0,10,1,Text01,Number02,RankTextWhite,White2,icon_Zhanli1_Tex
3,1350,壮士3级,10,210,1,0,0,0,0.037,0,0,0,0.6,0,20,1,Text01,Number03,RankTextWhite,White3,icon_Zhanli1_Tex
4,1700,壮士4级,10,215,1,0,0,0,0.037,0,0,0,0.6,0,30,1,Text01,Number04,RankTextWhite,White4,icon_Zhanli1_Tex
5,2400,壮士5级,10,220,2,0,0,0,0.037,0,0,0,0.6,0,40,1,Text01,Number05,RankTextWhite,White5,icon_Zhanli1_Tex
6,3600,壮士6级,10,225,2,0,0,0,0.037,0,0,0,0.6,0,50,1,Text01,Number06,RankTextWhite,White6,icon_Zhanli1_Tex
7,4900,壮士7级,10,230,2,0,0,0,0.06,0,0,0,0.6,0,70,1,Text01,Number07,RankTextWhite,White7,icon_Zhanli1_Tex
8,6200,壮士8级,10,235,2,0,0,0,0.06,0,0,0,0.6,0,90,1,Text01,Number08,RankTextWhite,White8,icon_Zhanli1_Tex
9,7500,壮士9级,10,240,2,0,0,0,0.073,0,0,0,0.6,0,110,1,Text01,Number09,RankTextWhite,White9,icon_Zhanli1_Tex
